date,away,away_pts,home,home_pts,a_mov,h_mov,a_ORtg,h_ORtg,a_DRtg,h_DRtg,a_NRtg,h_NRtg,a_mov/a,h_mov/a,a_ORtg/a,h_ORtg/a,a_DRtg/a,h_DRtg/a,a_NRtg/a,h_NRtg/a,winner
2021-11-28,Detroit Pistons,106.0,Los Angeles Lakers,110.0,-9.42,-3.14,101.66,106.78,111.26,109.88,-9.61,-3.1,-8.21,-4.01,102.3,106.79,110.66,110.77,-8.36,-3.97,home
2021-11-29,Orlando Magic,96.0,Philadelphia 76ers,101.0,-11.14,0.85,101.6,112.64,112.88,111.66,-11.28,0.99,-10.37,1.32,101.63,112.51,112.08,111.04,-10.45,1.47,home
2021-11-29,Denver Nuggets,120.0,Miami Heat,111.0,-0.74,6.25,108.37,112.45,109.11,106.07,-0.74,6.39,0.23,5.93,107.7,112.77,107.47,106.71,0.23,6.06,away
2021-11-29,Charlotte Hornets,119.0,Chicago Bulls,133.0,0.18,4.0,112.02,110.52,111.72,106.58,0.3,3.94,0.58,3.52,112.77,110.47,112.06,107.0,0.71,3.48,home
2021-11-29,Oklahoma City Thunder,89.0,Houston Rockets,102.0,-6.95,-9.63,101.51,101.38,108.64,110.89,-7.13,-9.52,-5.78,-9.31,102.47,101.7,108.39,110.89,-5.92,-9.19,home
2021-11-29,Indiana Pacers,98.0,Minnesota Timberwolves,100.0,1.36,1.55,109.56,109.3,108.08,107.49,1.48,1.81,1.52,0.73,108.66,109.26,107.0,108.38,1.66,0.89,home
2021-11-29,Cleveland Cavaliers,114.0,Dallas Mavericks,96.0,0.15,-1.56,107.3,108.6,107.11,110.14,0.2,-1.54,0.9,-1.42,107.48,109.56,106.53,111.04,0.94,-1.47,away
2021-11-29,Washington Wizards,99.0,San Antonio Spurs,116.0,0.95,-2.89,108.49,106.11,107.56,109.06,0.93,-2.95,0.7,-4.09,107.56,106.06,106.88,110.23,0.69,-4.17,home
2021-11-29,Portland Trail Blazers,107.0,Utah Jazz,129.0,0.55,9.05,114.03,115.75,113.51,106.45,0.52,9.3,1.64,7.72,115.07,114.67,113.52,106.73,1.55,7.94,home
2021-11-29,New Orleans Pelicans,123.0,Los Angeles Clippers,104.0,-7.64,2.55,105.17,105.72,113.03,103.6,-7.86,2.12,-5.67,3.0,106.09,105.03,111.96,102.49,-5.87,2.54,away
2021-11-30,New York Knicks,110.0,Brooklyn Nets,112.0,0.15,4.1,109.54,111.05,109.36,106.74,0.18,4.31,-0.77,3.65,109.36,111.47,110.07,107.61,-0.7,3.86,home
2021-11-30,Memphis Grizzlies,98.0,Toronto Raptors,91.0,-4.95,-0.81,111.15,111.62,116.38,112.46,-5.23,-0.84,-3.71,-0.31,111.82,112.2,115.83,112.53,-4.01,-0.32,away
2021-11-30,Golden State Warriors,96.0,Phoenix Suns,104.0,13.65,7.6,114.6,112.37,100.79,104.78,13.81,7.59,12.34,6.23,113.85,111.19,101.41,104.98,12.44,6.21,home
2021-11-30,Detroit Pistons,92.0,Portland Trail Blazers,110.0,-9.15,-0.52,101.82,114.08,111.14,114.7,-9.33,-0.63,-8.22,0.85,102.42,115.07,110.79,114.37,-8.36,0.69,home
2021-11-30,Los Angeles Lakers,117.0,Sacramento Kings,92.0,-2.82,-2.9,106.87,109.64,109.65,112.69,-2.78,-3.05,-3.9,-2.02,106.95,109.22,110.81,111.38,-3.86,-2.16,away
2021-12-01,Atlanta Hawks,114.0,Indiana Pacers,111.0,2.62,1.22,114.06,109.07,111.42,107.74,2.64,1.32,2.89,1.37,114.34,108.09,111.4,106.58,2.94,1.51,away
2021-12-01,Denver Nuggets,103.0,Orlando Magic,108.0,-0.25,-10.86,109.56,101.3,109.77,112.3,-0.21,-10.99,1.11,-10.03,109.27,101.05,108.1,111.14,1.17,-10.09,home
2021-12-01,Minnesota Timberwolves,107.0,Washington Wizards,115.0,1.57,0.1,108.87,108.5,107.05,108.51,1.82,-0.01,0.93,-0.38,108.82,107.58,107.73,108.04,1.09,-0.46,home
2021-12-01,Philadelphia 76ers,87.0,Boston Celtics,88.0,1.05,1.67,112.05,108.3,110.87,106.59,1.18,1.71,0.98,0.52,111.76,107.89,110.64,107.31,1.12,0.59,home
2021-12-01,Cleveland Cavaliers,111.0,Miami Heat,85.0,1.0,5.52,107.69,112.92,106.63,107.31,1.06,5.61,1.56,5.26,107.66,113.19,106.06,107.85,1.6,5.34,away
2021-12-01,Charlotte Hornets,125.0,Milwaukee Bucks,127.0,-0.43,3.67,112.32,110.96,112.63,107.22,-0.32,3.74,0.01,2.33,113.14,110.96,113.02,108.51,0.12,2.45,home
2021-12-01,Dallas Mavericks,139.0,New Orleans Pelicans,107.0,-2.42,-6.48,108.0,106.43,110.41,113.04,-2.42,-6.61,-2.05,-4.74,108.78,107.44,110.88,112.32,-2.09,-4.88,away
2021-12-01,Houston Rockets,114.0,Oklahoma City Thunder,110.0,-8.5,-7.25,101.22,100.72,109.64,108.12,-8.41,-7.4,-8.37,-6.49,101.73,101.47,110.01,108.06,-8.29,-6.59,away
