date,start,away,away_pts,home,home_pts,attend,winner
2021-10-29,10:00p,Los Angeles Clippers,92,Portland Trail Blazers,111,16510.0,home
2021-10-29,10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113,18997.0,home
2021-10-30,5:00p,Boston Celtics,112,Washington Wizards,115,15813.0,home
2021-10-30,7:00p,Orlando Magic,103,Detroit Pistons,110,11423.0,home
2021-10-30,7:00p,New York Knicks,123,New Orleans Pelicans,117,16508.0,away
2021-10-30,7:30p,Toronto Raptors,97,Indiana Pacers,94,10578.0,away
2021-10-30,7:30p,Atlanta Hawks,94,Philadelphia 76ers,122,20031.0,home
2021-10-30,8:00p,Utah Jazz,99,Chicago Bulls,107,20668.0,home
2021-10-30,8:00p,Miami Heat,129,Memphis Grizzlies,103,15989.0,away
2021-10-30,8:00p,San Antonio Spurs,102,Milwaukee Bucks,93,17341.0,away
2021-10-30,8:30p,Oklahoma City Thunder,82,Golden State Warriors,103,18064.0,home
2021-10-30,9:00p,Denver Nuggets,93,Minnesota Timberwolves,91,17136.0,away
2021-10-30,10:00p,Cleveland Cavaliers,92,Phoenix Suns,101,14516.0,home
2021-10-31,3:30p,Sacramento Kings,99,Dallas Mavericks,105,19231.0,home
2021-10-31,7:00p,Portland Trail Blazers,113,Charlotte Hornets,125,14960.0,home
2021-10-31,7:00p,Utah Jazz,107,Milwaukee Bucks,95,17341.0,away
2021-10-31,7:30p,Detroit Pistons,91,Brooklyn Nets,117,13507.0,home
2021-10-31,10:30p,Houston Rockets,85,Los Angeles Lakers,95,16448.0,home
2021-11-01,7:00p,Cleveland Cavaliers,113.0,Charlotte Hornets,110.0,13889.0,away
2021-11-01,7:00p,San Antonio Spurs,118.0,Indiana Pacers,131.0,10227.0,home
2021-11-01,7:00p,Portland Trail Blazers,103.0,Philadelphia 76ers,113.0,20115.0,home
2021-11-01,7:30p,Washington Wizards,111.0,Atlanta Hawks,118.0,14632.0,home
2021-11-01,7:30p,Chicago Bulls,128.0,Boston Celtics,114.0,19156.0,away
2021-11-01,7:30p,Toronto Raptors,113.0,New York Knicks,104.0,16528.0,away
2021-11-01,8:00p,Denver Nuggets,97.0,Memphis Grizzlies,106.0,12683.0,home
2021-11-01,8:00p,Orlando Magic,115.0,Minnesota Timberwolves,97.0,14744.0,away
2021-11-01,10:30p,Oklahoma City Thunder,94.0,Los Angeles Clippers,99.0,13722.0,home
2021-11-02,7:00p,Milwaukee Bucks,117.0,Detroit Pistons,89.0,9254.0,away
2021-11-02,7:30p,Miami Heat,125.0,Dallas Mavericks,110.0,19255.0,away
2021-11-02,9:00p,Sacramento Kings,113.0,Utah Jazz,119.0,18306.0,home
2021-11-02,10:00p,New Orleans Pelicans,100.0,Phoenix Suns,112.0,14323.0,home
2021-11-02,10:30p,Houston Rockets,117.0,Los Angeles Lakers,119.0,18997.0,home
2021-11-03,7:00p,Portland Trail Blazers,,Cleveland Cavaliers,,,home
2021-11-03,7:00p,New York Knicks,,Indiana Pacers,,,home
2021-11-03,7:00p,Boston Celtics,,Orlando Magic,,,home
2021-11-03,7:00p,Chicago Bulls,,Philadelphia 76ers,,,home
2021-11-03,7:00p,Toronto Raptors,,Washington Wizards,,,home
2021-11-03,7:30p,Atlanta Hawks,,Brooklyn Nets,,,home
2021-11-03,8:00p,Denver Nuggets,,Memphis Grizzlies,,,home
2021-11-03,8:00p,Los Angeles Clippers,,Minnesota Timberwolves,,,home
2021-11-03,8:30p,Dallas Mavericks,,San Antonio Spurs,,,home
2021-11-03,10:00p,Charlotte Hornets,,Golden State Warriors,,,home
2021-11-03,10:00p,New Orleans Pelicans,,Sacramento Kings,,,home
2021-11-04,7:00p,Philadelphia 76ers,,Detroit Pistons,,,home
2021-11-04,7:30p,Utah Jazz,,Atlanta Hawks,,,home
2021-11-04,7:30p,Boston Celtics,,Miami Heat,,,home
2021-11-04,10:00p,Houston Rockets,,Phoenix Suns,,,home
2021-11-04,10:30p,Oklahoma City Thunder,,Los Angeles Lakers,,,home
2021-11-05,7:00p,Brooklyn Nets,,Detroit Pistons,,,home
2021-11-05,7:00p,San Antonio Spurs,,Orlando Magic,,,home
2021-11-05,7:00p,Memphis Grizzlies,,Washington Wizards,,,home
2021-11-05,7:30p,New York Knicks,,Milwaukee Bucks,,,home
2021-11-05,7:30p,Cleveland Cavaliers,,Toronto Raptors,,,home
2021-11-05,8:00p,Los Angeles Clippers,,Minnesota Timberwolves,,,home
2021-11-05,10:00p,New Orleans Pelicans,,Golden State Warriors,,,home
2021-11-05,10:00p,Indiana Pacers,,Portland Trail Blazers,,,home
2021-11-05,10:00p,Charlotte Hornets,,Sacramento Kings,,,home
2021-11-06,5:00p,Houston Rockets,,Denver Nuggets,,,home
2021-11-06,7:30p,Utah Jazz,,Miami Heat,,,home
2021-11-06,8:00p,Philadelphia 76ers,,Chicago Bulls,,,home
2021-11-06,8:30p,Boston Celtics,,Dallas Mavericks,,,home
2021-11-06,10:00p,Atlanta Hawks,,Phoenix Suns,,,home
2021-11-06,10:30p,Los Angeles Lakers,,Portland Trail Blazers,,,home
2021-11-07,3:30p,Brooklyn Nets,,Toronto Raptors,,,home
2021-11-07,6:00p,Cleveland Cavaliers,,New York Knicks,,,home
2021-11-07,6:00p,Utah Jazz,,Orlando Magic,,,home
2021-11-07,6:00p,Indiana Pacers,,Sacramento Kings,,,home
2021-11-07,6:00p,Milwaukee Bucks,,Washington Wizards,,,home
2021-11-07,7:00p,San Antonio Spurs,,Oklahoma City Thunder,,,home
2021-11-07,8:30p,Houston Rockets,,Golden State Warriors,,,home
2021-11-07,9:00p,Charlotte Hornets,,Los Angeles Clippers,,,home
2021-11-08,7:00p,New York Knicks,,Philadelphia 76ers,,,home
2021-11-08,8:00p,Brooklyn Nets,,Chicago Bulls,,,home
2021-11-08,8:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,home
2021-11-08,8:30p,New Orleans Pelicans,,Dallas Mavericks,,,home
2021-11-08,9:00p,Miami Heat,,Denver Nuggets,,,home
2021-11-08,10:00p,Atlanta Hawks,,Golden State Warriors,,,home
2021-11-08,10:00p,Phoenix Suns,,Sacramento Kings,,,home
2021-11-08,10:30p,Charlotte Hornets,,Los Angeles Lakers,,,home
2021-11-09,7:30p,Milwaukee Bucks,,Philadelphia 76ers,,,home
2021-11-09,9:00p,Atlanta Hawks,,Utah Jazz,,,home
2021-11-09,10:00p,Portland Trail Blazers,,Los Angeles Clippers,,,home
2021-11-10,7:00p,Washington Wizards,,Cleveland Cavaliers,,,home
2021-11-10,7:00p,Brooklyn Nets,,Orlando Magic,,,home
2021-11-10,7:30p,Toronto Raptors,,Boston Celtics,,,home
2021-11-10,7:30p,Detroit Pistons,,Houston Rockets,,,home
2021-11-10,7:30p,Milwaukee Bucks,,New York Knicks,,,home
2021-11-10,8:00p,Dallas Mavericks,,Chicago Bulls,,,home
2021-11-10,8:00p,Charlotte Hornets,,Memphis Grizzlies,,,home
2021-11-10,8:00p,Oklahoma City Thunder,,New Orleans Pelicans,,,home
2021-11-10,8:30p,Sacramento Kings,,San Antonio Spurs,,,home
2021-11-10,9:00p,Indiana Pacers,,Denver Nuggets,,,home
2021-11-10,9:00p,Portland Trail Blazers,,Phoenix Suns,,,home
2021-11-10,10:00p,Minnesota Timberwolves,,Golden State Warriors,,,home
2021-11-10,10:00p,Miami Heat,,Los Angeles Lakers,,,home
2021-11-11,7:00p,Toronto Raptors,,Philadelphia 76ers,,,home
2021-11-11,9:00p,Indiana Pacers,,Utah Jazz,,,home
2021-11-11,10:30p,Miami Heat,,Los Angeles Clippers,,,home
2021-11-12,7:00p,New York Knicks,,Charlotte Hornets,,,home
2021-11-12,7:30p,Milwaukee Bucks,,Boston Celtics,,,home
2021-11-12,7:30p,Detroit Pistons,,Cleveland Cavaliers,,,home
2021-11-12,8:00p,Portland Trail Blazers,,Houston Rockets,,,home
2021-11-12,8:00p,Phoenix Suns,,Memphis Grizzlies,,,home
2021-11-12,8:00p,Brooklyn Nets,,New Orleans Pelicans,,,home
2021-11-12,8:00p,Sacramento Kings,,Oklahoma City Thunder,,,home
2021-11-12,8:30p,Dallas Mavericks,,San Antonio Spurs,,,home
2021-11-12,9:00p,Atlanta Hawks,,Denver Nuggets,,,home
2021-11-12,10:00p,Chicago Bulls,,Golden State Warriors,,,home
2021-11-12,10:30p,Minnesota Timberwolves,,Los Angeles Lakers,,,home
2021-11-13,5:00p,Miami Heat,,Utah Jazz,,,home
2021-11-13,7:00p,Philadelphia 76ers,,Indiana Pacers,,,home
2021-11-13,7:00p,Memphis Grizzlies,,New Orleans Pelicans,,,home
2021-11-13,7:00p,Washington Wizards,,Orlando Magic,,,home
2021-11-13,7:30p,Detroit Pistons,,Toronto Raptors,,,home
2021-11-13,8:00p,Boston Celtics,,Cleveland Cavaliers,,,home
2021-11-13,10:30p,Minnesota Timberwolves,,Los Angeles Clippers,,,home
2021-11-14,3:30p,San Antonio Spurs,,Los Angeles Lakers,,,home
2021-11-14,6:00p,Milwaukee Bucks,,Atlanta Hawks,,,home
2021-11-14,7:00p,Golden State Warriors,,Charlotte Hornets,,,home
2021-11-14,7:00p,Phoenix Suns,,Houston Rockets,,,home
2021-11-14,7:00p,Brooklyn Nets,,Oklahoma City Thunder,,,home
2021-11-14,8:00p,Portland Trail Blazers,,Denver Nuggets,,,home
2021-11-14,9:30p,Chicago Bulls,,Los Angeles Clippers,,,home
2021-11-15,7:00p,Boston Celtics,,Cleveland Cavaliers,,,home
2021-11-15,7:00p,Sacramento Kings,,Detroit Pistons,,,home
2021-11-15,7:00p,New Orleans Pelicans,,Washington Wizards,,,home
2021-11-15,7:30p,Orlando Magic,,Atlanta Hawks,,,home
2021-11-15,7:30p,Indiana Pacers,,New York Knicks,,,home
2021-11-15,8:00p,Denver Nuggets,,Dallas Mavericks,,,home
2021-11-15,8:00p,Houston Rockets,,Memphis Grizzlies,,,home
2021-11-15,8:00p,Phoenix Suns,,Minnesota Timberwolves,,,home
2021-11-15,8:00p,Miami Heat,,Oklahoma City Thunder,,,home
2021-11-15,10:00p,Toronto Raptors,,Portland Trail Blazers,,,home
2021-11-15,10:30p,Chicago Bulls,,Los Angeles Lakers,,,home
2021-11-16,7:30p,Golden State Warriors,,Brooklyn Nets,,,home
2021-11-16,10:00p,Philadelphia 76ers,,Utah Jazz,,,home
2021-11-16,10:30p,San Antonio Spurs,,Los Angeles Clippers,,,home
2021-11-17,7:00p,Washington Wizards,,Charlotte Hornets,,,home
2021-11-17,7:00p,Indiana Pacers,,Detroit Pistons,,,home
