Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Phoenix Suns,51,12,.810,8.00,114.97,107.02,7.95,7.53,114.73,107.26,7.48
Golden State Warriors,43,20,.683,6.59,112.99,106.29,6.70,6.43,112.85,106.31,6.53
Utah Jazz,39,23,.629,6.10,117.34,111.09,6.25,5.79,117.19,111.26,5.94
Boston Celtics,38,27,.585,5.49,112.75,106.98,5.77,4.95,112.28,107.07,5.22
Miami Heat,42,22,.656,4.70,114.18,109.34,4.84,4.40,113.82,109.29,4.53
Memphis Grizzlies,43,21,.672,4.56,114.47,109.98,4.49,4.52,114.58,110.13,4.45
Dallas Mavericks,38,25,.603,3.38,112.49,108.82,3.67,3.47,112.69,108.95,3.74
Cleveland Cavaliers,36,27,.571,3.35,111.97,108.55,3.42,3.18,111.58,108.34,3.24
Milwaukee Bucks,39,25,.609,3.58,114.56,111.03,3.53,2.96,114.31,111.39,2.92
Denver Nuggets,37,26,.587,2.84,113.65,110.75,2.89,2.56,113.40,110.80,2.60
Philadelphia 76ers,39,23,.629,2.55,113.27,110.70,2.57,2.29,113.09,110.78,2.31
Minnesota Timberwolves,35,29,.547,1.83,113.61,111.82,1.79,2.01,113.82,111.86,1.96
Atlanta Hawks,31,32,.492,0.81,116.17,115.37,0.80,1.13,116.46,115.33,1.14
Chicago Bulls,39,25,.609,1.66,114.77,113.18,1.59,1.15,114.55,113.47,1.09
Toronto Raptors,34,29,.540,1.13,112.81,111.69,1.12,1.04,112.61,111.57,1.04
San Antonio Spurs,24,39,.381,-0.13,112.35,112.60,-0.25,-0.03,112.63,112.78,-0.15
Los Angeles Clippers,34,31,.523,-0.20,109.27,109.59,-0.32,-0.15,109.26,109.52,-0.27
Charlotte Hornets,31,33,.484,-0.41,112.79,113.14,-0.35,-0.38,112.85,113.18,-0.33
New Orleans Pelicans,27,36,.429,-1.30,111.34,112.70,-1.35,-0.88,111.66,112.58,-0.92
Brooklyn Nets,32,32,.500,-0.98,112.62,113.63,-1.02,-0.96,112.84,113.83,-0.99
New York Knicks,25,38,.397,-2.16,109.81,112.03,-2.22,-1.93,109.86,111.85,-1.99
Indiana Pacers,22,43,.338,-2.38,112.08,114.47,-2.38,-2.27,112.33,114.58,-2.26
Los Angeles Lakers,27,35,.435,-2.29,109.57,111.86,-2.28,-2.65,109.34,112.00,-2.66
Washington Wizards,28,34,.452,-2.77,110.88,113.81,-2.93,-2.61,110.88,113.63,-2.75
Portland Trail Blazers,25,37,.403,-5.27,110.23,115.67,-5.44,-4.46,110.90,115.53,-4.63
Sacramento Kings,24,41,.369,-5.06,110.54,115.70,-5.16,-4.93,110.78,115.81,-5.03
Oklahoma City Thunder,20,43,.317,-7.10,103.74,110.89,-7.15,-6.81,103.62,110.48,-6.86
Orlando Magic,16,48,.250,-7.75,105.19,112.99,-7.80,-7.50,104.82,112.36,-7.54
Detroit Pistons,17,47,.266,-9.13,105.43,114.50,-9.07,-8.68,105.53,114.16,-8.63
Houston Rockets,15,48,.238,-9.56,108.11,117.67,-9.56,-9.10,108.66,117.77,-9.11
