Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,18,2,.900,13.65,114.60,100.79,13.81,12.50,113.94,101.34,12.60
Utah Jazz,13,7,.650,9.05,115.75,106.45,9.30,7.72,114.67,106.73,7.94
Miami Heat,13,7,.650,6.25,112.45,106.07,6.39,5.93,112.77,106.71,6.06
Phoenix Suns,17,3,.850,7.60,112.37,104.78,7.59,6.03,111.08,105.07,6.01
Brooklyn Nets,14,6,.700,4.10,111.05,106.74,4.31,3.63,111.38,107.54,3.84
Chicago Bulls,13,8,.619,4.00,110.52,106.58,3.94,3.52,110.47,107.00,3.48
Atlanta Hawks,11,10,.524,2.62,114.06,111.42,2.64,2.83,114.40,111.52,2.87
Los Angeles Clippers,11,9,.550,2.55,105.72,103.60,2.12,3.00,105.03,102.49,2.54
Milwaukee Bucks,13,8,.619,3.67,110.96,107.22,3.74,2.22,110.90,108.58,2.32
Indiana Pacers,9,13,.409,1.36,109.56,108.08,1.48,1.52,108.66,107.00,1.66
Portland Trail Blazers,10,10,.500,0.55,114.03,113.51,0.52,1.64,115.07,113.52,1.55
Philadelphia 76ers,10,10,.500,0.85,112.64,111.66,0.99,1.32,112.51,111.04,1.47
Cleveland Cavaliers,10,10,.500,0.15,107.30,107.11,0.20,0.90,107.48,106.53,0.94
Minnesota Timberwolves,10,10,.500,1.55,109.30,107.49,1.81,0.73,109.26,108.38,0.89
Charlotte Hornets,13,9,.591,0.18,112.02,111.72,0.30,0.58,112.77,112.06,0.71
Washington Wizards,13,7,.650,0.95,108.49,107.56,0.93,0.70,107.56,106.88,0.69
Boston Celtics,11,10,.524,1.67,108.30,106.59,1.71,0.52,107.83,107.23,0.60
Denver Nuggets,9,10,.474,-0.74,108.37,109.11,-0.74,0.23,107.70,107.47,0.23
Toronto Raptors,9,12,.429,-0.81,111.62,112.46,-0.84,-0.24,112.10,112.34,-0.24
New York Knicks,11,9,.550,0.15,109.54,109.36,0.18,-0.96,109.06,109.97,-0.90
Dallas Mavericks,10,8,.556,-1.56,108.60,110.14,-1.54,-1.42,109.56,111.04,-1.47
Sacramento Kings,8,13,.381,-2.90,109.64,112.69,-3.05,-2.13,109.21,111.48,-2.27
Los Angeles Lakers,11,11,.500,-2.82,106.87,109.65,-2.78,-3.98,106.84,110.79,-3.95
Memphis Grizzlies,10,10,.500,-4.95,111.15,116.38,-5.23,-3.68,112.04,116.01,-3.97
San Antonio Spurs,5,13,.278,-2.89,106.11,109.06,-2.95,-4.09,106.06,110.23,-4.17
New Orleans Pelicans,5,17,.227,-7.64,105.17,113.03,-7.86,-5.67,106.09,111.96,-5.87
Oklahoma City Thunder,6,13,.316,-6.95,101.51,108.64,-7.13,-5.78,102.47,108.39,-5.92
Detroit Pistons,4,16,.200,-9.15,101.82,111.14,-9.33,-8.25,102.32,110.70,-8.38
Houston Rockets,3,16,.158,-9.63,101.38,110.89,-9.52,-9.31,101.70,110.89,-9.19
Orlando Magic,4,17,.190,-11.14,101.60,112.88,-11.28,-10.37,101.63,112.08,-10.45
