Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,33,13,.717,7.72,111.32,103.44,7.88,7.54,111.17,103.47,7.70
Phoenix Suns,36,9,.800,7.96,113.47,105.57,7.89,7.51,113.45,106.00,7.45
Utah Jazz,30,16,.652,7.35,117.54,110.04,7.50,6.40,116.90,110.35,6.55
Cleveland Cavaliers,28,19,.596,4.77,111.95,107.08,4.87,5.18,111.85,106.57,5.28
Miami Heat,29,17,.630,4.43,114.11,109.52,4.59,4.01,113.75,109.59,4.16
Memphis Grizzlies,32,16,.667,3.56,112.94,109.43,3.51,3.79,113.24,109.50,3.74
Milwaukee Bucks,30,19,.612,3.86,113.02,109.17,3.85,2.95,112.56,109.60,2.95
Dallas Mavericks,26,20,.565,2.52,110.46,107.69,2.77,2.43,110.31,107.66,2.65
Brooklyn Nets,29,16,.644,2.67,113.40,110.69,2.72,1.88,113.39,111.47,1.92
Boston Celtics,23,24,.489,1.53,110.53,108.87,1.66,1.74,110.63,108.77,1.86
Chicago Bulls,28,16,.636,2.18,113.28,111.20,2.08,1.89,113.27,111.45,1.82
Toronto Raptors,22,21,.512,0.88,112.25,111.30,0.95,1.46,112.82,111.29,1.54
Denver Nuggets,23,21,.523,0.93,111.77,110.76,1.01,1.34,111.80,110.40,1.40
Philadelphia 76ers,26,19,.578,1.76,111.92,110.09,1.84,1.17,111.21,109.96,1.25
Minnesota Timberwolves,22,23,.489,0.78,110.84,110.03,0.81,0.83,110.95,110.10,0.85
Charlotte Hornets,26,20,.565,0.37,113.57,113.12,0.45,0.27,113.62,113.27,0.34
Indiana Pacers,17,30,.362,-0.91,111.59,112.51,-0.92,-0.01,111.82,111.81,0.01
San Antonio Spurs,17,29,.370,-0.54,110.51,111.16,-0.65,-0.66,110.89,111.66,-0.77
Atlanta Hawks,20,25,.444,-0.96,115.08,116.06,-0.98,-0.75,115.29,116.06,-0.77
Los Angeles Clippers,23,24,.489,-1.06,107.61,108.85,-1.24,-0.85,107.58,108.61,-1.03
New York Knicks,22,24,.478,-0.54,109.95,110.56,-0.62,-1.10,109.57,110.74,-1.17
Washington Wizards,23,23,.500,-1.54,111.05,112.71,-1.66,-1.45,110.80,112.36,-1.55
Los Angeles Lakers,23,23,.500,-1.24,109.63,110.87,-1.24,-2.00,109.27,111.29,-2.02
Portland Trail Blazers,19,26,.422,-3.87,111.46,115.50,-4.04,-2.81,112.09,115.06,-2.97
New Orleans Pelicans,17,28,.378,-4.20,109.19,113.48,-4.29,-3.69,109.82,113.59,-3.77
Sacramento Kings,18,30,.375,-4.00,110.99,115.09,-4.10,-3.90,111.25,115.25,-4.00
Oklahoma City Thunder,14,32,.304,-7.48,103.10,110.75,-7.64,-7.16,103.24,110.55,-7.31
Houston Rockets,14,33,.298,-7.96,108.01,115.97,-7.96,-7.84,108.40,116.23,-7.83
Orlando Magic,8,39,.170,-9.11,103.85,113.11,-9.26,-8.82,103.52,112.48,-8.96
Detroit Pistons,11,34,.244,-9.73,103.48,113.13,-9.66,-9.19,103.44,112.56,-9.12
