Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,14,2,.875,13.00,113.93,100.82,13.11,10.78,113.24,102.39,10.84
Utah Jazz,11,5,.688,9.69,115.72,105.74,9.98,9.77,115.04,104.97,10.07
Miami Heat,11,6,.647,7.41,113.51,106.00,7.51,7.65,114.26,106.50,7.76
Chicago Bulls,11,5,.688,5.19,111.57,106.40,5.17,5.65,111.65,106.00,5.65
Denver Nuggets,9,7,.563,2.81,108.47,105.47,3.00,3.13,107.55,104.22,3.33
Phoenix Suns,12,3,.800,5.80,110.02,104.33,5.69,3.35,108.04,104.82,3.23
Brooklyn Nets,12,5,.706,3.76,110.01,106.04,3.96,3.03,109.90,106.68,3.22
Washington Wizards,11,5,.688,2.63,108.57,106.07,2.50,3.21,107.75,104.63,3.12
Los Angeles Clippers,9,7,.563,3.56,106.42,103.41,3.01,3.66,105.16,102.10,3.06
Philadelphia 76ers,9,8,.529,1.76,113.99,112.11,1.88,1.86,113.64,111.67,1.97
Toronto Raptors,8,9,.471,0.82,111.49,110.60,0.88,1.65,111.95,110.23,1.72
Atlanta Hawks,8,9,.471,0.12,112.60,112.51,0.09,1.57,113.91,112.31,1.60
Boston Celtics,9,8,.529,1.88,109.00,107.02,1.99,1.41,109.10,107.56,1.54
Portland Trail Blazers,9,8,.529,0.65,113.15,112.60,0.54,1.38,114.08,112.90,1.18
Cleveland Cavaliers,9,8,.529,0.00,106.60,106.58,0.02,1.00,106.87,105.87,1.01
Indiana Pacers,7,11,.389,0.39,109.05,108.71,0.34,0.94,108.46,107.53,0.93
Charlotte Hornets,10,8,.556,-1.33,110.20,111.38,-1.18,0.22,110.92,110.58,0.34
Minnesota Timberwolves,7,9,.438,1.38,108.71,107.04,1.67,-0.25,108.75,108.86,-0.11
Milwaukee Bucks,9,8,.529,-0.24,108.56,108.78,-0.22,-0.84,108.30,109.08,-0.78
New York Knicks,9,7,.563,0.94,110.41,109.42,0.99,-0.88,109.53,110.32,-0.79
Sacramento Kings,6,11,.353,-2.00,109.76,111.95,-2.19,-1.14,110.19,111.51,-1.32
Dallas Mavericks,9,6,.600,-1.60,107.99,109.50,-1.51,-1.82,108.25,109.97,-1.72
Memphis Grizzlies,8,8,.500,-5.13,109.98,115.30,-5.32,-4.07,111.71,116.00,-4.30
San Antonio Spurs,4,11,.267,-2.53,105.98,108.58,-2.60,-4.82,105.74,110.62,-4.89
Los Angeles Lakers,8,9,.471,-4.06,105.83,109.83,-4.00,-5.20,105.82,110.96,-5.15
Oklahoma City Thunder,6,10,.375,-7.00,100.46,107.59,-7.13,-6.88,101.00,107.98,-6.98
New Orleans Pelicans,3,15,.167,-8.78,104.75,113.71,-8.96,-7.37,105.18,112.76,-7.58
Detroit Pistons,4,11,.267,-8.93,102.04,111.17,-9.13,-7.88,102.16,110.18,-8.03
Orlando Magic,4,13,.235,-8.71,103.27,112.08,-8.81,-8.10,103.17,111.30,-8.13
Houston Rockets,1,15,.063,-10.81,99.22,109.89,-10.67,-11.18,99.54,110.56,-11.03
