Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,41,13,.759,8.33,113.00,104.48,8.52,7.98,112.70,104.54,8.16
Phoenix Suns,43,10,.811,7.66,114.48,106.82,7.66,7.52,114.35,106.82,7.52
Utah Jazz,33,21,.611,6.07,117.01,110.82,6.20,5.88,116.82,110.82,6.00
Cleveland Cavaliers,33,21,.611,4.41,111.69,107.16,4.53,4.33,111.41,106.96,4.45
Miami Heat,35,20,.636,4.53,113.86,109.17,4.69,4.10,113.55,109.30,4.24
Memphis Grizzlies,37,18,.673,4.09,113.49,109.43,4.06,4.24,113.73,109.52,4.21
Boston Celtics,30,25,.545,4.11,111.35,107.02,4.32,3.72,111.09,107.17,3.92
Milwaukee Bucks,34,21,.618,3.98,113.91,109.98,3.93,3.16,113.66,110.54,3.12
Dallas Mavericks,31,23,.574,2.74,111.28,108.27,3.00,2.62,111.15,108.29,2.85
Toronto Raptors,29,23,.558,1.58,112.89,111.27,1.63,2.03,113.01,110.93,2.08
Denver Nuggets,29,24,.547,1.85,113.13,111.20,1.93,1.93,112.93,110.93,2.00
Minnesota Timberwolves,28,25,.528,1.66,112.77,111.08,1.69,1.79,113.01,111.19,1.82
Philadelphia 76ers,32,21,.604,2.21,112.63,110.34,2.29,1.60,111.99,110.32,1.67
Chicago Bulls,33,21,.611,1.59,114.31,112.79,1.51,1.00,114.26,113.33,0.93
Atlanta Hawks,25,28,.472,0.06,115.07,115.05,0.02,0.35,115.30,114.98,0.32
Brooklyn Nets,29,24,.547,0.47,113.12,112.68,0.45,0.23,113.26,113.06,0.20
San Antonio Spurs,20,34,.370,-0.02,111.84,111.97,-0.13,0.10,112.23,112.24,-0.01
Charlotte Hornets,28,27,.509,-0.85,112.56,113.37,-0.81,-0.78,112.69,113.43,-0.74
Los Angeles Clippers,27,28,.491,-1.07,108.34,109.57,-1.23,-0.95,108.26,109.37,-1.11
New York Knicks,24,30,.444,-1.04,109.60,110.71,-1.11,-1.13,109.43,110.61,-1.19
Indiana Pacers,19,36,.345,-2.15,111.59,113.73,-2.14,-1.64,111.84,113.48,-1.63
Los Angeles Lakers,26,28,.481,-1.31,109.64,110.96,-1.32,-1.95,109.18,111.15,-1.97
Washington Wizards,24,29,.453,-3.17,109.89,113.26,-3.36,-2.65,110.09,112.92,-2.83
New Orleans Pelicans,21,32,.396,-3.55,109.82,113.45,-3.64,-3.20,110.26,113.54,-3.28
Portland Trail Blazers,21,33,.389,-4.44,110.92,115.57,-4.64,-3.79,111.44,115.42,-3.98
Sacramento Kings,20,35,.364,-5.00,110.34,115.46,-5.13,-4.79,110.75,115.66,-4.91
Oklahoma City Thunder,17,36,.321,-6.49,103.62,110.23,-6.61,-6.27,103.58,109.96,-6.38
Orlando Magic,12,43,.218,-8.42,104.71,113.25,-8.54,-8.20,104.52,112.84,-8.32
Houston Rockets,15,38,.283,-8.68,108.19,116.87,-8.68,-8.38,108.64,117.02,-8.38
Detroit Pistons,12,41,.226,-9.40,104.31,113.64,-9.33,-9.04,104.26,113.24,-8.98
