Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,29,9,.763,8.74,112.11,103.33,8.78,8.50,111.88,103.36,8.52
Utah Jazz,28,12,.700,8.65,118.22,109.37,8.86,8.06,117.59,109.34,8.25
Phoenix Suns,30,9,.769,7.10,112.69,105.70,6.99,6.66,112.60,106.07,6.53
Cleveland Cavaliers,22,17,.564,5.28,112.09,106.70,5.40,5.77,111.84,105.95,5.89
Miami Heat,25,15,.625,4.25,113.72,109.33,4.39,3.83,113.90,109.93,3.97
Memphis Grizzlies,27,14,.659,4.12,113.26,109.18,4.09,4.01,113.34,109.38,3.96
Chicago Bulls,26,10,.722,3.83,113.56,109.80,3.76,2.98,113.07,110.14,2.93
Milwaukee Bucks,26,16,.619,3.95,113.39,109.40,3.98,2.56,112.91,110.29,2.61
Toronto Raptors,19,17,.528,1.44,112.75,111.16,1.58,2.22,113.39,111.02,2.37
Dallas Mavericks,21,18,.538,2.15,110.69,108.28,2.41,2.05,110.49,108.22,2.27
Boston Celtics,19,21,.475,1.53,110.34,108.70,1.64,1.86,110.58,108.61,1.98
Brooklyn Nets,24,13,.649,2.57,112.08,109.46,2.62,1.88,112.24,110.31,1.94
Philadelphia 76ers,22,16,.579,1.42,111.99,110.49,1.49,1.13,111.31,110.10,1.21
Minnesota Timberwolves,19,20,.487,0.46,109.73,109.19,0.54,0.60,109.99,109.32,0.67
Indiana Pacers,15,25,.375,0.05,111.89,111.79,0.10,0.55,111.48,110.86,0.63
Denver Nuggets,19,18,.514,-0.14,110.34,110.46,-0.13,0.48,110.21,109.73,0.48
San Antonio Spurs,15,23,.395,0.03,110.72,110.81,-0.09,-0.16,111.05,111.31,-0.26
Atlanta Hawks,17,21,.447,-0.32,114.82,115.09,-0.27,-0.45,114.85,115.26,-0.41
Charlotte Hornets,21,19,.525,-0.83,114.11,114.90,-0.79,-0.61,114.13,114.71,-0.57
Los Angeles Clippers,19,21,.475,-0.98,106.99,108.18,-1.19,-0.70,107.14,108.06,-0.93
Los Angeles Lakers,21,19,.525,-0.33,109.42,109.65,-0.23,-1.25,109.14,110.32,-1.19
Washington Wizards,19,20,.487,-2.36,110.24,112.76,-2.51,-1.61,110.12,111.85,-1.72
New York Knicks,19,21,.475,-1.23,109.74,111.08,-1.34,-1.76,109.59,111.44,-1.86
Portland Trail Blazers,14,24,.368,-4.47,112.17,116.83,-4.66,-2.98,113.11,116.28,-3.17
Sacramento Kings,16,25,.390,-4.46,109.99,114.54,-4.56,-3.72,110.54,114.35,-3.81
New Orleans Pelicans,14,25,.359,-5.03,108.65,113.77,-5.12,-4.52,109.36,113.97,-4.61
Oklahoma City Thunder,13,25,.342,-7.84,102.02,110.05,-8.03,-7.85,102.02,110.06,-8.04
Houston Rockets,11,29,.275,-8.43,107.62,116.08,-8.47,-8.59,108.06,116.69,-8.63
Orlando Magic,7,33,.175,-9.43,103.88,113.43,-9.55,-9.00,103.62,112.72,-9.10
Detroit Pistons,8,30,.211,-9.66,102.22,111.83,-9.62,-9.73,101.90,111.60,-9.70
