Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Utah Jazz,20,7,.741,11.52,119.27,107.43,11.84,10.39,118.54,107.86,10.68
Golden State Warriors,23,5,.821,11.61,113.20,101.53,11.67,10.50,112.65,102.13,10.52
Phoenix Suns,23,5,.821,6.50,111.40,104.87,6.53,6.28,111.27,104.95,6.32
Cleveland Cavaliers,18,12,.600,5.10,110.68,105.35,5.33,5.79,110.79,104.76,6.03
Miami Heat,17,12,.586,3.14,111.94,108.79,3.15,3.73,112.43,108.66,3.77
Milwaukee Bucks,19,11,.633,4.03,112.45,108.32,4.13,3.15,112.04,108.79,3.26
Brooklyn Nets,21,8,.724,3.76,111.72,107.84,3.88,2.79,111.61,108.71,2.90
Chicago Bulls,17,10,.630,2.56,110.87,108.46,2.41,2.33,110.74,108.54,2.20
Memphis Grizzlies,18,11,.621,2.07,112.57,110.50,2.07,2.17,112.57,110.39,2.18
Atlanta Hawks,14,14,.500,2.21,114.97,112.71,2.26,2.06,114.90,112.77,2.13
Indiana Pacers,13,18,.419,1.52,111.41,109.77,1.64,1.68,110.82,109.01,1.81
Boston Celtics,14,14,.500,1.14,109.86,108.67,1.19,1.18,109.88,108.64,1.23
Los Angeles Clippers,16,13,.552,1.17,107.70,106.85,0.85,1.14,107.53,106.71,0.81
Toronto Raptors,13,15,.464,0.54,111.31,110.72,0.59,0.69,111.51,110.76,0.75
Denver Nuggets,14,14,.500,-0.36,110.57,110.87,-0.30,0.24,110.66,110.34,0.32
Minnesota Timberwolves,13,15,.464,-0.64,109.38,109.81,-0.43,-0.29,109.43,109.53,-0.10
Dallas Mavericks,14,14,.500,-0.18,109.55,109.48,0.07,-0.34,109.47,109.60,-0.13
Charlotte Hornets,16,14,.533,-0.77,114.78,115.59,-0.81,-0.36,115.17,115.55,-0.38
Philadelphia 76ers,15,15,.500,-1.07,110.24,111.27,-1.03,-0.55,109.83,110.34,-0.51
San Antonio Spurs,10,17,.370,-0.70,109.63,110.34,-0.72,-1.13,109.67,110.81,-1.13
New York Knicks,13,16,.448,-1.34,110.71,112.12,-1.41,-1.43,110.85,112.33,-1.48
Los Angeles Lakers,16,13,.552,-0.10,108.20,108.25,-0.05,-1.54,107.98,109.51,-1.53
Portland Trail Blazers,11,18,.379,-3.21,110.78,114.08,-3.30,-1.64,112.08,113.83,-1.76
Sacramento Kings,12,17,.414,-2.90,110.65,113.62,-2.97,-2.36,110.83,113.27,-2.44
Washington Wizards,15,15,.500,-2.83,108.59,111.63,-3.04,-2.47,108.38,111.02,-2.64
New Orleans Pelicans,9,21,.300,-5.90,107.69,113.81,-6.12,-5.76,108.05,114.02,-5.97
Houston Rockets,9,20,.310,-6.97,106.18,113.15,-6.97,-7.48,106.35,113.86,-7.51
Detroit Pistons,4,23,.148,-9.74,102.40,112.30,-9.90,-9.38,102.92,112.46,-9.55
Oklahoma City Thunder,8,19,.296,-9.37,101.59,111.27,-9.69,-9.50,101.53,111.35,-9.82
Orlando Magic,5,24,.172,-10.52,103.09,113.70,-10.61,-9.81,102.91,112.80,-9.88
