Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,18,2,.900,13.65,114.60,100.79,13.81,12.34,113.85,101.41,12.44
Utah Jazz,14,7,.667,9.67,116.84,106.86,9.98,8.53,115.65,106.84,8.81
Phoenix Suns,17,3,.850,7.60,112.37,104.78,7.59,6.23,111.19,104.98,6.21
Miami Heat,13,8,.619,5.52,112.92,107.31,5.61,5.23,113.20,107.88,5.31
Chicago Bulls,14,8,.636,4.45,111.54,107.14,4.40,4.00,111.32,107.36,3.96
Brooklyn Nets,14,6,.700,4.10,111.05,106.74,4.31,3.65,111.47,107.61,3.86
Atlanta Hawks,11,10,.524,2.62,114.06,111.42,2.64,2.91,114.39,111.43,2.96
Milwaukee Bucks,13,8,.619,3.67,110.96,107.22,3.74,2.33,111.03,108.58,2.45
Indiana Pacers,9,14,.391,1.22,109.07,107.74,1.32,1.44,108.07,106.48,1.59
Cleveland Cavaliers,11,10,.524,1.00,107.69,106.63,1.06,1.49,107.61,106.08,1.53
Philadelphia 76ers,11,10,.524,1.05,112.05,110.87,1.18,1.11,111.80,110.56,1.25
Los Angeles Clippers,11,10,.524,1.52,106.08,105.05,1.03,1.62,105.26,104.17,1.09
Minnesota Timberwolves,11,10,.524,1.57,108.87,107.05,1.82,0.89,108.76,107.71,1.04
Denver Nuggets,10,10,.500,-0.25,109.56,109.77,-0.21,0.96,109.11,108.10,1.00
Portland Trail Blazers,10,11,.476,-0.52,114.08,114.70,-0.63,0.85,115.07,114.37,0.69
Boston Celtics,11,10,.524,1.67,108.30,106.59,1.71,0.53,107.85,107.25,0.60
Charlotte Hornets,13,10,.565,-0.43,112.32,112.63,-0.32,0.03,113.19,113.05,0.14
Toronto Raptors,9,12,.429,-0.81,111.62,112.46,-0.84,-0.31,112.20,112.53,-0.32
Washington Wizards,13,8,.619,0.10,108.50,108.51,-0.01,-0.33,107.53,107.94,-0.42
New York Knicks,11,9,.550,0.15,109.54,109.36,0.18,-0.77,109.36,110.07,-0.70
Dallas Mavericks,10,9,.526,-2.42,108.00,110.41,-2.42,-2.07,108.79,110.91,-2.12
Sacramento Kings,8,13,.381,-2.90,109.64,112.69,-3.05,-2.02,109.22,111.38,-2.16
San Antonio Spurs,6,13,.316,-1.84,107.24,109.05,-1.81,-3.08,107.44,110.51,-3.07
Los Angeles Lakers,11,11,.500,-2.82,106.87,109.65,-2.78,-3.90,106.95,110.81,-3.86
Memphis Grizzlies,10,10,.500,-4.95,111.15,116.38,-5.23,-3.71,111.82,115.83,-4.01
New Orleans Pelicans,6,17,.261,-6.48,106.43,113.04,-6.61,-4.65,107.55,112.34,-4.79
Oklahoma City Thunder,6,14,.300,-7.25,100.72,108.12,-7.40,-6.47,101.55,108.13,-6.57
Detroit Pistons,4,16,.200,-9.15,101.82,111.14,-9.33,-8.22,102.42,110.79,-8.36
Houston Rockets,4,16,.200,-8.50,101.22,109.64,-8.41,-8.54,101.60,110.07,-8.46
Orlando Magic,4,18,.182,-10.86,101.30,112.30,-10.99,-9.98,101.16,111.20,-10.04
