Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,37,13,.740,8.16,112.08,103.75,8.33,8.16,111.96,103.62,8.33
Phoenix Suns,40,9,.816,7.90,114.10,106.24,7.86,7.76,114.10,106.37,7.73
Utah Jazz,30,21,.588,5.73,116.80,110.97,5.83,5.45,116.60,111.05,5.55
Cleveland Cavaliers,30,20,.600,4.64,112.04,107.30,4.74,4.80,111.95,107.05,4.90
Miami Heat,32,18,.640,4.54,114.07,109.35,4.72,4.04,113.75,109.54,4.21
Memphis Grizzlies,35,17,.673,3.77,113.15,109.40,3.74,4.10,113.42,109.35,4.08
Boston Celtics,26,25,.510,2.90,110.96,107.87,3.09,2.76,110.72,107.80,2.92
Dallas Mavericks,29,22,.569,2.67,111.05,108.13,2.91,2.58,110.96,108.16,2.80
Denver Nuggets,28,21,.571,2.14,112.81,110.56,2.26,2.14,112.68,110.44,2.24
Milwaukee Bucks,31,21,.596,2.92,112.97,110.13,2.85,2.18,112.69,110.56,2.12
Philadelphia 76ers,30,19,.612,2.35,112.37,109.91,2.46,1.60,111.62,109.92,1.70
Minnesota Timberwolves,25,25,.500,0.98,112.00,110.98,1.01,1.44,112.32,110.85,1.47
Brooklyn Nets,29,20,.592,1.82,113.38,111.53,1.85,1.32,113.54,112.19,1.35
Toronto Raptors,24,23,.511,0.83,112.26,111.39,0.87,1.23,112.57,111.29,1.28
Chicago Bulls,31,18,.633,1.82,113.66,111.93,1.73,1.20,113.56,112.42,1.14
Atlanta Hawks,24,25,.490,0.41,115.34,114.95,0.39,0.46,115.41,114.96,0.45
San Antonio Spurs,19,32,.373,-0.10,111.50,111.71,-0.21,-0.06,111.89,112.06,-0.17
Charlotte Hornets,28,23,.549,-0.14,113.50,113.60,-0.10,-0.31,113.47,113.74,-0.28
Los Angeles Clippers,26,26,.500,-0.58,107.96,108.71,-0.74,-0.41,107.88,108.46,-0.58
New York Knicks,23,27,.460,-0.96,109.74,110.79,-1.05,-1.24,109.57,110.89,-1.32
Indiana Pacers,18,33,.353,-2.02,111.60,113.59,-1.99,-1.47,111.74,113.17,-1.43
Los Angeles Lakers,24,27,.471,-1.61,109.62,111.23,-1.60,-2.16,109.19,111.35,-2.16
Washington Wizards,23,26,.469,-2.47,110.42,113.05,-2.63,-2.30,110.37,112.81,-2.44
Portland Trail Blazers,21,29,.420,-3.72,111.95,115.85,-3.89,-2.77,112.52,115.45,-2.93
New Orleans Pelicans,18,31,.367,-4.41,109.37,113.90,-4.52,-3.85,109.96,113.92,-3.96
Sacramento Kings,18,33,.353,-5.18,110.17,115.50,-5.32,-4.98,110.43,115.55,-5.12
Oklahoma City Thunder,14,34,.292,-7.25,103.27,110.68,-7.41,-7.00,103.32,110.46,-7.14
Orlando Magic,11,40,.216,-7.84,104.66,112.63,-7.97,-7.75,104.41,112.28,-7.87
Houston Rockets,14,35,.286,-8.55,107.93,116.47,-8.54,-8.49,108.19,116.67,-8.48
Detroit Pistons,12,37,.245,-9.29,104.20,113.41,-9.20,-8.95,104.17,113.04,-8.88
