Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,38,13,.745,8.27,112.32,103.87,8.45,8.11,112.10,103.81,8.28
Phoenix Suns,40,9,.816,7.90,114.10,106.24,7.86,7.75,114.09,106.37,7.72
Utah Jazz,30,21,.588,5.73,116.80,110.97,5.83,5.43,116.60,111.08,5.52
Cleveland Cavaliers,31,20,.608,4.61,111.90,107.19,4.72,4.71,111.78,106.97,4.81
Memphis Grizzlies,35,18,.660,3.64,113.05,109.43,3.62,3.94,113.31,109.39,3.92
Miami Heat,32,19,.627,3.86,113.72,109.71,4.01,3.44,113.48,109.90,3.58
Boston Celtics,27,25,.519,3.42,111.28,107.65,3.63,3.37,111.10,107.54,3.56
Dallas Mavericks,29,22,.569,2.67,111.05,108.13,2.91,2.58,110.96,108.17,2.79
Denver Nuggets,28,21,.571,2.14,112.81,110.56,2.26,2.10,112.66,110.47,2.19
Milwaukee Bucks,31,21,.596,2.92,112.97,110.13,2.85,2.23,112.71,110.54,2.17
Philadelphia 76ers,31,19,.620,2.36,112.34,109.87,2.47,1.71,111.65,109.84,1.81
Minnesota Timberwolves,25,25,.500,0.98,112.00,110.98,1.01,1.44,112.31,110.85,1.46
Toronto Raptors,25,23,.521,0.94,112.20,111.22,0.98,1.36,112.43,111.02,1.41
Brooklyn Nets,29,20,.592,1.82,113.38,111.53,1.85,1.34,113.55,112.18,1.37
Chicago Bulls,31,18,.633,1.82,113.66,111.93,1.73,1.22,113.56,112.40,1.16
Atlanta Hawks,24,26,.480,0.28,115.10,114.84,0.26,0.36,115.16,114.82,0.34
San Antonio Spurs,19,32,.373,-0.10,111.50,111.71,-0.21,-0.03,111.90,112.04,-0.14
Charlotte Hornets,28,23,.549,-0.14,113.50,113.60,-0.10,-0.30,113.45,113.72,-0.27
Los Angeles Clippers,26,27,.491,-0.68,108.15,108.99,-0.84,-0.57,108.03,108.77,-0.74
New York Knicks,24,27,.471,-0.55,109.86,110.50,-0.64,-0.86,109.63,110.57,-0.94
Indiana Pacers,19,33,.365,-1.87,111.83,113.67,-1.84,-1.32,112.04,113.31,-1.28
Los Angeles Lakers,24,27,.471,-1.61,109.62,111.23,-1.60,-2.18,109.18,111.36,-2.18
Washington Wizards,23,26,.469,-2.47,110.42,113.05,-2.63,-2.28,110.40,112.82,-2.42
Portland Trail Blazers,21,30,.412,-3.98,111.49,115.67,-4.18,-3.21,112.02,115.42,-3.40
New Orleans Pelicans,18,32,.360,-4.38,109.22,113.72,-4.50,-3.71,109.88,113.70,-3.82
Sacramento Kings,18,34,.346,-5.46,109.90,115.51,-5.61,-5.31,110.16,115.61,-5.45
Oklahoma City Thunder,15,34,.306,-6.76,103.35,110.22,-6.88,-6.58,103.28,109.97,-6.69
Orlando Magic,11,40,.216,-7.84,104.66,112.63,-7.97,-7.75,104.40,112.28,-7.87
Houston Rockets,14,36,.280,-8.66,107.97,116.63,-8.65,-8.41,108.41,116.81,-8.40
Detroit Pistons,12,37,.245,-9.29,104.20,113.41,-9.20,-8.98,104.15,113.05,-8.90
