Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Phoenix Suns,45,10,.818,7.91,114.75,106.84,7.91,7.81,114.65,106.84,7.82
Golden State Warriors,41,15,.732,7.54,112.68,105.01,7.67,7.29,112.43,105.00,7.43
Utah Jazz,34,21,.618,6.44,117.08,110.48,6.60,6.37,117.01,110.47,6.53
Memphis Grizzlies,39,18,.684,4.84,114.10,109.31,4.79,4.76,114.30,109.58,4.72
Cleveland Cavaliers,34,21,.618,4.56,111.64,106.95,4.69,4.48,111.34,106.73,4.60
Boston Celtics,31,25,.554,4.66,111.65,106.76,4.88,4.26,111.35,106.88,4.47
Miami Heat,36,20,.643,4.71,113.97,109.07,4.89,4.26,113.62,109.20,4.43
Dallas Mavericks,33,23,.589,3.30,111.59,108.00,3.59,3.01,111.46,108.19,3.27
Milwaukee Bucks,35,22,.614,3.68,114.07,110.44,3.63,3.01,113.92,110.96,2.96
Toronto Raptors,31,23,.574,2.22,113.52,111.24,2.28,2.40,113.57,111.10,2.46
Denver Nuggets,30,24,.556,2.13,113.52,111.30,2.22,2.17,113.35,111.10,2.25
Philadelphia 76ers,32,22,.593,2.07,112.53,110.38,2.16,1.64,112.00,110.29,1.71
Minnesota Timberwolves,29,26,.527,1.73,113.04,111.28,1.75,1.65,113.09,111.42,1.67
Chicago Bulls,34,21,.618,1.78,114.51,112.80,1.71,1.16,114.41,113.30,1.11
Atlanta Hawks,26,28,.481,0.44,115.44,115.03,0.41,0.73,115.64,114.92,0.72
San Antonio Spurs,20,35,.364,-0.25,111.54,111.92,-0.38,-0.06,111.99,112.16,-0.17
Brooklyn Nets,29,26,.527,-0.20,112.91,113.15,-0.24,-0.40,113.11,113.54,-0.44
Charlotte Hornets,28,28,.500,-1.05,112.57,113.59,-1.02,-0.94,112.66,113.57,-0.91
New York Knicks,25,31,.446,-1.27,109.89,111.23,-1.34,-1.15,109.87,111.08,-1.21
Los Angeles Clippers,27,30,.474,-1.61,108.35,110.11,-1.76,-1.35,108.38,109.88,-1.50
Indiana Pacers,19,37,.339,-2.48,111.63,114.11,-2.49,-1.97,111.80,113.77,-1.97
Los Angeles Lakers,26,30,.464,-1.57,109.73,111.30,-1.57,-2.21,109.21,111.44,-2.24
Washington Wizards,25,29,.463,-3.09,110.14,113.42,-3.28,-2.50,110.36,113.03,-2.67
New Orleans Pelicans,22,33,.400,-3.45,109.74,113.29,-3.56,-3.20,110.07,113.37,-3.29
Portland Trail Blazers,22,34,.393,-4.57,110.73,115.51,-4.78,-4.09,111.21,115.49,-4.28
Sacramento Kings,21,36,.368,-4.95,110.56,115.63,-5.07,-4.71,110.96,115.78,-4.82
Oklahoma City Thunder,17,37,.315,-6.72,103.59,110.44,-6.85,-6.49,103.54,110.15,-6.61
Orlando Magic,13,43,.232,-7.95,104.95,113.00,-8.05,-7.82,104.67,112.59,-7.93
Houston Rockets,15,40,.273,-8.95,108.21,117.15,-8.95,-8.69,108.62,117.31,-8.69
Detroit Pistons,12,43,.218,-10.05,104.07,114.09,-10.02,-9.57,104.12,113.65,-9.53
