Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,17,2,.895,13.58,114.97,101.24,13.73,12.24,113.94,101.57,12.36
Utah Jazz,13,7,.650,9.05,115.75,106.45,9.30,7.90,114.71,106.60,8.11
Phoenix Suns,17,3,.850,7.60,112.37,104.78,7.59,6.09,111.08,105.02,6.06
Miami Heat,13,7,.650,6.25,112.45,106.07,6.39,5.84,112.75,106.78,5.97
Brooklyn Nets,14,6,.700,4.10,111.05,106.74,4.31,3.61,111.40,107.58,3.82
Chicago Bulls,13,8,.619,4.00,110.52,106.58,3.94,3.58,110.52,106.99,3.54
Atlanta Hawks,11,10,.524,2.62,114.06,111.42,2.64,2.69,114.34,111.61,2.73
Los Angeles Clippers,11,8,.579,3.47,106.43,103.39,3.04,3.14,105.23,102.56,2.68
Indiana Pacers,9,12,.429,2.29,109.92,107.50,2.42,2.49,109.03,106.39,2.64
Portland Trail Blazers,10,10,.500,0.55,114.03,113.51,0.52,1.80,115.10,113.39,1.71
Philadelphia 76ers,10,10,.500,0.85,112.64,111.66,0.99,1.44,112.59,111.00,1.58
Milwaukee Bucks,12,8,.600,2.95,110.49,107.48,3.01,1.35,110.36,108.93,1.43
Cleveland Cavaliers,10,10,.500,0.15,107.30,107.11,0.20,0.78,107.41,106.58,0.83
Minnesota Timberwolves,10,10,.500,1.55,109.30,107.49,1.81,0.62,109.17,108.38,0.78
Charlotte Hornets,13,9,.591,0.18,112.02,111.72,0.30,0.58,112.76,112.04,0.72
Washington Wizards,13,7,.650,0.95,108.49,107.56,0.93,0.61,107.52,106.92,0.61
Toronto Raptors,9,11,.450,-0.25,112.10,112.35,-0.25,0.41,112.55,112.12,0.43
Denver Nuggets,9,10,.474,-0.74,108.37,109.11,-0.74,0.10,107.65,107.55,0.11
Boston Celtics,10,10,.500,1.15,107.99,106.83,1.17,-0.07,107.67,107.68,-0.02
Sacramento Kings,8,12,.400,-1.70,110.37,112.30,-1.93,-0.57,110.38,111.16,-0.78
New York Knicks,11,9,.550,0.15,109.54,109.36,0.18,-0.96,109.11,110.01,-0.90
Dallas Mavericks,10,8,.556,-1.56,108.60,110.14,-1.54,-1.34,109.58,110.98,-1.40
Los Angeles Lakers,10,11,.476,-3.14,106.78,109.88,-3.10,-4.01,106.79,110.77,-3.97
San Antonio Spurs,5,13,.278,-2.89,106.11,109.06,-2.95,-4.09,106.08,110.25,-4.17
Memphis Grizzlies,9,10,.474,-6.63,110.66,117.50,-6.84,-5.18,111.75,117.14,-5.39
New Orleans Pelicans,5,17,.227,-7.64,105.17,113.03,-7.86,-5.56,106.12,111.89,-5.77
Oklahoma City Thunder,6,13,.316,-6.95,101.51,108.64,-7.13,-5.80,102.45,108.40,-5.95
Detroit Pistons,4,15,.211,-9.42,101.66,111.26,-9.61,-8.21,102.30,110.66,-8.36
Houston Rockets,3,16,.158,-9.63,101.38,110.89,-9.52,-9.44,101.64,110.97,-9.33
Orlando Magic,4,17,.190,-11.14,101.60,112.88,-11.28,-10.47,101.61,112.16,-10.54
