Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,13,2,.867,13.67,113.80,100.04,13.76,12.21,113.26,100.98,12.28
Utah Jazz,10,5,.667,9.13,114.82,105.44,9.38,9.19,114.05,104.58,9.47
Miami Heat,11,5,.688,8.06,113.67,105.48,8.19,8.20,114.39,106.05,8.35
Chicago Bulls,10,5,.667,5.13,110.88,105.79,5.09,5.23,110.62,105.44,5.18
Los Angeles Clippers,9,6,.600,4.67,107.62,103.47,4.15,5.48,106.84,101.91,4.93
Denver Nuggets,9,6,.600,3.40,107.99,104.36,3.63,3.55,106.93,103.12,3.80
Brooklyn Nets,11,5,.688,3.88,109.47,105.39,4.08,3.19,109.21,105.83,3.38
Phoenix Suns,11,3,.786,5.64,109.68,104.17,5.51,3.42,107.66,104.38,3.28
Washington Wizards,10,5,.667,2.60,108.19,105.74,2.45,2.30,106.88,104.72,2.16
Philadelphia 76ers,9,7,.563,2.31,113.87,111.42,2.45,1.80,113.46,111.52,1.94
Portland Trail Blazers,8,8,.500,0.25,112.52,112.40,0.12,1.51,113.81,112.52,1.30
Charlotte Hornets,9,7,.563,-1.06,109.68,110.53,-0.85,0.96,110.99,109.85,1.14
Cleveland Cavaliers,9,8,.529,0.00,106.60,106.58,0.02,1.11,107.16,106.04,1.12
Atlanta Hawks,7,9,.438,-0.50,112.07,112.63,-0.56,0.65,113.57,112.94,0.63
Indiana Pacers,6,10,.375,-0.44,108.49,108.99,-0.50,0.37,107.93,107.58,0.36
Boston Celtics,7,8,.467,0.27,106.89,106.54,0.35,0.08,106.59,106.41,0.18
Sacramento Kings,6,9,.400,0.20,110.71,110.57,0.13,0.16,110.93,110.86,0.07
Toronto Raptors,7,9,.438,-0.31,111.25,111.58,-0.33,0.07,111.95,111.89,0.06
New York Knicks,8,7,.533,0.53,110.58,109.99,0.58,-1.25,109.40,110.59,-1.19
Memphis Grizzlies,8,7,.533,-2.60,110.74,113.44,-2.70,-1.13,112.68,113.94,-1.26
Milwaukee Bucks,7,8,.467,-1.33,108.91,110.21,-1.31,-1.45,108.68,110.06,-1.38
Dallas Mavericks,9,5,.643,-1.14,108.09,109.13,-1.03,-1.77,107.92,109.57,-1.65
Minnesota Timberwolves,6,9,.400,-1.40,106.41,107.60,-1.19,-2.23,106.93,109.08,-2.15
Los Angeles Lakers,8,8,.500,-2.94,105.65,108.52,-2.87,-4.00,105.59,109.51,-3.92
San Antonio Spurs,4,11,.267,-2.53,105.98,108.58,-2.60,-4.77,105.81,110.64,-4.83
Oklahoma City Thunder,6,8,.429,-7.07,100.29,107.47,-7.18,-6.42,101.02,107.52,-6.50
New Orleans Pelicans,2,14,.125,-9.63,105.52,115.41,-9.89,-8.23,105.68,114.17,-8.49
Orlando Magic,4,11,.267,-9.13,102.27,111.53,-9.26,-9.14,101.80,111.02,-9.22
Detroit Pistons,4,10,.286,-9.36,101.29,110.84,-9.54,-9.28,100.71,110.14,-9.43
Houston Rockets,1,14,.067,-11.07,99.11,110.02,-10.90,-11.19,100.07,111.08,-11.02
