Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,14,2,.875,13.00,113.93,100.82,13.11,10.82,113.28,102.39,10.89
Utah Jazz,10,5,.667,9.13,114.82,105.44,9.38,9.25,114.25,104.72,9.53
Miami Heat,11,5,.688,8.06,113.67,105.48,8.19,8.18,114.28,105.95,8.33
Chicago Bulls,11,5,.688,5.19,111.57,106.40,5.17,5.68,111.59,105.92,5.67
Denver Nuggets,9,7,.563,2.81,108.47,105.47,3.00,3.20,107.59,104.19,3.40
Brooklyn Nets,12,5,.706,3.76,110.01,106.04,3.96,3.02,109.83,106.61,3.21
Phoenix Suns,12,3,.800,5.80,110.02,104.33,5.69,3.30,107.97,104.81,3.17
Los Angeles Clippers,9,7,.563,3.56,106.42,103.41,3.01,3.53,105.23,102.30,2.93
Washington Wizards,10,5,.667,2.60,108.19,105.74,2.45,2.86,107.21,104.47,2.74
Philadelphia 76ers,9,7,.563,2.31,113.87,111.42,2.45,2.22,113.63,111.26,2.37
Toronto Raptors,8,9,.471,0.82,111.49,110.60,0.88,1.57,111.95,110.32,1.64
Boston Celtics,8,8,.500,1.63,108.39,106.68,1.71,1.52,108.31,106.67,1.64
Cleveland Cavaliers,9,8,.529,0.00,106.60,106.58,0.02,1.16,106.96,105.79,1.17
Charlotte Hornets,10,7,.588,-0.82,110.18,110.81,-0.63,0.86,111.18,110.16,1.02
Atlanta Hawks,7,9,.438,-0.50,112.07,112.63,-0.56,0.96,113.55,112.60,0.94
Portland Trail Blazers,8,8,.500,0.25,112.52,112.40,0.12,1.07,113.64,112.80,0.85
Indiana Pacers,6,11,.353,-0.59,108.89,109.53,-0.64,0.49,108.50,108.01,0.49
New York Knicks,8,7,.533,0.53,110.58,109.99,0.58,-0.64,109.66,110.22,-0.56
Sacramento Kings,6,10,.375,-1.00,109.73,110.87,-1.14,-0.92,109.79,110.87,-1.07
Milwaukee Bucks,8,8,.500,-0.81,108.23,109.01,-0.78,-1.18,108.05,109.15,-1.10
Memphis Grizzlies,8,7,.533,-2.60,110.74,113.44,-2.70,-1.58,112.39,114.12,-1.73
Dallas Mavericks,9,6,.600,-1.60,107.99,109.50,-1.51,-1.85,108.13,109.88,-1.75
Minnesota Timberwolves,6,9,.400,-1.40,106.41,107.60,-1.19,-2.71,106.82,109.48,-2.65
San Antonio Spurs,4,11,.267,-2.53,105.98,108.58,-2.60,-5.08,105.58,110.73,-5.15
Los Angeles Lakers,8,9,.471,-4.06,105.83,109.83,-4.00,-5.24,105.87,111.05,-5.18
Oklahoma City Thunder,6,9,.400,-7.07,99.66,106.84,-7.17,-7.05,100.00,107.13,-7.13
New Orleans Pelicans,3,14,.176,-8.29,105.34,113.82,-8.48,-6.99,105.77,112.97,-7.20
Detroit Pistons,4,11,.267,-8.93,102.04,111.17,-9.13,-7.93,102.02,110.08,-8.06
Orlando Magic,4,12,.250,-8.69,103.16,111.97,-8.81,-8.15,102.99,111.20,-8.21
Houston Rockets,1,14,.067,-11.07,99.11,110.02,-10.90,-11.48,99.66,110.97,-11.31
