Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,15,2,.882,13.12,114.51,101.26,13.26,11.09,113.74,102.55,11.19
Utah Jazz,11,6,.647,9.06,116.02,106.69,9.33,8.76,115.07,106.05,9.03
Miami Heat,11,6,.647,7.41,113.51,106.00,7.51,7.60,114.19,106.48,7.71
Phoenix Suns,14,3,.824,7.06,111.44,104.43,7.01,4.68,109.85,105.24,4.61
Chicago Bulls,12,6,.667,3.17,110.09,107.02,3.07,3.51,110.00,106.57,3.43
Los Angeles Clippers,10,7,.588,3.71,106.57,103.34,3.23,3.82,105.42,102.12,3.31
Brooklyn Nets,13,5,.722,3.83,110.37,106.35,4.02,3.06,110.36,107.12,3.25
Washington Wizards,11,6,.647,2.12,108.19,106.19,2.00,2.86,107.43,104.63,2.80
Indiana Pacers,8,11,.421,2.05,109.37,107.27,2.10,2.68,108.81,106.05,2.76
Philadelphia 76ers,10,8,.556,2.11,113.83,111.57,2.26,1.85,113.12,111.14,1.98
Denver Nuggets,9,8,.529,0.94,107.94,106.87,1.07,1.64,107.38,105.60,1.78
Atlanta Hawks,9,9,.500,0.78,113.21,112.40,0.82,1.63,114.30,112.60,1.70
Boston Celtics,10,8,.556,2.78,108.86,105.99,2.86,1.51,108.78,107.16,1.62
Portland Trail Blazers,9,8,.529,0.65,113.15,112.60,0.54,1.50,114.16,112.83,1.32
Toronto Raptors,8,10,.444,-0.06,111.31,111.34,-0.04,1.23,112.19,110.92,1.27
Charlotte Hornets,11,8,.579,-0.95,110.09,110.89,-0.80,0.87,111.12,110.12,1.00
Cleveland Cavaliers,9,9,.500,-0.28,106.87,107.13,-0.26,0.95,107.12,106.14,0.98
Milwaukee Bucks,10,8,.556,1.50,109.35,107.83,1.52,0.43,108.87,108.37,0.49
Minnesota Timberwolves,8,9,.471,2.12,108.97,106.55,2.42,0.28,108.78,108.34,0.44
New York Knicks,9,8,.529,0.53,110.32,109.76,0.56,-0.96,109.91,110.81,-0.90
Sacramento Kings,6,12,.333,-2.33,109.35,111.90,-2.55,-1.31,109.46,110.97,-1.51
Dallas Mavericks,9,7,.563,-1.88,107.64,109.48,-1.84,-1.97,108.09,110.06,-1.97
Memphis Grizzlies,9,8,.529,-4.76,110.69,115.63,-4.94,-3.24,112.43,115.85,-3.43
San Antonio Spurs,4,12,.250,-2.63,106.27,108.96,-2.68,-4.42,106.34,110.84,-4.50
Los Angeles Lakers,9,9,.500,-3.56,106.40,109.92,-3.52,-4.92,106.36,111.25,-4.89
Oklahoma City Thunder,6,11,.353,-7.29,101.00,108.48,-7.48,-7.00,101.39,108.55,-7.16
New Orleans Pelicans,3,16,.158,-9.05,104.43,113.68,-9.24,-7.59,104.99,112.79,-7.79
Detroit Pistons,4,12,.250,-8.69,102.63,111.48,-8.86,-8.19,102.67,110.98,-8.31
Orlando Magic,4,14,.222,-9.94,102.68,112.73,-10.05,-9.29,102.47,111.80,-9.33
Houston Rockets,1,16,.059,-11.24,98.60,109.68,-11.08,-11.39,98.73,109.96,-11.23
