Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,40,13,.755,8.26,112.96,104.51,8.44,8.03,112.64,104.43,8.20
Phoenix Suns,42,10,.808,7.75,114.18,106.43,7.75,7.61,114.08,106.47,7.61
Utah Jazz,32,21,.604,6.02,117.09,110.94,6.14,5.85,116.89,110.91,5.97
Cleveland Cavaliers,33,21,.611,4.41,111.69,107.16,4.53,4.35,111.43,106.95,4.47
Memphis Grizzlies,37,18,.673,4.09,113.49,109.43,4.06,4.25,113.73,109.52,4.22
Miami Heat,34,20,.630,4.22,113.65,109.28,4.37,3.85,113.37,109.37,3.99
Boston Celtics,30,25,.545,4.11,111.35,107.02,4.32,3.74,111.10,107.16,3.94
Milwaukee Bucks,34,21,.618,3.98,113.91,109.98,3.93,3.17,113.64,110.51,3.12
Dallas Mavericks,31,23,.574,2.74,111.28,108.27,3.00,2.63,111.17,108.30,2.86
Denver Nuggets,29,24,.547,1.85,113.13,111.20,1.93,1.93,112.94,110.93,2.01
Toronto Raptors,28,23,.549,1.31,112.85,111.48,1.36,1.81,113.03,111.16,1.86
Minnesota Timberwolves,28,25,.528,1.66,112.77,111.08,1.69,1.80,113.01,111.18,1.83
Philadelphia 76ers,32,21,.604,2.21,112.63,110.34,2.29,1.61,111.99,110.31,1.69
Chicago Bulls,33,20,.623,1.68,114.07,112.47,1.60,0.94,113.92,113.05,0.87
Atlanta Hawks,25,28,.472,0.06,115.07,115.05,0.02,0.36,115.30,114.97,0.33
Brooklyn Nets,29,24,.547,0.47,113.12,112.68,0.45,0.24,113.28,113.07,0.21
San Antonio Spurs,20,34,.370,-0.02,111.84,111.97,-0.13,0.11,112.25,112.25,0.00
Charlotte Hornets,28,26,.519,-0.59,112.79,113.34,-0.55,-0.54,112.92,113.42,-0.50
Los Angeles Clippers,27,28,.491,-1.07,108.34,109.57,-1.23,-0.93,108.26,109.36,-1.10
New York Knicks,24,29,.453,-0.89,109.71,110.66,-0.96,-1.08,109.52,110.67,-1.15
Indiana Pacers,19,36,.345,-2.15,111.59,113.73,-2.14,-1.64,111.85,113.48,-1.62
Los Angeles Lakers,26,28,.481,-1.31,109.64,110.96,-1.32,-1.94,109.19,111.15,-1.96
Washington Wizards,24,28,.462,-2.83,110.02,113.03,-3.01,-2.39,110.17,112.73,-2.56
New Orleans Pelicans,21,32,.396,-3.55,109.82,113.45,-3.64,-3.19,110.27,113.53,-3.26
Portland Trail Blazers,21,33,.389,-4.44,110.94,115.59,-4.64,-3.78,111.48,115.45,-3.97
Sacramento Kings,20,35,.364,-5.00,110.34,115.46,-5.13,-4.78,110.75,115.65,-4.90
Oklahoma City Thunder,17,35,.327,-6.38,103.66,110.15,-6.49,-6.30,103.50,109.90,-6.40
Orlando Magic,12,43,.218,-8.42,104.71,113.25,-8.54,-8.19,104.53,112.83,-8.30
Houston Rockets,15,38,.283,-8.68,108.19,116.87,-8.68,-8.37,108.66,117.02,-8.36
Detroit Pistons,12,41,.226,-9.40,104.31,113.64,-9.33,-9.04,104.27,113.25,-8.99
