Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Phoenix Suns,47,10,.825,8.23,114.74,106.53,8.20,8.02,114.65,106.66,7.99
Golden State Warriors,42,16,.724,7.05,112.68,105.51,7.18,6.80,112.49,105.58,6.91
Utah Jazz,36,21,.632,7.07,117.46,110.21,7.26,6.67,117.21,110.37,6.85
Boston Celtics,34,25,.576,5.51,112.08,106.29,5.79,5.11,111.70,106.32,5.38
Memphis Grizzlies,41,18,.695,5.00,114.30,109.35,4.95,4.86,114.43,109.62,4.81
Miami Heat,37,21,.638,4.48,114.01,109.38,4.63,4.06,113.68,109.47,4.21
Cleveland Cavaliers,35,23,.603,4.14,111.87,107.64,4.23,4.08,111.52,107.36,4.16
Dallas Mavericks,34,24,.586,3.29,111.68,108.09,3.59,3.10,111.64,108.27,3.37
Milwaukee Bucks,36,23,.610,3.46,114.06,110.65,3.41,2.66,113.77,111.15,2.62
Denver Nuggets,32,25,.561,2.11,113.38,111.19,2.19,2.19,113.30,111.04,2.27
Toronto Raptors,31,25,.554,1.59,113.29,111.70,1.60,1.74,113.30,111.56,1.75
Minnesota Timberwolves,31,27,.534,1.69,113.39,111.69,1.70,1.66,113.38,111.71,1.67
Chicago Bulls,37,21,.638,2.17,114.75,112.65,2.10,1.43,114.62,113.25,1.36
Philadelphia 76ers,34,23,.596,1.53,112.07,110.52,1.55,1.19,111.79,110.57,1.22
Atlanta Hawks,27,30,.474,0.12,115.47,115.36,0.11,0.53,115.80,115.27,0.53
San Antonio Spurs,22,36,.379,0.00,112.05,112.17,-0.12,0.18,112.37,112.30,0.07
Brooklyn Nets,30,27,.526,0.16,112.81,112.69,0.12,-0.09,112.91,113.04,-0.13
Charlotte Hornets,29,30,.492,-0.85,112.63,113.45,-0.82,-0.86,112.65,113.49,-0.83
Los Angeles Clippers,29,31,.483,-1.37,108.39,109.89,-1.50,-0.75,108.69,109.57,-0.88
New York Knicks,25,33,.431,-1.45,109.89,111.41,-1.52,-1.54,109.79,111.39,-1.60
Los Angeles Lakers,26,31,.456,-1.58,109.83,111.42,-1.58,-2.04,109.48,111.55,-2.06
Indiana Pacers,19,40,.322,-2.78,111.89,114.67,-2.78,-2.18,112.12,114.29,-2.17
New Orleans Pelicans,23,35,.397,-3.14,110.28,113.48,-3.20,-2.80,110.61,113.46,-2.85
Washington Wizards,26,30,.464,-3.05,110.26,113.49,-3.24,-2.76,110.36,113.29,-2.93
Portland Trail Blazers,24,34,.414,-4.00,110.92,115.13,-4.20,-3.49,111.41,115.10,-3.69
Sacramento Kings,22,37,.373,-4.97,110.46,115.52,-5.06,-4.76,110.77,115.63,-4.86
Oklahoma City Thunder,18,39,.316,-6.61,103.53,110.28,-6.75,-6.37,103.46,109.96,-6.49
Orlando Magic,13,46,.220,-8.42,104.76,113.25,-8.49,-8.02,104.61,112.69,-8.08
Houston Rockets,15,41,.268,-9.39,108.16,117.58,-9.42,-9.00,108.59,117.62,-9.03
Detroit Pistons,12,45,.211,-10.25,104.10,114.29,-10.19,-9.87,104.06,113.88,-9.82
