Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,18,3,.857,12.62,113.97,101.22,12.75,11.69,113.54,101.78,11.76
Utah Jazz,14,7,.667,9.67,116.84,106.86,9.98,8.38,115.66,107.00,8.67
Phoenix Suns,18,3,.857,7.62,112.25,104.62,7.63,6.92,111.51,104.58,6.93
Miami Heat,13,8,.619,5.52,112.92,107.31,5.61,5.26,113.19,107.85,5.34
Chicago Bulls,14,8,.636,4.45,111.54,107.14,4.40,3.96,111.28,107.36,3.92
Brooklyn Nets,15,6,.714,4.00,111.48,107.27,4.20,3.46,111.83,108.16,3.67
Atlanta Hawks,11,10,.524,2.62,114.06,111.42,2.64,2.89,114.34,111.40,2.94
Milwaukee Bucks,13,8,.619,3.67,110.96,107.22,3.74,2.33,110.96,108.51,2.45
Cleveland Cavaliers,11,10,.524,1.00,107.69,106.63,1.06,1.56,107.66,106.06,1.60
Indiana Pacers,9,14,.391,1.22,109.07,107.74,1.32,1.37,108.09,106.58,1.51
Denver Nuggets,10,10,.500,-0.25,109.56,109.77,-0.21,1.11,109.27,108.10,1.17
Philadelphia 76ers,11,10,.524,1.05,112.05,110.87,1.18,0.98,111.76,110.64,1.12
Los Angeles Clippers,11,10,.524,1.52,106.08,105.05,1.03,1.64,105.40,104.28,1.11
Minnesota Timberwolves,11,10,.524,1.57,108.87,107.05,1.82,0.93,108.82,107.73,1.09
Portland Trail Blazers,11,11,.500,0.32,113.94,113.71,0.23,1.21,114.83,113.76,1.07
Boston Celtics,11,10,.524,1.67,108.30,106.59,1.71,0.52,107.89,107.31,0.59
Charlotte Hornets,13,10,.565,-0.43,112.32,112.63,-0.32,0.01,113.14,113.02,0.12
Washington Wizards,13,8,.619,0.10,108.50,108.51,-0.01,-0.38,107.58,108.04,-0.46
New York Knicks,11,10,.524,0.05,109.94,109.87,0.07,-0.63,109.85,110.41,-0.56
Toronto Raptors,9,13,.409,-1.09,110.76,111.89,-1.13,-0.86,111.00,111.88,-0.88
Dallas Mavericks,10,9,.526,-2.42,108.00,110.41,-2.42,-2.05,108.78,110.88,-2.09
Los Angeles Lakers,12,11,.522,-1.61,107.33,108.90,-1.57,-2.80,107.31,110.08,-2.77
San Antonio Spurs,6,13,.316,-1.84,107.24,109.05,-1.81,-2.99,107.46,110.43,-2.97
Sacramento Kings,8,14,.364,-3.91,108.85,112.90,-4.05,-3.14,108.54,111.80,-3.26
Memphis Grizzlies,11,10,.524,-4.38,110.62,115.26,-4.64,-3.23,111.13,114.64,-3.51
New Orleans Pelicans,6,17,.261,-6.48,106.43,113.04,-6.61,-4.74,107.44,112.32,-4.88
Oklahoma City Thunder,6,14,.300,-7.25,100.72,108.12,-7.40,-6.49,101.47,108.06,-6.59
Houston Rockets,4,16,.200,-8.50,101.22,109.64,-8.41,-8.37,101.73,110.01,-8.29
Detroit Pistons,4,17,.190,-9.57,101.39,111.14,-9.75,-8.66,101.70,110.52,-8.81
Orlando Magic,4,18,.182,-10.86,101.30,112.30,-10.99,-10.03,101.05,111.14,-10.09
