Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,20,4,.833,13.04,114.37,101.26,13.11,11.87,114.02,102.13,11.89
Utah Jazz,16,7,.696,9.17,117.75,108.29,9.47,7.87,116.76,108.63,8.13
Phoenix Suns,20,4,.833,6.38,111.62,105.22,6.40,6.01,111.40,105.35,6.05
Chicago Bulls,17,8,.680,4.72,111.94,107.25,4.69,4.17,111.59,107.44,4.15
Brooklyn Nets,16,7,.696,3.70,111.26,107.38,3.88,3.35,111.58,108.04,3.54
Cleveland Cavaliers,13,12,.520,2.12,109.04,106.73,2.31,3.18,109.22,105.84,3.39
Milwaukee Bucks,16,9,.640,4.20,111.68,107.42,4.26,3.25,111.49,108.15,3.34
Atlanta Hawks,13,12,.520,2.56,115.08,112.48,2.60,3.02,115.27,112.17,3.09
Miami Heat,14,11,.560,2.48,111.53,109.10,2.44,2.50,111.70,109.24,2.47
Boston Celtics,13,11,.542,2.38,110.31,107.87,2.44,1.91,109.90,107.88,2.02
Indiana Pacers,10,16,.385,0.85,110.28,109.36,0.92,1.13,109.49,108.28,1.21
Philadelphia 76ers,13,11,.542,1.08,111.44,110.25,1.20,0.87,110.76,109.78,0.98
Denver Nuggets,11,12,.478,-0.35,109.60,109.85,-0.25,0.54,109.56,108.89,0.67
Toronto Raptors,11,13,.458,-0.33,110.80,111.09,-0.29,0.36,111.19,110.77,0.42
Charlotte Hornets,14,12,.538,-0.46,113.52,113.87,-0.34,0.28,114.10,113.70,0.41
Los Angeles Clippers,13,12,.520,1.36,106.88,105.92,0.96,0.85,105.95,105.54,0.40
Memphis Grizzlies,14,10,.583,0.13,112.11,112.04,0.07,0.48,112.25,111.85,0.40
Minnesota Timberwolves,11,13,.458,0.38,109.12,108.57,0.55,0.14,109.10,108.85,0.25
San Antonio Spurs,8,14,.364,-0.14,107.71,107.80,-0.09,-0.40,108.10,108.46,-0.37
New York Knicks,11,12,.478,-0.74,110.32,111.12,-0.80,-0.90,110.49,111.39,-0.90
Washington Wizards,14,11,.560,-0.92,109.01,110.12,-1.10,-0.93,108.57,109.65,-1.08
Dallas Mavericks,11,11,.500,-1.68,108.66,110.23,-1.57,-1.68,108.98,110.60,-1.62
Portland Trail Blazers,11,14,.440,-2.56,112.00,114.68,-2.67,-1.59,113.17,114.90,-1.73
Sacramento Kings,10,14,.417,-3.00,109.27,112.40,-3.13,-2.51,109.18,111.86,-2.68
Los Angeles Lakers,12,12,.500,-1.71,107.99,109.67,-1.68,-2.75,108.11,110.87,-2.76
New Orleans Pelicans,7,19,.269,-6.73,107.52,114.52,-7.00,-5.91,108.06,114.25,-6.19
Houston Rockets,7,16,.304,-6.70,104.02,110.59,-6.56,-7.99,103.83,111.72,-7.89
Detroit Pistons,4,19,.174,-9.70,101.84,111.72,-9.89,-9.01,102.45,111.63,-9.19
Oklahoma City Thunder,7,16,.304,-9.17,101.17,110.62,-9.45,-9.20,101.35,110.82,-9.46
Orlando Magic,5,20,.200,-10.68,101.78,112.54,-10.76,-9.53,102.05,111.59,-9.54
