Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,32,12,.727,8.11,111.51,103.24,8.28,8.09,111.48,103.24,8.24
Phoenix Suns,34,9,.791,7.91,113.50,105.67,7.83,7.40,113.46,106.13,7.32
Utah Jazz,29,16,.644,7.29,117.52,110.09,7.43,6.52,116.92,110.26,6.66
Cleveland Cavaliers,27,19,.587,4.72,112.25,107.43,4.82,5.29,112.16,106.77,5.39
Miami Heat,29,16,.644,4.58,113.95,109.21,4.74,4.14,113.70,109.40,4.30
Memphis Grizzlies,31,16,.660,3.55,112.76,109.26,3.50,3.77,113.07,109.35,3.72
Milwaukee Bucks,28,19,.596,3.81,112.92,109.13,3.79,2.91,112.56,109.64,2.92
Dallas Mavericks,26,19,.578,2.76,110.65,107.63,3.02,2.50,110.40,107.67,2.73
Boston Celtics,23,23,.500,1.65,110.49,108.70,1.79,1.94,110.65,108.57,2.08
Chicago Bulls,28,15,.651,2.33,113.72,111.49,2.22,1.96,113.70,111.81,1.89
Brooklyn Nets,28,16,.636,2.39,113.18,110.76,2.42,1.61,113.15,111.52,1.63
Toronto Raptors,21,21,.500,0.81,112.13,111.26,0.87,1.49,112.79,111.23,1.56
Denver Nuggets,23,20,.535,1.05,111.63,110.51,1.12,1.39,111.62,110.17,1.45
Philadelphia 76ers,26,18,.591,1.82,111.96,110.05,1.90,1.23,111.19,109.87,1.32
Minnesota Timberwolves,22,23,.489,0.78,110.84,110.03,0.81,0.83,110.96,110.10,0.85
Charlotte Hornets,25,20,.556,-0.13,113.41,113.46,-0.05,-0.06,113.48,113.45,0.02
Indiana Pacers,16,29,.356,-0.82,111.74,112.56,-0.81,-0.20,111.71,111.88,-0.17
San Antonio Spurs,17,28,.378,-0.22,110.58,110.89,-0.31,-0.38,111.00,111.47,-0.47
New York Knicks,22,23,.489,-0.31,110.19,110.56,-0.36,-0.81,109.86,110.70,-0.85
Atlanta Hawks,19,25,.432,-1.02,114.90,115.95,-1.05,-0.88,115.09,116.00,-0.91
Los Angeles Clippers,22,24,.478,-1.11,107.52,108.81,-1.29,-0.90,107.51,108.60,-1.10
Washington Wizards,23,22,.511,-1.49,111.01,112.61,-1.60,-1.44,110.75,112.28,-1.53
Los Angeles Lakers,22,23,.489,-1.51,109.60,111.10,-1.50,-2.08,109.29,111.38,-2.09
Portland Trail Blazers,18,26,.409,-4.05,111.35,115.57,-4.23,-3.00,111.98,115.16,-3.18
Sacramento Kings,18,29,.383,-3.96,110.67,114.73,-4.06,-3.92,110.90,114.93,-4.03
New Orleans Pelicans,16,28,.364,-4.55,109.16,113.81,-4.66,-3.95,109.82,113.88,-4.06
Oklahoma City Thunder,14,30,.318,-7.14,103.50,110.81,-7.30,-6.93,103.62,110.71,-7.09
Houston Rockets,14,32,.304,-8.09,108.09,116.17,-8.09,-8.10,108.33,116.42,-8.10
Orlando Magic,8,38,.174,-9.07,103.92,113.16,-9.23,-8.73,103.61,112.49,-8.88
Detroit Pistons,11,33,.250,-9.73,103.38,113.01,-9.63,-9.31,103.32,112.55,-9.23
