Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Phoenix Suns,49,12,.803,7.75,114.84,107.15,7.70,7.38,114.66,107.34,7.32
Golden State Warriors,43,18,.705,7.20,112.90,105.59,7.31,6.93,112.69,105.65,7.04
Utah Jazz,38,22,.633,6.78,117.66,110.70,6.97,6.60,117.60,110.83,6.77
Boston Celtics,36,27,.571,5.32,112.43,106.86,5.57,4.64,111.98,107.09,4.88
Memphis Grizzlies,43,20,.683,4.84,114.44,109.65,4.79,4.72,114.49,109.83,4.66
Miami Heat,41,21,.661,4.77,114.06,109.15,4.91,4.41,113.71,109.17,4.54
Cleveland Cavaliers,36,25,.590,3.90,111.88,107.89,3.99,3.66,111.46,107.72,3.75
Dallas Mavericks,36,25,.590,3.26,112.12,108.58,3.55,3.29,112.21,108.67,3.55
Denver Nuggets,36,25,.590,2.89,113.66,110.74,2.93,2.84,113.46,110.58,2.88
Milwaukee Bucks,37,25,.597,3.58,114.52,110.98,3.53,2.83,114.22,111.43,2.79
Philadelphia 76ers,37,23,.617,2.28,112.74,110.45,2.30,1.97,112.47,110.48,1.99
Toronto Raptors,33,27,.550,1.30,112.94,111.65,1.30,1.48,112.82,111.34,1.48
Minnesota Timberwolves,33,29,.532,1.05,113.25,112.19,1.06,1.26,113.39,112.11,1.27
Chicago Bulls,39,23,.629,1.90,114.59,112.75,1.84,1.31,114.42,113.17,1.25
Atlanta Hawks,29,31,.483,0.85,115.83,114.99,0.84,1.13,116.10,114.97,1.14
San Antonio Spurs,24,38,.387,-0.08,112.39,112.60,-0.21,0.09,112.76,112.79,-0.03
Los Angeles Clippers,32,31,.508,-0.75,108.72,109.61,-0.89,-0.52,108.77,109.44,-0.66
Charlotte Hornets,30,33,.476,-0.75,112.61,113.32,-0.71,-0.76,112.65,113.36,-0.72
Brooklyn Nets,32,30,.516,-0.90,112.59,113.52,-0.93,-0.98,112.79,113.80,-1.01
New York Knicks,25,36,.410,-1.97,109.70,111.73,-2.03,-1.93,109.65,111.63,-1.98
New Orleans Pelicans,25,36,.410,-2.39,110.81,113.28,-2.47,-1.96,111.21,113.24,-2.03
Indiana Pacers,21,42,.333,-2.51,112.14,114.63,-2.49,-2.16,112.44,114.57,-2.13
Los Angeles Lakers,27,33,.450,-1.93,109.49,111.40,-1.91,-2.37,109.13,111.49,-2.36
Washington Wizards,27,33,.450,-2.87,110.50,113.53,-3.03,-2.58,110.57,113.30,-2.73
Portland Trail Blazers,25,36,.410,-4.87,110.55,115.58,-5.04,-4.14,111.19,115.49,-4.30
Sacramento Kings,23,40,.365,-4.79,110.73,115.62,-4.89,-4.63,111.04,115.77,-4.72
Oklahoma City Thunder,19,42,.311,-6.92,103.68,110.69,-7.01,-6.68,103.56,110.33,-6.77
Orlando Magic,15,47,.242,-7.97,105.22,113.26,-8.03,-7.71,104.91,112.68,-7.77
Detroit Pistons,15,46,.246,-9.64,104.82,114.41,-9.59,-9.11,104.99,114.04,-9.05
Houston Rockets,15,45,.250,-9.48,108.11,117.59,-9.48,-9.15,108.62,117.77,-9.15
