Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,15,2,.882,13.12,114.51,101.26,13.26,11.13,113.80,102.56,11.24
Utah Jazz,11,5,.688,9.69,115.72,105.74,9.98,9.63,115.02,105.10,9.92
Miami Heat,11,6,.647,7.41,113.51,106.00,7.51,7.53,114.18,106.55,7.63
Chicago Bulls,12,5,.706,5.24,111.79,106.55,5.24,5.49,111.56,106.06,5.50
Phoenix Suns,13,3,.813,7.25,111.23,104.04,7.20,5.02,109.61,104.66,4.95
Los Angeles Clippers,10,7,.588,3.71,106.57,103.34,3.23,3.71,105.44,102.23,3.21
Brooklyn Nets,12,5,.706,3.76,110.01,106.04,3.96,2.95,109.85,106.70,3.15
Washington Wizards,11,5,.688,2.63,108.57,106.07,2.50,3.11,107.75,104.73,3.02
Philadelphia 76ers,9,8,.529,1.76,113.99,112.11,1.88,1.68,113.49,111.70,1.80
Denver Nuggets,9,8,.529,0.94,107.94,106.87,1.07,1.59,107.43,105.70,1.73
Atlanta Hawks,8,9,.471,0.12,112.60,112.51,0.09,1.53,113.83,112.27,1.56
Boston Celtics,9,8,.529,1.88,109.00,107.02,1.99,1.34,109.08,107.61,1.47
Toronto Raptors,8,10,.444,-0.06,111.31,111.34,-0.04,1.26,112.10,110.80,1.30
Portland Trail Blazers,9,8,.529,0.65,113.15,112.60,0.54,1.46,114.04,112.76,1.28
Cleveland Cavaliers,9,8,.529,0.00,106.60,106.58,0.02,0.99,106.75,105.74,1.00
Indiana Pacers,7,11,.389,0.39,109.05,108.71,0.34,0.77,108.32,107.57,0.76
Charlotte Hornets,10,8,.556,-1.33,110.20,111.38,-1.18,0.23,110.96,110.59,0.37
Minnesota Timberwolves,7,9,.438,1.38,108.71,107.04,1.67,-0.18,108.72,108.74,-0.02
Milwaukee Bucks,9,8,.529,-0.24,108.56,108.78,-0.22,-0.91,108.27,109.12,-0.85
New York Knicks,9,8,.529,0.53,110.32,109.76,0.56,-0.94,109.69,110.57,-0.88
Sacramento Kings,6,11,.353,-2.00,109.76,111.95,-2.19,-0.98,110.19,111.34,-1.15
Dallas Mavericks,9,7,.563,-1.88,107.64,109.48,-1.84,-1.87,108.17,110.04,-1.87
Memphis Grizzlies,8,8,.500,-5.13,109.98,115.30,-5.32,-4.10,111.59,115.91,-4.32
Los Angeles Lakers,9,9,.500,-3.56,106.40,109.92,-3.52,-4.98,106.39,111.33,-4.93
San Antonio Spurs,4,11,.267,-2.53,105.98,108.58,-2.60,-4.91,105.65,110.65,-5.00
Oklahoma City Thunder,6,10,.375,-7.00,100.46,107.59,-7.13,-6.81,101.02,107.92,-6.91
New Orleans Pelicans,3,15,.167,-8.78,104.75,113.71,-8.96,-7.28,105.25,112.74,-7.49
Detroit Pistons,4,12,.250,-8.69,102.63,111.48,-8.86,-8.07,102.61,110.80,-8.19
Orlando Magic,4,13,.235,-8.71,103.27,112.08,-8.81,-8.19,103.11,111.34,-8.23
Houston Rockets,1,15,.063,-10.81,99.22,109.89,-10.67,-11.04,99.44,110.32,-10.88
