Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Phoenix Suns,51,12,.810,8.00,114.97,107.02,7.95,7.52,114.72,107.25,7.47
Golden State Warriors,43,21,.672,6.36,112.98,106.51,6.47,6.18,112.84,106.56,6.28
Utah Jazz,39,23,.629,6.10,117.34,111.09,6.25,5.79,117.18,111.25,5.94
Boston Celtics,38,27,.585,5.49,112.75,106.98,5.77,4.94,112.28,107.08,5.20
Miami Heat,43,22,.662,4.89,114.23,109.15,5.08,4.61,113.88,109.09,4.79
Memphis Grizzlies,44,21,.677,4.92,114.55,109.71,4.84,4.76,114.63,109.95,4.68
Dallas Mavericks,39,25,.609,3.34,112.55,108.92,3.63,3.36,112.69,109.06,3.63
Cleveland Cavaliers,36,27,.571,3.35,111.97,108.55,3.42,3.18,111.58,108.34,3.24
Milwaukee Bucks,39,25,.609,3.58,114.56,111.03,3.53,2.96,114.31,111.39,2.92
Denver Nuggets,37,26,.587,2.84,113.65,110.75,2.89,2.56,113.39,110.79,2.60
Minnesota Timberwolves,36,29,.554,2.02,113.95,111.98,1.98,2.12,114.11,112.03,2.08
Philadelphia 76ers,39,24,.619,2.24,113.02,110.80,2.21,2.06,112.88,110.84,2.04
Atlanta Hawks,31,32,.492,0.81,116.17,115.37,0.80,1.12,116.46,115.34,1.13
Chicago Bulls,39,25,.609,1.66,114.77,113.18,1.59,1.13,114.55,113.48,1.07
Toronto Raptors,34,29,.540,1.13,112.81,111.69,1.12,1.04,112.61,111.58,1.04
San Antonio Spurs,24,40,.375,-0.22,112.41,112.75,-0.34,-0.12,112.68,112.91,-0.23
Charlotte Hornets,32,33,.492,-0.31,112.93,113.19,-0.26,-0.29,112.98,113.22,-0.24
Los Angeles Clippers,34,31,.523,-0.20,109.27,109.59,-0.32,-0.13,109.24,109.50,-0.25
New Orleans Pelicans,27,36,.429,-1.30,111.34,112.70,-1.35,-0.88,111.66,112.58,-0.92
Brooklyn Nets,32,32,.500,-0.98,112.62,113.63,-1.02,-0.96,112.84,113.84,-1.00
New York Knicks,25,38,.397,-2.16,109.81,112.03,-2.22,-1.95,109.86,111.87,-2.01
Indiana Pacers,22,43,.338,-2.38,112.08,114.47,-2.38,-2.27,112.33,114.59,-2.26
Los Angeles Lakers,28,35,.444,-2.13,109.75,111.87,-2.12,-2.38,109.60,111.99,-2.39
Washington Wizards,28,34,.452,-2.77,110.88,113.81,-2.93,-2.61,110.90,113.65,-2.75
Portland Trail Blazers,25,38,.397,-5.41,110.41,115.99,-5.58,-4.56,111.09,115.82,-4.73
Sacramento Kings,24,42,.364,-5.00,110.61,115.71,-5.10,-4.82,110.88,115.79,-4.92
Oklahoma City Thunder,20,43,.317,-7.10,103.74,110.89,-7.15,-6.80,103.61,110.47,-6.86
Orlando Magic,16,49,.246,-8.06,105.00,113.10,-8.10,-7.74,104.67,112.44,-7.77
Detroit Pistons,17,47,.266,-9.13,105.43,114.50,-9.07,-8.68,105.54,114.17,-8.63
Houston Rockets,15,48,.238,-9.56,108.11,117.67,-9.56,-9.11,108.65,117.77,-9.12
