Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,15,2,.882,13.12,114.51,101.26,13.26,11.07,113.75,102.58,11.17
Utah Jazz,11,6,.647,9.06,116.02,106.69,9.33,8.68,115.03,106.09,8.94
Miami Heat,12,6,.667,7.44,113.26,105.68,7.58,7.12,113.72,106.48,7.25
Phoenix Suns,14,3,.824,7.06,111.44,104.43,7.01,4.74,109.78,105.12,4.67
Chicago Bulls,12,6,.667,3.17,110.09,107.02,3.07,3.60,110.05,106.53,3.51
Brooklyn Nets,13,5,.722,3.83,110.37,106.35,4.02,3.10,110.41,107.12,3.29
Indiana Pacers,8,11,.421,2.05,109.37,107.27,2.10,2.72,108.84,106.05,2.80
Washington Wizards,11,6,.647,2.12,108.18,106.17,2.00,2.82,107.42,104.66,2.76
Los Angeles Clippers,10,8,.556,3.06,106.45,103.84,2.60,3.19,105.30,102.58,2.72
Portland Trail Blazers,10,8,.556,1.67,114.07,112.41,1.67,2.39,115.07,112.75,2.32
Philadelphia 76ers,10,8,.556,2.11,113.83,111.57,2.26,1.98,113.18,111.06,2.11
Atlanta Hawks,9,9,.500,0.78,113.21,112.39,0.81,1.63,114.26,112.56,1.70
Boston Celtics,10,8,.556,2.78,108.85,105.99,2.86,1.54,108.83,107.17,1.65
Toronto Raptors,8,10,.444,-0.06,111.31,111.34,-0.04,1.37,112.25,110.83,1.41
Charlotte Hornets,11,8,.579,-0.95,110.07,110.87,-0.80,0.86,111.12,110.12,1.00
Cleveland Cavaliers,9,9,.500,-0.28,106.87,107.13,-0.26,0.94,107.12,106.14,0.98
Denver Nuggets,9,9,.500,-0.17,108.01,108.14,-0.14,0.71,107.29,106.54,0.74
Milwaukee Bucks,10,8,.556,1.50,109.35,107.83,1.52,0.44,108.95,108.45,0.50
Minnesota Timberwolves,8,9,.471,2.12,108.97,106.55,2.42,0.09,108.66,108.40,0.26
New York Knicks,10,8,.556,0.83,110.14,109.27,0.87,-0.81,109.63,110.37,-0.74
Dallas Mavericks,10,7,.588,-1.29,107.92,109.17,-1.26,-1.34,108.60,109.98,-1.38
Sacramento Kings,6,12,.333,-2.33,109.35,111.90,-2.55,-1.21,109.51,110.91,-1.40
Memphis Grizzlies,9,8,.529,-4.76,110.69,115.63,-4.94,-3.43,112.28,115.89,-3.62
San Antonio Spurs,4,12,.250,-2.63,106.27,108.96,-2.68,-4.40,106.29,110.79,-4.50
Los Angeles Lakers,9,10,.474,-3.68,106.12,109.77,-3.65,-4.99,106.02,110.97,-4.95
Oklahoma City Thunder,6,11,.353,-7.29,101.00,108.48,-7.48,-7.06,101.40,108.61,-7.21
New Orleans Pelicans,3,16,.158,-9.05,104.43,113.68,-9.24,-7.62,105.00,112.83,-7.82
Detroit Pistons,4,13,.235,-8.65,102.49,111.34,-8.85,-7.71,102.70,110.56,-7.86
Orlando Magic,4,14,.222,-9.94,102.68,112.73,-10.05,-9.26,102.56,111.87,-9.30
Houston Rockets,1,16,.059,-11.24,98.60,109.68,-11.08,-11.35,98.77,109.96,-11.19
