Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Phoenix Suns,50,12,.806,8.11,114.94,106.88,8.06,7.67,114.70,107.08,7.62
Utah Jazz,39,22,.639,6.75,117.74,110.81,6.93,6.42,117.58,111.00,6.58
Golden State Warriors,43,20,.683,6.59,112.99,106.29,6.70,6.43,112.85,106.31,6.54
Boston Celtics,38,27,.585,5.49,112.75,106.98,5.77,4.93,112.29,107.09,5.19
Miami Heat,42,22,.656,4.70,114.18,109.34,4.84,4.39,113.81,109.29,4.52
Memphis Grizzlies,43,21,.672,4.56,114.47,109.98,4.49,4.51,114.57,110.13,4.44
Dallas Mavericks,38,25,.603,3.38,112.49,108.82,3.67,3.47,112.68,108.94,3.74
Cleveland Cavaliers,36,26,.581,3.50,111.73,108.16,3.57,3.29,111.31,107.96,3.36
Milwaukee Bucks,38,25,.603,3.54,114.56,111.07,3.49,2.88,114.33,111.49,2.84
Denver Nuggets,36,26,.581,2.65,113.53,110.84,2.69,2.51,113.37,110.83,2.54
Philadelphia 76ers,38,23,.623,2.49,112.95,110.44,2.51,2.16,112.69,110.51,2.18
Minnesota Timberwolves,34,29,.540,1.27,113.38,112.11,1.27,1.57,113.57,112.01,1.57
Toronto Raptors,34,28,.548,1.24,113.04,111.80,1.24,1.27,112.84,111.57,1.27
Chicago Bulls,39,24,.619,1.78,114.87,113.16,1.71,1.21,114.65,113.50,1.14
Atlanta Hawks,30,32,.484,0.77,116.03,115.26,0.76,1.14,116.34,115.20,1.14
San Antonio Spurs,24,39,.381,-0.13,112.35,112.60,-0.25,-0.02,112.64,112.78,-0.14
Los Angeles Clippers,34,31,.523,-0.20,109.27,109.59,-0.32,-0.18,109.23,109.53,-0.30
Charlotte Hornets,31,33,.484,-0.41,112.79,113.14,-0.35,-0.38,112.87,113.19,-0.33
Brooklyn Nets,32,32,.500,-0.98,112.62,113.63,-1.02,-0.97,112.84,113.84,-1.00
New Orleans Pelicans,26,36,.419,-1.87,111.07,113.01,-1.94,-1.51,111.40,112.97,-1.57
Indiana Pacers,22,42,.344,-2.34,112.11,114.45,-2.34,-2.10,112.38,114.47,-2.09
New York Knicks,25,37,.403,-2.18,109.71,111.95,-2.24,-2.08,109.69,111.83,-2.14
Los Angeles Lakers,27,35,.435,-2.29,109.57,111.86,-2.28,-2.65,109.33,111.99,-2.66
Washington Wizards,28,33,.459,-2.77,110.69,113.62,-2.93,-2.61,110.76,113.52,-2.75
Portland Trail Blazers,25,37,.403,-5.27,110.23,115.67,-5.44,-4.45,110.90,115.52,-4.62
Sacramento Kings,24,41,.369,-5.06,110.54,115.70,-5.16,-4.92,110.78,115.81,-5.03
Oklahoma City Thunder,20,42,.323,-6.61,103.90,110.61,-6.71,-6.36,103.78,110.24,-6.46
Orlando Magic,15,48,.238,-7.97,105.19,113.21,-8.02,-7.74,104.81,112.59,-7.78
Detroit Pistons,16,47,.254,-9.35,105.27,114.57,-9.30,-8.87,105.41,114.23,-8.82
Houston Rockets,15,47,.242,-9.47,108.16,117.62,-9.47,-9.04,108.70,117.74,-9.04
