Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,22,5,.815,11.70,113.22,101.48,11.75,10.58,112.73,102.15,10.58
Utah Jazz,19,7,.731,11.15,119.03,107.55,11.48,9.93,118.09,107.86,10.23
Phoenix Suns,21,5,.808,6.08,111.26,105.16,6.10,6.06,111.33,105.22,6.11
Cleveland Cavaliers,17,12,.586,4.07,110.06,105.80,4.26,4.97,110.21,105.04,5.17
Miami Heat,16,12,.571,3.07,111.98,108.92,3.07,3.67,112.49,108.80,3.68
Milwaukee Bucks,18,11,.621,3.66,112.07,108.36,3.71,2.70,111.72,108.95,2.77
Brooklyn Nets,19,8,.704,3.63,111.22,107.46,3.76,2.53,111.10,108.45,2.65
Indiana Pacers,12,17,.414,1.83,111.18,109.18,2.01,2.16,110.59,108.25,2.34
Chicago Bulls,17,10,.630,2.56,110.87,108.46,2.41,2.33,110.78,108.59,2.19
Atlanta Hawks,13,14,.481,1.85,115.05,113.16,1.89,2.05,115.14,113.02,2.12
Memphis Grizzlies,17,11,.607,1.79,112.51,110.73,1.78,2.01,112.64,110.62,2.01
Boston Celtics,14,14,.500,1.14,109.86,108.67,1.19,1.19,109.88,108.63,1.25
Los Angeles Clippers,16,12,.571,1.96,107.82,106.18,1.64,1.44,107.36,106.26,1.10
Denver Nuggets,14,13,.519,0.26,110.66,110.34,0.33,0.94,110.68,109.65,1.04
Toronto Raptors,13,14,.481,0.63,110.99,110.31,0.68,0.70,111.13,110.38,0.75
Dallas Mavericks,14,13,.519,-0.07,110.00,109.83,0.17,-0.05,110.07,109.91,0.16
Philadelphia 76ers,15,13,.536,-0.64,110.56,111.15,-0.59,-0.44,109.98,110.37,-0.39
San Antonio Spurs,10,16,.385,-0.12,109.19,109.29,-0.10,-0.48,109.33,109.79,-0.45
Minnesota Timberwolves,12,15,.444,-1.30,108.79,109.87,-1.08,-0.89,108.87,109.58,-0.71
Charlotte Hornets,15,14,.517,-1.34,113.98,115.40,-1.41,-0.89,114.30,115.25,-0.95
Portland Trail Blazers,11,16,.407,-2.93,111.31,114.34,-3.03,-1.54,112.59,114.25,-1.66
Los Angeles Lakers,15,13,.536,-0.21,108.47,108.62,-0.15,-1.70,108.29,109.97,-1.69
Washington Wizards,15,13,.536,-1.82,109.00,111.02,-2.03,-1.64,108.73,110.54,-1.81
New York Knicks,12,15,.444,-1.59,110.24,111.94,-1.70,-1.78,110.25,112.11,-1.86
Sacramento Kings,11,17,.393,-3.50,110.28,113.87,-3.58,-2.94,110.44,113.47,-3.02
New Orleans Pelicans,8,21,.276,-6.21,107.40,113.83,-6.43,-5.69,107.83,113.73,-5.90
Houston Rockets,9,18,.333,-5.70,106.31,111.91,-5.60,-6.51,106.25,112.68,-6.43
Detroit Pistons,4,22,.154,-9.77,101.96,111.88,-9.93,-9.48,102.38,112.03,-9.66
Oklahoma City Thunder,8,18,.308,-9.62,101.14,111.08,-9.94,-9.41,101.30,111.01,-9.71
Orlando Magic,5,23,.179,-10.46,103.17,113.73,-10.55,-9.87,103.16,113.12,-9.95
