Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,31,11,.738,8.60,112.03,103.30,8.73,8.76,112.02,103.15,8.88
Utah Jazz,28,14,.667,7.52,117.74,110.07,7.68,6.90,117.23,110.19,7.04
Phoenix Suns,32,9,.780,7.29,112.70,105.49,7.21,7.01,112.66,105.74,6.92
Cleveland Cavaliers,25,18,.581,5.07,111.93,106.75,5.18,5.74,111.78,105.92,5.86
Miami Heat,27,15,.643,4.76,114.22,109.31,4.92,4.30,114.13,109.68,4.45
Memphis Grizzlies,30,15,.667,3.69,112.88,109.24,3.64,3.84,113.21,109.42,3.79
Milwaukee Bucks,27,17,.614,4.11,113.00,108.87,4.12,3.05,112.67,109.58,3.09
Dallas Mavericks,23,19,.548,2.43,110.56,107.90,2.66,2.46,110.35,107.70,2.65
Boston Celtics,21,22,.488,1.65,110.28,108.49,1.79,2.00,110.59,108.45,2.14
Chicago Bulls,27,13,.675,2.55,113.45,111.05,2.40,1.89,113.28,111.52,1.76
Toronto Raptors,20,19,.513,0.92,112.38,111.38,1.00,1.48,113.01,111.45,1.56
Brooklyn Nets,26,15,.634,2.34,112.64,110.28,2.36,1.52,112.67,111.14,1.53
Philadelphia 76ers,24,17,.585,1.83,111.84,109.94,1.90,1.30,110.95,109.57,1.38
Denver Nuggets,21,19,.525,0.73,110.65,109.90,0.75,0.95,110.47,109.52,0.95
Minnesota Timberwolves,20,22,.476,0.60,110.46,109.82,0.64,0.55,110.56,109.97,0.59
Indiana Pacers,15,28,.349,-0.88,111.06,111.94,-0.89,-0.18,110.87,111.04,-0.16
Charlotte Hornets,23,20,.535,-0.58,113.53,114.05,-0.52,-0.53,113.57,114.05,-0.47
San Antonio Spurs,15,27,.357,-0.60,110.40,111.10,-0.70,-0.73,110.76,111.58,-0.82
New York Knicks,21,21,.500,-0.26,110.02,110.34,-0.32,-0.83,109.87,110.74,-0.87
Los Angeles Clippers,21,22,.488,-1.12,106.53,107.83,-1.30,-0.90,106.45,107.54,-1.09
Atlanta Hawks,17,24,.415,-1.34,114.19,115.54,-1.35,-1.25,114.34,115.60,-1.25
Los Angeles Lakers,21,21,.500,-0.71,109.81,110.43,-0.63,-1.56,109.45,110.95,-1.50
Washington Wizards,22,20,.524,-1.90,110.73,112.76,-2.03,-1.84,110.52,112.47,-1.95
Portland Trail Blazers,16,25,.390,-4.41,112.04,116.62,-4.58,-3.12,112.92,116.21,-3.28
Sacramento Kings,18,27,.400,-3.96,110.20,114.27,-4.07,-3.49,110.56,114.16,-3.60
New Orleans Pelicans,16,26,.381,-4.12,109.42,113.62,-4.20,-3.59,110.13,113.80,-3.68
Oklahoma City Thunder,14,27,.341,-6.95,103.45,110.56,-7.11,-6.93,103.43,110.51,-7.08
Orlando Magic,8,35,.186,-8.79,104.19,113.12,-8.93,-8.49,103.81,112.43,-8.62
Houston Rockets,12,32,.273,-8.70,107.65,116.35,-8.70,-8.77,107.99,116.76,-8.77
Detroit Pistons,10,31,.244,-9.44,102.80,112.12,-9.33,-9.26,102.49,111.64,-9.16
