Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Phoenix Suns,49,11,.817,7.95,114.66,106.77,7.90,7.48,114.46,107.03,7.43
Golden State Warriors,43,17,.717,7.42,113.04,105.51,7.53,7.10,112.79,105.58,7.20
Utah Jazz,37,22,.627,6.83,117.45,110.44,7.01,6.46,117.28,110.64,6.64
Boston Celtics,36,26,.581,5.74,112.48,106.47,6.01,5.09,112.06,106.72,5.34
Memphis Grizzlies,42,20,.677,4.71,114.38,109.73,4.66,4.59,114.44,109.91,4.53
Miami Heat,40,21,.656,4.64,114.03,109.26,4.77,4.24,113.70,109.33,4.37
Cleveland Cavaliers,36,24,.600,4.05,111.65,107.50,4.14,3.80,111.24,107.34,3.89
Dallas Mavericks,35,25,.583,3.22,112.15,108.65,3.50,3.09,112.10,108.76,3.35
Milwaukee Bucks,36,25,.590,3.25,114.29,111.08,3.20,2.51,114.02,111.55,2.47
Denver Nuggets,35,25,.583,2.40,113.57,111.11,2.46,2.41,113.42,110.95,2.47
Philadelphia 76ers,36,23,.610,2.05,112.59,110.52,2.07,1.80,112.32,110.50,1.82
Chicago Bulls,39,22,.639,2.15,114.79,112.70,2.09,1.47,114.58,113.16,1.42
Minnesota Timberwolves,32,29,.525,0.98,112.96,111.96,1.00,1.13,113.00,111.86,1.14
Atlanta Hawks,29,31,.483,0.85,115.83,114.99,0.84,1.12,116.12,114.99,1.13
Toronto Raptors,32,27,.542,0.71,112.63,111.91,0.72,0.93,112.56,111.62,0.94
San Antonio Spurs,24,37,.393,0.13,112.51,112.51,0.00,0.23,112.85,112.74,0.11
Charlotte Hornets,30,31,.492,-0.36,112.64,112.97,-0.33,-0.29,112.71,112.97,-0.26
Brooklyn Nets,32,29,.525,-0.33,112.87,113.23,-0.36,-0.46,113.06,113.55,-0.50
Los Angeles Clippers,31,31,.500,-0.77,108.82,109.74,-0.92,-0.40,108.98,109.52,-0.54
New York Knicks,25,35,.417,-1.73,109.76,111.56,-1.80,-1.74,109.68,111.48,-1.80
Los Angeles Lakers,27,32,.458,-1.49,109.82,111.31,-1.49,-1.87,109.50,111.38,-1.88
Indiana Pacers,20,41,.328,-2.67,111.99,114.66,-2.66,-2.23,112.26,114.49,-2.22
New Orleans Pelicans,24,36,.400,-2.90,110.71,113.67,-2.96,-2.45,111.12,113.62,-2.50
Washington Wizards,27,33,.450,-2.87,110.50,113.53,-3.03,-2.60,110.59,113.33,-2.74
Portland Trail Blazers,25,35,.417,-4.42,110.91,115.52,-4.61,-3.73,111.55,115.46,-3.92
Sacramento Kings,22,40,.355,-5.21,110.49,115.79,-5.29,-4.91,110.79,115.78,-4.99
Oklahoma City Thunder,19,41,.317,-6.68,103.65,110.45,-6.80,-6.38,103.58,110.06,-6.49
Orlando Magic,14,47,.230,-8.36,105.01,113.43,-8.43,-8.03,104.73,112.82,-8.09
Detroit Pistons,14,46,.233,-9.82,104.58,114.34,-9.76,-9.26,104.78,113.98,-9.21
Houston Rockets,15,44,.254,-9.63,108.22,117.85,-9.63,-9.26,108.73,117.99,-9.26
