Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,34,13,.723,7.60,111.38,103.62,7.77,7.53,111.23,103.54,7.69
Phoenix Suns,37,9,.804,7.91,113.58,105.72,7.86,7.61,113.59,106.03,7.56
Utah Jazz,30,18,.625,6.88,117.32,110.31,7.01,6.29,116.96,110.54,6.42
Cleveland Cavaliers,29,19,.604,4.71,111.73,106.92,4.81,5.05,111.63,106.48,5.15
Miami Heat,30,17,.638,4.47,114.12,109.51,4.62,3.98,113.77,109.64,4.13
Memphis Grizzlies,32,17,.653,3.22,112.62,109.46,3.16,3.50,112.96,109.52,3.44
Milwaukee Bucks,30,19,.612,3.86,113.02,109.17,3.85,2.96,112.58,109.61,2.97
Dallas Mavericks,27,20,.574,2.74,110.47,107.46,3.01,2.69,110.32,107.40,2.92
Boston Celtics,24,24,.500,2.10,110.72,108.47,2.25,2.23,110.79,108.42,2.37
Brooklyn Nets,29,17,.630,2.37,113.63,111.21,2.42,1.61,113.64,112.00,1.65
Philadelphia 76ers,27,19,.587,1.85,112.14,110.20,1.93,1.25,111.44,110.11,1.33
Denver Nuggets,24,21,.533,1.04,111.94,110.82,1.12,1.24,111.94,110.65,1.30
Toronto Raptors,22,22,.500,0.66,112.07,111.34,0.72,1.14,112.52,111.31,1.21
Minnesota Timberwolves,23,23,.500,1.00,111.36,110.34,1.03,1.11,111.47,110.34,1.12
Chicago Bulls,29,17,.630,1.70,112.85,111.26,1.59,1.10,112.83,111.81,1.01
Charlotte Hornets,26,21,.553,-0.11,113.08,113.10,-0.02,-0.18,113.04,113.14,-0.10
Indiana Pacers,17,31,.354,-0.98,111.65,112.63,-0.98,-0.23,111.80,112.02,-0.22
Atlanta Hawks,21,25,.457,-0.46,115.01,115.50,-0.48,-0.28,115.14,115.44,-0.30
San Antonio Spurs,17,30,.362,-0.66,110.61,111.39,-0.77,-0.71,111.01,111.83,-0.82
New York Knicks,23,25,.479,-0.40,109.85,110.31,-0.46,-0.84,109.65,110.54,-0.89
Los Angeles Clippers,23,25,.479,-1.21,107.61,108.99,-1.39,-0.98,107.57,108.74,-1.16
Los Angeles Lakers,23,24,.489,-1.34,109.61,110.95,-1.34,-1.99,109.28,111.29,-2.01
Washington Wizards,23,24,.489,-2.13,110.60,112.87,-2.26,-2.01,110.43,112.56,-2.13
Portland Trail Blazers,20,26,.435,-3.59,111.50,115.26,-3.76,-2.58,112.07,114.81,-2.74
New Orleans Pelicans,18,28,.391,-4.02,109.40,113.50,-4.11,-3.51,109.95,113.55,-3.59
Sacramento Kings,18,30,.375,-4.00,110.99,115.09,-4.10,-3.91,111.26,115.27,-4.01
Oklahoma City Thunder,14,33,.298,-7.34,103.22,110.73,-7.50,-7.02,103.31,110.48,-7.17
Houston Rockets,14,33,.298,-7.96,108.01,115.97,-7.96,-7.83,108.39,116.22,-7.83
Orlando Magic,9,39,.188,-8.52,104.11,112.78,-8.66,-8.26,103.76,112.14,-8.39
Detroit Pistons,11,35,.239,-9.65,103.69,113.27,-9.58,-9.17,103.61,112.71,-9.10
