Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,17,2,.895,13.58,114.97,101.24,13.73,12.33,114.05,101.60,12.45
Utah Jazz,12,7,.632,8.37,115.09,106.47,8.62,7.49,114.03,106.31,7.72
Miami Heat,12,7,.632,6.42,112.55,105.99,6.56,5.84,112.91,106.94,5.98
Phoenix Suns,16,3,.842,7.68,112.37,104.69,7.68,5.85,110.97,105.15,5.82
Brooklyn Nets,14,5,.737,4.63,111.29,106.44,4.85,3.89,111.44,107.33,4.11
Chicago Bulls,13,7,.650,4.35,110.68,106.38,4.30,3.55,110.51,107.00,3.50
Atlanta Hawks,11,9,.550,3.20,114.88,111.62,3.26,3.36,115.37,111.93,3.44
Los Angeles Clippers,11,8,.579,3.47,106.43,103.39,3.04,3.21,105.29,102.53,2.75
Indiana Pacers,9,12,.429,2.29,109.92,107.50,2.42,2.49,109.08,106.43,2.65
Portland Trail Blazers,10,10,.500,0.55,114.03,113.51,0.52,1.78,115.10,113.40,1.69
Philadelphia 76ers,10,9,.526,0.95,112.89,111.80,1.09,1.52,112.61,110.96,1.65
Milwaukee Bucks,12,8,.600,2.95,110.49,107.48,3.01,1.32,110.16,108.76,1.41
Charlotte Hornets,13,8,.619,0.33,110.94,110.48,0.45,1.22,111.64,110.29,1.35
Cleveland Cavaliers,9,10,.474,-0.53,107.20,107.70,-0.50,0.76,107.49,106.70,0.79
Minnesota Timberwolves,9,10,.474,1.58,109.32,107.46,1.86,0.59,109.39,108.64,0.75
Washington Wizards,12,7,.632,0.68,107.54,106.89,0.64,0.59,106.68,106.11,0.57
Toronto Raptors,9,11,.450,-0.25,112.10,112.35,-0.25,0.39,112.50,112.09,0.41
Denver Nuggets,9,10,.474,-0.74,108.37,109.11,-0.74,0.07,107.67,107.59,0.08
Boston Celtics,10,10,.500,1.15,107.99,106.83,1.17,-0.10,107.82,107.87,-0.05
Sacramento Kings,8,12,.400,-1.70,110.37,112.30,-1.93,-0.56,110.47,111.25,-0.78
Dallas Mavericks,10,7,.588,-1.29,107.92,109.17,-1.26,-1.10,108.76,109.90,-1.14
New York Knicks,10,9,.526,-0.32,109.65,109.98,-0.33,-1.62,109.38,110.97,-1.60
Los Angeles Lakers,10,11,.476,-3.14,106.78,109.88,-3.10,-4.10,106.78,110.84,-4.06
San Antonio Spurs,5,13,.278,-2.89,106.11,109.06,-2.95,-4.03,106.08,110.19,-4.11
New Orleans Pelicans,5,16,.238,-6.95,105.12,112.30,-7.17,-5.16,105.90,111.27,-5.37
Memphis Grizzlies,9,10,.474,-6.63,110.66,117.50,-6.84,-5.17,111.80,117.18,-5.38
Oklahoma City Thunder,6,13,.316,-6.95,101.51,108.64,-7.13,-5.85,102.54,108.53,-5.99
Detroit Pistons,4,15,.211,-9.42,101.66,111.26,-9.61,-8.18,102.25,110.57,-8.32
Houston Rockets,2,16,.111,-10.33,99.36,109.56,-10.20,-10.26,99.62,109.76,-10.14
Orlando Magic,4,16,.200,-11.05,101.89,113.06,-11.17,-10.38,101.75,112.18,-10.43
