Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Utah Jazz,26,9,.743,10.34,118.46,107.88,10.58,9.40,117.58,107.97,9.61
Golden State Warriors,27,7,.794,10.00,113.03,102.96,10.07,9.35,112.70,103.32,9.38
Phoenix Suns,27,8,.771,6.74,112.31,105.64,6.67,6.36,112.31,106.04,6.26
Cleveland Cavaliers,20,16,.556,5.36,111.64,106.19,5.45,5.79,111.48,105.60,5.89
Miami Heat,23,13,.639,4.17,113.03,108.75,4.28,3.49,113.15,109.54,3.61
Chicago Bulls,23,10,.697,3.79,113.36,109.64,3.72,3.25,113.08,109.87,3.21
Milwaukee Bucks,24,13,.649,4.16,113.17,108.94,4.23,2.90,112.83,109.84,2.99
Memphis Grizzlies,23,14,.622,2.86,112.67,109.83,2.83,2.72,112.53,109.85,2.68
Brooklyn Nets,23,10,.697,3.55,111.52,107.88,3.64,2.46,111.39,108.83,2.56
Boston Celtics,17,19,.472,1.03,110.03,108.97,1.05,1.72,110.41,108.66,1.75
San Antonio Spurs,14,20,.412,1.29,111.47,110.32,1.15,1.18,111.72,110.69,1.04
Dallas Mavericks,17,18,.486,0.57,110.70,109.89,0.81,0.73,110.49,109.56,0.93
Denver Nuggets,17,16,.515,-0.24,109.80,110.00,-0.20,0.56,109.82,109.23,0.58
Indiana Pacers,14,22,.389,0.33,111.22,110.79,0.43,0.46,110.60,110.02,0.58
Toronto Raptors,15,17,.469,-0.25,111.63,111.72,-0.08,0.39,112.40,111.84,0.56
Philadelphia 76ers,19,16,.543,0.14,111.05,110.83,0.22,0.45,110.69,110.15,0.54
Atlanta Hawks,16,19,.457,0.09,114.54,114.44,0.10,0.25,114.84,114.56,0.28
Minnesota Timberwolves,16,19,.457,-0.94,109.20,110.01,-0.81,-0.21,109.44,109.53,-0.08
Los Angeles Clippers,18,18,.500,0.19,107.22,107.25,-0.03,0.03,107.07,107.28,-0.21
Charlotte Hornets,19,17,.528,-0.92,113.97,114.88,-0.91,-0.55,114.01,114.55,-0.54
New York Knicks,17,19,.472,-0.64,109.78,110.46,-0.68,-1.40,109.47,110.90,-1.43
Washington Wizards,18,17,.514,-2.37,109.70,112.25,-2.55,-1.55,109.78,111.47,-1.69
Los Angeles Lakers,18,19,.486,-1.14,108.54,109.55,-1.01,-1.97,108.40,110.29,-1.89
Portland Trail Blazers,13,22,.371,-4.46,111.15,115.76,-4.61,-3.16,112.11,115.42,-3.32
Sacramento Kings,15,22,.405,-4.35,109.60,114.04,-4.44,-3.69,110.14,113.93,-3.79
New Orleans Pelicans,13,22,.371,-4.40,108.82,113.34,-4.52,-4.51,109.20,113.84,-4.64
Oklahoma City Thunder,13,22,.371,-7.17,102.64,110.03,-7.39,-7.23,102.53,109.99,-7.46
Houston Rockets,10,26,.278,-7.86,107.53,115.46,-7.93,-8.10,107.88,116.06,-8.18
Orlando Magic,7,29,.194,-9.81,104.21,114.16,-9.95,-9.02,104.06,113.20,-9.14
Detroit Pistons,5,28,.152,-9.79,102.06,111.85,-9.79,-9.69,102.03,111.72,-9.69
