Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,34,13,.723,7.60,111.38,103.62,7.77,7.54,111.24,103.54,7.70
Phoenix Suns,36,9,.800,7.96,113.47,105.57,7.89,7.51,113.46,106.02,7.45
Utah Jazz,30,17,.638,7.15,117.42,110.13,7.29,6.39,116.95,110.43,6.53
Cleveland Cavaliers,28,19,.596,4.77,111.95,107.08,4.87,5.14,111.85,106.61,5.24
Miami Heat,30,17,.638,4.47,114.12,109.51,4.62,4.01,113.79,109.63,4.15
Memphis Grizzlies,32,17,.653,3.22,112.62,109.46,3.16,3.49,112.96,109.52,3.44
Milwaukee Bucks,30,19,.612,3.86,113.02,109.17,3.85,2.98,112.59,109.60,2.98
Dallas Mavericks,27,20,.574,2.74,110.47,107.46,3.01,2.68,110.33,107.42,2.91
Boston Celtics,24,24,.500,2.10,110.72,108.47,2.25,2.24,110.78,108.40,2.38
Brooklyn Nets,29,17,.630,2.37,113.63,111.21,2.42,1.62,113.65,111.99,1.66
Philadelphia 76ers,27,19,.587,1.85,112.14,110.20,1.93,1.26,111.45,110.11,1.34
Denver Nuggets,24,21,.533,1.04,111.94,110.82,1.12,1.24,111.95,110.65,1.30
Toronto Raptors,22,22,.500,0.66,112.07,111.34,0.72,1.15,112.52,111.30,1.22
Chicago Bulls,28,17,.622,1.71,112.91,111.32,1.60,1.28,112.88,111.70,1.19
Minnesota Timberwolves,23,23,.500,1.00,111.36,110.34,1.03,1.09,111.47,110.36,1.11
Indiana Pacers,17,30,.362,-0.91,111.59,112.51,-0.92,-0.07,111.79,111.84,-0.05
Charlotte Hornets,26,21,.553,-0.11,113.08,113.10,-0.02,-0.17,113.05,113.14,-0.09
Atlanta Hawks,21,25,.457,-0.46,115.01,115.50,-0.48,-0.27,115.14,115.43,-0.29
San Antonio Spurs,17,30,.362,-0.66,110.61,111.39,-0.77,-0.71,111.01,111.83,-0.82
New York Knicks,23,24,.489,-0.36,110.07,110.49,-0.42,-0.90,109.80,110.75,-0.96
Los Angeles Clippers,23,25,.479,-1.21,107.61,108.99,-1.39,-0.99,107.57,108.75,-1.17
Los Angeles Lakers,23,24,.489,-1.34,109.61,110.95,-1.34,-1.99,109.28,111.29,-2.01
Washington Wizards,23,24,.489,-2.13,110.60,112.87,-2.26,-2.00,110.44,112.55,-2.11
Portland Trail Blazers,20,26,.435,-3.59,111.50,115.26,-3.76,-2.57,112.08,114.81,-2.73
New Orleans Pelicans,17,28,.378,-4.20,109.19,113.48,-4.29,-3.67,109.78,113.54,-3.76
Sacramento Kings,18,30,.375,-4.00,110.99,115.09,-4.10,-3.91,111.27,115.28,-4.01
Oklahoma City Thunder,14,32,.304,-7.48,103.10,110.75,-7.64,-7.18,103.21,110.54,-7.33
Houston Rockets,14,33,.298,-7.96,108.01,115.97,-7.96,-7.84,108.39,116.22,-7.83
Orlando Magic,9,39,.188,-8.52,104.11,112.78,-8.66,-8.24,103.76,112.13,-8.37
Detroit Pistons,11,35,.239,-9.65,103.69,113.27,-9.58,-9.15,103.62,112.71,-9.08
