Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,25,6,.806,10.48,113.00,102.47,10.53,9.58,112.50,102.91,9.59
Utah Jazz,21,9,.700,10.43,118.53,107.83,10.71,9.34,117.62,108.05,9.58
Phoenix Suns,24,5,.828,7.34,112.02,104.71,7.31,7.21,111.72,104.53,7.18
Cleveland Cavaliers,19,12,.613,5.87,111.09,104.96,6.13,6.49,111.20,104.45,6.76
Miami Heat,18,13,.581,2.94,111.91,108.96,2.95,2.84,112.30,109.43,2.87
Brooklyn Nets,21,9,.700,3.40,111.09,107.57,3.52,2.28,110.91,108.51,2.40
Chicago Bulls,19,10,.655,3.07,112.11,109.14,2.97,2.46,111.87,109.50,2.38
Milwaukee Bucks,19,13,.594,2.75,111.60,108.79,2.81,2.00,111.31,109.22,2.09
Memphis Grizzlies,19,13,.594,2.22,112.14,109.96,2.18,1.94,111.89,110.01,1.89
Toronto Raptors,14,15,.483,1.17,111.74,110.49,1.25,1.64,112.25,110.53,1.72
Indiana Pacers,13,18,.419,1.52,111.41,109.77,1.64,1.57,110.81,109.09,1.72
Atlanta Hawks,14,15,.483,1.52,114.83,113.25,1.58,1.42,114.88,113.38,1.50
Boston Celtics,15,16,.484,0.97,110.05,109.03,1.01,1.27,110.21,108.88,1.33
Denver Nuggets,15,14,.517,0.28,111.18,110.87,0.31,1.05,111.14,110.04,1.10
Minnesota Timberwolves,15,15,.500,0.20,109.60,109.21,0.39,0.33,109.68,109.19,0.49
San Antonio Spurs,12,18,.400,0.00,110.73,110.75,-0.02,-0.13,110.87,111.02,-0.15
Dallas Mavericks,14,15,.483,-0.38,109.72,109.88,-0.16,-0.37,109.71,109.90,-0.19
Los Angeles Clippers,16,15,.516,0.29,107.27,107.29,-0.02,0.06,107.15,107.41,-0.26
Philadelphia 76ers,16,15,.516,-0.87,110.25,111.09,-0.84,-0.49,109.87,110.32,-0.44
Portland Trail Blazers,13,18,.419,-2.55,111.23,113.86,-2.63,-1.11,112.23,113.44,-1.21
Charlotte Hornets,16,17,.485,-2.21,113.87,116.06,-2.18,-1.43,114.29,115.68,-1.39
New York Knicks,13,17,.433,-1.53,110.75,112.35,-1.61,-1.55,110.83,112.43,-1.60
Los Angeles Lakers,16,15,.516,-0.84,107.63,108.39,-0.76,-2.02,107.45,109.42,-1.98
Washington Wizards,16,15,.516,-2.55,108.65,111.39,-2.75,-1.85,108.57,110.57,-2.00
Sacramento Kings,13,19,.406,-3.47,110.46,113.97,-3.50,-2.62,110.96,113.62,-2.66
New Orleans Pelicans,10,21,.323,-5.58,107.72,113.52,-5.80,-5.39,108.06,113.66,-5.61
Houston Rockets,10,21,.323,-6.71,107.01,113.76,-6.75,-7.35,107.25,114.67,-7.42
Detroit Pistons,5,24,.172,-9.03,102.65,111.80,-9.14,-8.96,102.96,112.03,-9.07
Oklahoma City Thunder,10,19,.345,-8.59,101.99,110.86,-8.88,-8.84,101.90,111.04,-9.15
Orlando Magic,6,25,.194,-9.94,103.36,113.42,-10.05,-9.27,103.18,112.54,-9.37
