Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,36,13,.735,8.24,112.04,103.62,8.42,8.20,111.94,103.57,8.37
Phoenix Suns,38,9,.809,7.91,113.61,105.73,7.87,7.73,113.58,105.89,7.70
Utah Jazz,30,19,.612,6.57,117.09,110.40,6.69,6.12,116.82,110.58,6.23
Cleveland Cavaliers,30,19,.612,4.94,111.97,106.90,5.07,5.33,111.91,106.46,5.46
Miami Heat,31,17,.646,4.67,114.25,109.41,4.84,4.15,113.92,109.60,4.32
Memphis Grizzlies,33,17,.660,3.32,112.76,109.50,3.26,3.50,113.05,109.60,3.44
Boston Celtics,25,24,.510,3.14,111.19,107.86,3.34,3.18,111.15,107.80,3.35
Milwaukee Bucks,30,20,.600,3.46,112.88,109.45,3.43,2.73,112.55,109.83,2.72
Dallas Mavericks,28,21,.571,2.27,110.59,108.08,2.52,2.27,110.50,108.02,2.49
Philadelphia 76ers,29,19,.604,2.35,112.40,109.94,2.47,1.71,111.70,109.88,1.82
Toronto Raptors,23,23,.500,0.76,112.41,111.59,0.82,1.23,112.76,111.47,1.29
Brooklyn Nets,29,19,.604,1.94,113.45,111.48,1.97,1.25,113.49,112.21,1.28
Denver Nuggets,26,21,.553,1.23,112.08,110.77,1.30,1.21,111.99,110.73,1.27
Chicago Bulls,30,17,.638,1.79,112.98,111.29,1.69,1.24,112.96,111.80,1.17
Minnesota Timberwolves,24,24,.500,0.81,111.42,110.58,0.84,0.98,111.58,110.58,1.00
Charlotte Hornets,27,22,.551,0.31,113.82,113.48,0.34,0.23,113.76,113.50,0.26
Atlanta Hawks,22,25,.468,-0.09,115.15,115.26,-0.11,0.00,115.18,115.21,-0.02
San Antonio Spurs,18,31,.367,-0.18,111.06,111.36,-0.30,-0.38,111.37,111.86,-0.50
Indiana Pacers,17,32,.347,-1.61,111.78,113.35,-1.57,-0.83,111.90,112.68,-0.78
New York Knicks,23,26,.469,-0.67,109.76,110.52,-0.76,-0.95,109.61,110.63,-1.02
Los Angeles Clippers,25,25,.500,-0.96,107.81,108.94,-1.13,-0.98,107.70,108.86,-1.16
Washington Wizards,23,25,.479,-2.10,110.60,112.83,-2.24,-1.95,110.49,112.56,-2.07
Los Angeles Lakers,24,25,.490,-1.45,109.23,110.68,-1.44,-2.10,108.89,111.00,-2.11
Portland Trail Blazers,20,28,.417,-3.90,111.49,115.56,-4.06,-2.84,112.15,115.14,-2.99
New Orleans Pelicans,18,29,.383,-4.15,109.61,113.86,-4.26,-3.69,110.14,113.93,-3.79
Sacramento Kings,18,32,.360,-5.24,110.20,115.59,-5.39,-5.10,110.43,115.67,-5.24
Oklahoma City Thunder,14,33,.298,-7.34,103.22,110.73,-7.50,-7.07,103.30,110.52,-7.22
Houston Rockets,14,34,.292,-8.42,107.89,116.29,-8.40,-8.30,108.28,116.56,-8.28
Orlando Magic,9,40,.184,-8.53,104.13,112.80,-8.68,-8.23,103.87,112.24,-8.37
Detroit Pistons,11,36,.234,-9.55,103.69,113.17,-9.48,-9.10,103.61,112.64,-9.03
