Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,23,5,.821,11.61,113.20,101.53,11.67,10.44,112.65,102.19,10.46
Utah Jazz,19,7,.731,11.15,119.03,107.55,11.48,9.91,118.09,107.87,10.21
Phoenix Suns,22,5,.815,6.00,111.10,105.08,6.02,5.91,111.02,105.07,5.95
Cleveland Cavaliers,17,12,.586,4.07,110.06,105.80,4.26,4.95,110.20,105.05,5.14
Miami Heat,16,12,.571,3.07,111.98,108.92,3.07,3.65,112.48,108.82,3.67
Milwaukee Bucks,18,11,.621,3.66,112.07,108.36,3.71,2.69,111.71,108.95,2.76
Brooklyn Nets,20,8,.714,3.57,111.59,107.90,3.69,2.51,111.46,108.83,2.62
Indiana Pacers,12,17,.414,1.83,111.16,109.16,2.00,2.15,110.53,108.20,2.32
Chicago Bulls,17,10,.630,2.56,110.87,108.46,2.41,2.32,110.76,108.57,2.18
Atlanta Hawks,13,14,.481,1.85,115.05,113.16,1.89,2.03,115.13,113.03,2.09
Memphis Grizzlies,17,11,.607,1.79,112.51,110.73,1.78,1.98,112.61,110.62,1.99
Boston Celtics,14,14,.500,1.14,109.86,108.67,1.19,1.17,109.84,108.61,1.23
Los Angeles Clippers,16,12,.571,1.96,107.82,106.18,1.64,1.42,107.41,106.32,1.08
Denver Nuggets,14,13,.519,0.26,110.66,110.34,0.33,0.93,110.72,109.70,1.02
Toronto Raptors,13,15,.464,0.54,111.31,110.72,0.59,0.69,111.50,110.76,0.74
Dallas Mavericks,14,13,.519,-0.07,109.98,109.80,0.18,-0.08,110.02,109.89,0.13
Philadelphia 76ers,15,13,.536,-0.64,110.56,111.15,-0.59,-0.45,109.98,110.38,-0.40
San Antonio Spurs,10,16,.385,-0.12,109.19,109.29,-0.10,-0.50,109.36,109.84,-0.48
Minnesota Timberwolves,12,15,.444,-1.30,108.79,109.87,-1.08,-0.92,108.86,109.59,-0.74
Charlotte Hornets,15,14,.517,-1.34,113.98,115.40,-1.41,-0.91,114.31,115.27,-0.97
Portland Trail Blazers,11,17,.393,-2.96,111.02,114.08,-3.06,-1.45,112.41,113.97,-1.56
Los Angeles Lakers,15,13,.536,-0.21,108.47,108.62,-0.15,-1.73,108.31,110.01,-1.71
New York Knicks,12,16,.429,-1.86,109.98,111.96,-1.99,-1.68,110.24,112.03,-1.79
Washington Wizards,15,13,.536,-1.82,109.00,111.02,-2.03,-1.66,108.68,110.51,-1.83
Sacramento Kings,11,17,.393,-3.50,110.28,113.87,-3.58,-2.97,110.44,113.49,-3.05
New Orleans Pelicans,8,21,.276,-6.21,107.40,113.83,-6.43,-5.72,107.82,113.74,-5.92
Houston Rockets,9,18,.333,-5.70,106.31,111.91,-5.60,-6.53,106.27,112.72,-6.46
Detroit Pistons,4,22,.154,-9.77,101.96,111.88,-9.93,-9.51,102.34,112.01,-9.68
Oklahoma City Thunder,8,18,.308,-9.62,101.14,111.08,-9.94,-9.44,101.26,111.00,-9.73
Orlando Magic,5,23,.179,-10.46,103.17,113.73,-10.55,-9.88,103.12,113.09,-9.97
