Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,30,11,.732,7.78,111.28,103.40,7.89,7.95,111.29,103.25,8.04
Utah Jazz,28,14,.667,7.52,117.74,110.07,7.68,6.92,117.26,110.20,7.06
Phoenix Suns,31,9,.775,7.03,112.63,105.71,6.92,6.70,112.58,105.98,6.60
Cleveland Cavaliers,24,18,.571,5.07,111.89,106.71,5.19,5.82,111.79,105.85,5.94
Miami Heat,26,15,.634,4.73,113.81,108.93,4.88,4.29,113.81,109.37,4.44
Memphis Grizzlies,30,14,.682,4.39,113.50,109.16,4.34,4.40,113.74,109.39,4.35
Milwaukee Bucks,27,17,.614,4.11,113.00,108.87,4.12,3.05,112.66,109.57,3.09
Chicago Bulls,27,12,.692,3.69,113.82,110.24,3.57,2.74,113.42,110.77,2.64
Boston Celtics,21,21,.500,1.98,110.47,108.35,2.13,2.34,110.78,108.29,2.49
Toronto Raptors,20,18,.526,1.37,112.73,111.23,1.50,2.19,113.39,111.06,2.32
Dallas Mavericks,22,19,.537,1.83,110.49,108.43,2.06,1.82,110.30,108.28,2.02
Brooklyn Nets,26,15,.634,2.34,112.64,110.28,2.36,1.54,112.69,111.14,1.55
Philadelphia 76ers,23,17,.575,1.58,111.77,110.13,1.64,1.04,110.85,109.74,1.11
Denver Nuggets,21,19,.525,0.73,110.65,109.90,0.75,0.93,110.47,109.53,0.93
Minnesota Timberwolves,20,22,.476,0.60,110.46,109.82,0.64,0.54,110.53,109.95,0.58
Indiana Pacers,15,27,.357,-0.48,111.39,111.86,-0.47,0.17,111.17,110.96,0.21
Charlotte Hornets,23,19,.548,-0.43,113.82,114.20,-0.38,-0.21,113.89,114.05,-0.17
New York Knicks,21,21,.500,-0.26,110.02,110.34,-0.32,-0.75,109.91,110.70,-0.78
San Antonio Spurs,15,26,.366,-0.49,110.45,111.04,-0.59,-0.83,110.62,111.55,-0.93
Los Angeles Clippers,21,22,.488,-1.12,106.53,107.83,-1.30,-0.93,106.43,107.55,-1.12
Atlanta Hawks,17,23,.425,-1.23,113.93,115.15,-1.22,-1.25,114.04,115.28,-1.25
Los Angeles Lakers,21,21,.500,-0.71,109.81,110.43,-0.63,-1.54,109.45,110.93,-1.48
Washington Wizards,22,20,.524,-1.90,110.73,112.76,-2.03,-1.75,110.57,112.43,-1.85
Portland Trail Blazers,16,25,.390,-4.41,112.04,116.62,-4.58,-3.13,112.91,116.20,-3.29
New Orleans Pelicans,16,26,.381,-4.12,109.42,113.62,-4.20,-3.66,110.09,113.84,-3.75
Sacramento Kings,17,27,.386,-4.32,110.04,114.46,-4.42,-3.67,110.50,114.27,-3.77
Oklahoma City Thunder,14,27,.341,-6.95,103.45,110.56,-7.11,-6.97,103.40,110.53,-7.13
Houston Rockets,12,31,.279,-8.63,107.68,116.33,-8.65,-8.62,108.10,116.73,-8.64
Orlando Magic,7,35,.167,-9.17,104.10,113.40,-9.30,-8.81,103.87,112.80,-8.93
Detroit Pistons,9,31,.225,-10.08,102.44,112.45,-10.01,-9.86,102.21,112.01,-9.81
