Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,40,13,.755,8.26,112.96,104.51,8.44,8.03,112.65,104.45,8.20
Phoenix Suns,41,10,.804,7.61,114.40,106.81,7.58,7.51,114.31,106.81,7.49
Utah Jazz,32,21,.604,6.02,117.09,110.94,6.14,5.81,116.87,110.94,5.93
Cleveland Cavaliers,32,21,.604,4.25,111.76,107.41,4.35,4.20,111.52,107.22,4.30
Memphis Grizzlies,36,18,.667,3.80,113.17,109.39,3.78,4.08,113.42,109.36,4.07
Miami Heat,33,20,.623,3.96,113.79,109.68,4.11,3.58,113.56,109.84,3.72
Boston Celtics,29,25,.537,3.57,111.22,107.44,3.78,3.35,110.99,107.44,3.54
Dallas Mavericks,30,23,.566,2.62,111.32,108.44,2.88,2.49,111.29,108.57,2.72
Milwaukee Bucks,32,21,.604,3.13,113.05,109.97,3.08,2.39,112.77,110.42,2.35
Toronto Raptors,28,23,.549,1.31,112.85,111.48,1.36,1.78,113.00,111.17,1.83
Minnesota Timberwolves,27,25,.519,1.44,112.59,111.13,1.47,1.75,112.89,111.11,1.77
Denver Nuggets,28,24,.538,1.50,112.88,111.30,1.58,1.58,112.74,111.09,1.65
Philadelphia 76ers,31,21,.596,2.04,112.38,110.27,2.11,1.45,111.77,110.26,1.51
Chicago Bulls,33,19,.635,1.92,114.07,112.22,1.85,1.16,113.90,112.80,1.11
Brooklyn Nets,29,23,.558,0.87,113.26,112.41,0.85,0.58,113.42,112.86,0.56
Atlanta Hawks,25,27,.481,0.23,115.37,115.16,0.20,0.47,115.53,115.08,0.44
San Antonio Spurs,20,34,.370,-0.02,111.84,111.97,-0.13,0.08,112.25,112.27,-0.02
Charlotte Hornets,28,25,.528,-0.26,113.25,113.47,-0.22,-0.30,113.35,113.61,-0.26
Los Angeles Clippers,27,27,.500,-0.65,108.28,109.10,-0.82,-0.57,108.17,108.92,-0.75
New York Knicks,24,28,.462,-0.77,109.82,110.67,-0.85,-0.98,109.63,110.68,-1.06
Indiana Pacers,19,35,.352,-1.94,111.92,113.84,-1.92,-1.52,112.09,113.58,-1.49
Los Angeles Lakers,25,28,.472,-1.47,109.63,111.09,-1.46,-2.06,109.19,111.26,-2.07
Washington Wizards,24,27,.471,-2.59,110.47,113.22,-2.75,-2.31,110.52,112.98,-2.46
New Orleans Pelicans,20,32,.385,-3.87,109.56,113.52,-3.96,-3.37,110.13,113.58,-3.46
Portland Trail Blazers,21,32,.396,-3.98,110.98,115.17,-4.18,-3.39,111.49,115.07,-3.58
Sacramento Kings,19,35,.352,-5.28,110.28,115.69,-5.41,-4.93,110.68,115.74,-5.06
Oklahoma City Thunder,17,34,.333,-6.31,103.67,110.10,-6.42,-6.16,103.57,109.83,-6.26
Orlando Magic,12,41,.226,-7.74,104.96,112.82,-7.86,-7.68,104.65,112.45,-7.80
Houston Rockets,15,37,.288,-8.60,108.16,116.75,-8.59,-8.26,108.66,116.90,-8.25
Detroit Pistons,12,40,.231,-9.33,104.23,113.49,-9.26,-9.03,104.19,113.15,-8.96
