Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,33,13,.717,7.72,111.32,103.44,7.88,7.55,111.16,103.46,7.70
Phoenix Suns,35,9,.795,7.91,113.42,105.58,7.84,7.45,113.42,106.03,7.38
Utah Jazz,30,16,.652,7.35,117.54,110.04,7.50,6.41,116.91,110.35,6.56
Cleveland Cavaliers,27,19,.587,4.72,112.25,107.43,4.82,5.30,112.16,106.76,5.40
Miami Heat,29,17,.630,4.43,114.11,109.52,4.59,4.02,113.76,109.60,4.17
Memphis Grizzlies,32,16,.667,3.56,112.94,109.43,3.51,3.79,113.25,109.50,3.74
Milwaukee Bucks,29,19,.604,3.81,112.62,108.82,3.80,2.98,112.22,109.24,2.98
Dallas Mavericks,26,20,.565,2.52,110.46,107.69,2.77,2.42,110.32,107.67,2.64
Brooklyn Nets,29,16,.644,2.67,113.40,110.69,2.72,1.89,113.37,111.45,1.93
Boston Celtics,23,24,.489,1.53,110.53,108.87,1.66,1.75,110.63,108.76,1.87
Chicago Bulls,28,16,.636,2.18,113.28,111.20,2.08,1.91,113.26,111.44,1.83
Toronto Raptors,22,21,.512,0.88,112.25,111.30,0.95,1.47,112.85,111.30,1.55
Denver Nuggets,23,21,.523,0.93,111.77,110.76,1.01,1.34,111.79,110.40,1.40
Philadelphia 76ers,26,19,.578,1.76,111.92,110.09,1.84,1.17,111.22,109.97,1.25
Minnesota Timberwolves,22,23,.489,0.78,110.84,110.03,0.81,0.83,110.94,110.09,0.85
Charlotte Hornets,26,20,.565,0.37,113.57,113.12,0.45,0.28,113.64,113.29,0.35
Indiana Pacers,17,29,.370,-0.72,111.73,112.45,-0.72,0.05,111.88,111.81,0.08
Atlanta Hawks,20,25,.444,-0.96,115.08,116.06,-0.98,-0.74,115.30,116.06,-0.76
San Antonio Spurs,17,29,.370,-0.54,110.51,111.16,-0.65,-0.66,110.90,111.67,-0.77
Los Angeles Clippers,23,24,.489,-1.06,107.61,108.85,-1.24,-0.85,107.58,108.62,-1.03
New York Knicks,22,24,.478,-0.54,109.95,110.56,-0.62,-1.09,109.58,110.74,-1.16
Washington Wizards,23,23,.500,-1.54,111.05,112.71,-1.66,-1.45,110.79,112.33,-1.55
Los Angeles Lakers,23,23,.500,-1.24,109.63,110.87,-1.24,-2.00,109.28,111.31,-2.03
Portland Trail Blazers,19,26,.422,-3.87,111.46,115.50,-4.04,-2.81,112.10,115.07,-2.97
New Orleans Pelicans,17,28,.378,-4.20,109.19,113.48,-4.29,-3.69,109.82,113.60,-3.78
Sacramento Kings,18,29,.383,-3.96,110.67,114.73,-4.06,-3.91,110.88,114.90,-4.02
Oklahoma City Thunder,14,31,.311,-7.49,103.38,111.03,-7.65,-7.28,103.44,110.86,-7.43
Houston Rockets,14,33,.298,-7.96,108.01,115.97,-7.96,-7.84,108.39,116.23,-7.84
Orlando Magic,8,39,.170,-9.11,103.85,113.11,-9.26,-8.81,103.55,112.50,-8.95
Detroit Pistons,11,34,.244,-9.73,103.48,113.13,-9.66,-9.19,103.46,112.58,-9.12
