Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Utah Jazz,21,9,.700,10.43,118.53,107.83,10.71,9.38,117.61,107.99,9.62
Golden State Warriors,25,6,.806,10.48,113.00,102.47,10.53,9.58,112.53,102.94,9.59
Phoenix Suns,25,5,.833,7.70,111.73,104.08,7.64,7.37,111.38,104.06,7.31
Cleveland Cavaliers,19,13,.594,5.38,110.80,105.17,5.62,6.11,110.99,104.63,6.36
Miami Heat,19,13,.594,3.75,112.54,108.72,3.82,3.69,112.92,109.14,3.78
Brooklyn Nets,21,9,.700,3.40,111.09,107.57,3.52,2.34,110.94,108.47,2.46
Milwaukee Bucks,20,13,.606,3.27,112.06,108.73,3.34,2.36,111.65,109.20,2.45
Chicago Bulls,19,10,.655,3.07,112.11,109.14,2.97,2.48,111.90,109.50,2.40
Memphis Grizzlies,19,13,.594,2.22,112.14,109.96,2.18,1.92,111.87,110.00,1.87
Boston Celtics,16,16,.500,1.25,110.10,108.81,1.30,1.79,110.46,108.60,1.86
Toronto Raptors,14,15,.483,1.17,111.74,110.49,1.25,1.64,112.23,110.50,1.72
Atlanta Hawks,14,16,.467,1.27,114.52,113.21,1.31,0.91,114.50,113.53,0.97
Indiana Pacers,13,19,.406,0.56,111.10,110.46,0.64,0.78,110.56,109.69,0.87
Denver Nuggets,15,15,.500,-0.20,110.66,110.83,-0.18,0.30,110.55,110.22,0.33
Dallas Mavericks,15,15,.500,0.03,110.11,109.83,0.27,0.07,110.15,109.87,0.28
Los Angeles Clippers,17,15,.531,0.78,107.36,106.85,0.51,0.49,107.10,106.90,0.20
Minnesota Timberwolves,15,16,.484,-0.19,109.57,109.61,-0.04,-0.04,109.68,109.57,0.11
San Antonio Spurs,12,18,.400,0.00,110.73,110.75,-0.02,-0.10,110.92,111.04,-0.12
Philadelphia 76ers,16,15,.516,-0.87,110.25,111.09,-0.84,-0.49,109.86,110.31,-0.45
New York Knicks,14,17,.452,-1.03,110.62,111.72,-1.10,-1.34,110.60,111.99,-1.39
Charlotte Hornets,16,17,.485,-2.21,113.87,116.06,-2.18,-1.49,114.23,115.68,-1.45
Portland Trail Blazers,13,19,.406,-2.91,111.12,114.15,-3.03,-1.72,112.02,113.89,-1.87
Washington Wizards,16,15,.516,-2.55,108.65,111.39,-2.75,-1.80,108.56,110.51,-1.95
Los Angeles Lakers,16,16,.500,-1.38,106.96,108.23,-1.27,-2.21,106.99,109.13,-2.14
Sacramento Kings,13,20,.394,-3.85,109.94,113.85,-3.91,-2.98,110.55,113.59,-3.05
New Orleans Pelicans,11,21,.344,-4.97,108.20,113.34,-5.13,-4.79,108.41,113.37,-4.96
Houston Rockets,10,22,.313,-7.13,107.00,114.17,-7.17,-7.55,107.38,114.99,-7.62
Oklahoma City Thunder,11,19,.367,-7.83,102.24,110.35,-8.11,-8.00,102.17,110.46,-8.28
Orlando Magic,7,25,.219,-9.44,103.63,113.17,-9.54,-8.74,103.36,112.18,-8.81
Detroit Pistons,5,25,.167,-9.20,102.32,111.63,-9.31,-9.14,102.54,111.79,-9.25
