Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,37,13,.740,8.16,112.08,103.75,8.33,8.16,111.95,103.62,8.33
Phoenix Suns,39,9,.813,7.96,114.04,106.12,7.92,7.81,114.05,106.26,7.78
Utah Jazz,30,20,.600,6.24,116.99,110.64,6.35,5.88,116.77,110.79,5.98
Cleveland Cavaliers,30,19,.612,4.94,111.97,106.90,5.07,5.33,111.93,106.48,5.45
Miami Heat,32,18,.640,4.54,114.07,109.35,4.72,4.04,113.78,109.57,4.21
Memphis Grizzlies,35,17,.673,3.77,113.15,109.40,3.74,4.07,113.42,109.37,4.05
Dallas Mavericks,29,21,.580,2.76,111.05,108.04,3.01,2.78,110.95,107.94,3.01
Boston Celtics,26,25,.510,2.90,110.96,107.87,3.09,2.84,110.76,107.76,3.00
Milwaukee Bucks,31,20,.608,3.69,113.09,109.44,3.66,2.90,112.78,109.89,2.88
Philadelphia 76ers,30,19,.612,2.35,112.37,109.91,2.46,1.59,111.60,109.91,1.69
Denver Nuggets,27,21,.563,1.44,112.14,110.64,1.50,1.38,111.99,110.55,1.43
Toronto Raptors,24,23,.511,0.83,112.26,111.39,0.87,1.31,112.61,111.25,1.36
Brooklyn Nets,29,20,.592,1.82,113.38,111.53,1.85,1.29,113.55,112.23,1.32
Minnesota Timberwolves,24,25,.490,0.59,111.68,111.06,0.62,0.95,111.99,111.02,0.97
Chicago Bulls,30,18,.625,1.56,113.20,111.74,1.46,0.99,113.18,112.27,0.91
Atlanta Hawks,23,25,.479,0.25,115.10,114.86,0.24,0.37,115.18,114.82,0.36
Charlotte Hornets,28,22,.560,0.36,114.00,113.60,0.40,0.22,113.94,113.68,0.25
San Antonio Spurs,19,31,.380,0.00,111.49,111.60,-0.12,-0.14,111.78,112.04,-0.25
Los Angeles Clippers,25,26,.490,-1.08,107.86,109.10,-1.24,-0.96,107.80,108.93,-1.13
New York Knicks,23,27,.460,-0.96,109.74,110.79,-1.05,-1.22,109.60,110.90,-1.30
Indiana Pacers,18,33,.353,-2.02,111.60,113.59,-1.99,-1.40,111.77,113.13,-1.36
Los Angeles Lakers,24,26,.480,-1.48,109.44,110.92,-1.48,-2.07,109.05,111.13,-2.09
Washington Wizards,23,26,.469,-2.47,110.42,113.05,-2.63,-2.26,110.38,112.78,-2.40
Portland Trail Blazers,21,28,.429,-3.51,111.77,115.44,-3.68,-2.62,112.32,115.08,-2.77
New Orleans Pelicans,18,31,.367,-4.41,109.37,113.90,-4.52,-3.88,109.93,113.93,-3.99
Sacramento Kings,18,33,.353,-5.18,110.17,115.50,-5.32,-4.95,110.45,115.54,-5.09
Oklahoma City Thunder,14,34,.292,-7.25,103.27,110.68,-7.41,-7.00,103.31,110.45,-7.15
Orlando Magic,10,40,.200,-8.04,104.49,112.67,-8.17,-7.97,104.20,112.30,-8.10
Houston Rockets,14,35,.286,-8.55,107.93,116.47,-8.54,-8.47,108.22,116.68,-8.46
Detroit Pistons,11,37,.229,-9.69,103.73,113.36,-9.63,-9.42,103.63,112.99,-9.37
