Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Phoenix Suns,49,10,.831,8.34,114.81,106.52,8.29,7.89,114.65,106.81,7.84
Golden State Warriors,43,17,.717,7.42,113.05,105.51,7.54,7.12,112.80,105.57,7.23
Utah Jazz,36,22,.621,6.86,117.33,110.30,7.04,6.45,117.11,110.49,6.62
Boston Celtics,35,26,.574,5.69,112.38,106.43,5.95,5.15,111.97,106.57,5.40
Memphis Grizzlies,41,20,.672,4.69,114.44,109.80,4.64,4.56,114.52,110.02,4.51
Miami Heat,38,21,.644,4.47,113.83,109.21,4.62,4.08,113.48,109.27,4.22
Cleveland Cavaliers,35,24,.593,4.02,111.84,107.73,4.10,3.80,111.46,107.58,3.88
Dallas Mavericks,35,24,.593,3.36,112.03,108.38,3.65,3.12,111.97,108.58,3.39
Milwaukee Bucks,36,24,.600,3.35,114.16,110.86,3.30,2.60,113.92,111.35,2.56
Denver Nuggets,34,25,.576,2.36,113.60,111.17,2.42,2.45,113.54,111.03,2.51
Toronto Raptors,32,25,.561,1.77,113.17,111.38,1.79,1.94,113.16,111.20,1.96
Minnesota Timberwolves,32,28,.533,1.52,113.16,111.63,1.52,1.60,113.15,111.55,1.61
Chicago Bulls,39,21,.650,2.28,114.95,112.73,2.22,1.51,114.70,113.25,1.45
Philadelphia 76ers,35,23,.603,1.55,112.26,110.68,1.58,1.26,111.99,110.70,1.28
Atlanta Hawks,28,31,.475,0.41,115.63,115.23,0.40,0.67,115.92,115.24,0.68
San Antonio Spurs,23,36,.390,0.14,112.03,112.02,0.01,0.21,112.35,112.26,0.09
Los Angeles Clippers,30,31,.492,-0.84,108.86,109.84,-0.98,-0.41,109.03,109.59,-0.55
Brooklyn Nets,31,29,.517,-0.38,112.67,113.09,-0.42,-0.56,112.86,113.45,-0.60
Charlotte Hornets,29,31,.483,-0.90,112.41,113.28,-0.87,-0.83,112.48,113.28,-0.80
New York Knicks,25,34,.424,-1.51,109.95,111.53,-1.58,-1.58,109.84,111.48,-1.65
Los Angeles Lakers,27,31,.466,-1.47,109.93,111.39,-1.46,-1.85,109.58,111.44,-1.86
Indiana Pacers,20,40,.333,-2.65,111.98,114.63,-2.65,-2.08,112.22,114.29,-2.08
Washington Wizards,27,31,.466,-2.79,110.51,113.47,-2.96,-2.59,110.54,113.28,-2.74
New Orleans Pelicans,23,36,.390,-3.20,110.53,113.80,-3.27,-2.82,110.92,113.79,-2.87
Portland Trail Blazers,25,35,.417,-4.42,110.92,115.53,-4.61,-3.71,111.54,115.44,-3.90
Sacramento Kings,22,39,.361,-5.21,110.55,115.85,-5.30,-4.94,110.84,115.87,-5.03
Oklahoma City Thunder,18,41,.305,-6.86,103.43,110.40,-6.97,-6.48,103.42,110.01,-6.59
Orlando Magic,13,47,.217,-8.63,104.84,113.54,-8.70,-8.19,104.65,112.90,-8.25
Houston Rockets,15,43,.259,-9.66,108.24,117.90,-9.66,-9.15,108.78,117.94,-9.16
Detroit Pistons,14,45,.237,-9.83,104.49,114.26,-9.77,-9.35,104.61,113.89,-9.29
