Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Utah Jazz,20,9,.690,10.45,118.93,108.18,10.75,9.35,118.22,108.60,9.62
Golden State Warriors,24,6,.800,10.33,112.95,102.58,10.37,9.50,112.54,103.04,9.50
Phoenix Suns,24,5,.828,7.34,112.02,104.71,7.31,7.23,111.74,104.54,7.20
Cleveland Cavaliers,19,12,.613,5.87,111.09,104.96,6.13,6.54,111.22,104.41,6.81
Miami Heat,18,13,.581,2.94,111.91,108.96,2.95,2.86,112.29,109.40,2.89
Memphis Grizzlies,19,12,.613,2.39,112.50,110.15,2.35,2.44,112.32,109.91,2.41
Brooklyn Nets,21,9,.700,3.40,111.09,107.57,3.52,2.24,110.95,108.59,2.36
Chicago Bulls,18,10,.643,2.64,111.08,108.57,2.51,2.29,110.96,108.79,2.17
Milwaukee Bucks,19,13,.594,2.75,111.60,108.79,2.81,1.94,111.25,109.23,2.02
Toronto Raptors,14,15,.483,1.17,111.74,110.49,1.25,1.66,112.24,110.50,1.74
Indiana Pacers,13,18,.419,1.52,111.41,109.77,1.64,1.53,110.75,109.08,1.67
Boston Celtics,15,15,.500,1.17,110.20,108.98,1.22,1.47,110.40,108.86,1.54
Atlanta Hawks,14,15,.483,1.52,114.83,113.25,1.58,1.37,114.79,113.33,1.46
Denver Nuggets,15,14,.517,0.28,111.18,110.87,0.31,1.00,111.18,110.13,1.05
Minnesota Timberwolves,15,15,.500,0.20,109.60,109.21,0.39,0.42,109.70,109.12,0.58
Los Angeles Clippers,16,14,.533,1.10,107.77,106.98,0.79,0.87,107.63,107.09,0.54
Dallas Mavericks,14,15,.483,-0.38,109.72,109.88,-0.16,-0.37,109.72,109.91,-0.19
Philadelphia 76ers,15,15,.500,-1.07,110.24,111.27,-1.03,-0.72,109.75,110.44,-0.68
San Antonio Spurs,11,18,.379,-0.83,110.52,111.38,-0.85,-0.95,110.53,111.50,-0.97
Portland Trail Blazers,13,18,.419,-2.55,111.23,113.86,-2.63,-0.99,112.25,113.35,-1.09
Charlotte Hornets,16,16,.500,-1.97,114.38,116.33,-1.95,-1.45,114.80,116.22,-1.42
New York Knicks,13,17,.433,-1.53,110.75,112.35,-1.61,-1.60,110.92,112.58,-1.66
Los Angeles Lakers,16,15,.516,-0.84,107.63,108.39,-0.76,-2.03,107.48,109.47,-1.99
Washington Wizards,16,15,.516,-2.55,108.65,111.39,-2.75,-1.85,108.49,110.49,-2.00
Sacramento Kings,13,18,.419,-3.10,110.82,113.95,-3.13,-2.50,111.00,113.54,-2.54
New Orleans Pelicans,10,21,.323,-5.58,107.72,113.52,-5.80,-5.38,108.06,113.65,-5.59
Houston Rockets,10,20,.333,-6.43,106.40,112.85,-6.45,-7.19,106.55,113.78,-7.24
Detroit Pistons,5,24,.172,-9.03,102.65,111.80,-9.14,-8.97,103.06,112.14,-9.08
Orlando Magic,6,25,.194,-9.94,103.36,113.42,-10.05,-9.31,103.14,112.55,-9.41
Oklahoma City Thunder,9,19,.321,-9.00,101.91,111.22,-9.30,-9.27,101.90,111.48,-9.58
