Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Phoenix Suns,49,12,.803,7.75,114.84,107.15,7.70,7.38,114.66,107.34,7.32
Utah Jazz,38,22,.633,6.78,117.66,110.70,6.97,6.60,117.60,110.82,6.78
Golden State Warriors,43,19,.694,6.84,112.80,105.84,6.96,6.62,112.60,105.86,6.74
Boston Celtics,37,27,.578,5.38,112.47,106.83,5.64,4.72,111.97,106.99,4.97
Memphis Grizzlies,43,20,.683,4.84,114.44,109.65,4.79,4.73,114.49,109.82,4.67
Miami Heat,41,21,.661,4.77,114.06,109.15,4.91,4.42,113.71,109.16,4.55
Cleveland Cavaliers,36,25,.590,3.90,111.88,107.89,3.99,3.66,111.46,107.71,3.75
Dallas Mavericks,37,25,.597,3.29,112.14,108.57,3.57,3.28,112.23,108.70,3.53
Denver Nuggets,36,25,.590,2.89,113.66,110.74,2.93,2.85,113.46,110.58,2.88
Milwaukee Bucks,37,25,.597,3.58,114.51,110.98,3.53,2.83,114.21,111.42,2.79
Philadelphia 76ers,37,23,.617,2.28,112.74,110.45,2.30,1.98,112.47,110.48,1.99
Minnesota Timberwolves,34,29,.540,1.27,113.38,112.11,1.27,1.58,113.60,112.02,1.58
Toronto Raptors,34,27,.557,1.30,112.98,111.68,1.29,1.45,112.81,111.36,1.45
Chicago Bulls,39,23,.629,1.90,114.59,112.75,1.84,1.31,114.42,113.17,1.25
Atlanta Hawks,29,32,.475,0.69,115.66,114.99,0.67,1.05,116.01,114.96,1.05
San Antonio Spurs,24,38,.387,-0.08,112.39,112.60,-0.21,0.09,112.76,112.79,-0.03
Los Angeles Clippers,33,31,.516,-0.53,108.82,109.48,-0.67,-0.45,108.78,109.36,-0.58
Charlotte Hornets,30,33,.476,-0.75,112.60,113.31,-0.71,-0.76,112.63,113.35,-0.71
Brooklyn Nets,32,31,.508,-0.90,112.62,113.55,-0.93,-0.96,112.81,113.79,-0.99
New York Knicks,25,36,.410,-1.97,109.70,111.73,-2.03,-1.93,109.65,111.63,-1.98
New Orleans Pelicans,25,36,.410,-2.39,110.81,113.28,-2.47,-1.94,111.22,113.23,-2.01
Indiana Pacers,21,42,.333,-2.51,112.14,114.63,-2.49,-2.15,112.44,114.57,-2.13
Los Angeles Lakers,27,34,.443,-1.98,109.47,111.43,-1.96,-2.35,109.17,111.51,-2.34
Washington Wizards,28,33,.459,-2.77,110.69,113.62,-2.93,-2.63,110.74,113.50,-2.77
Portland Trail Blazers,25,36,.410,-4.87,110.55,115.58,-5.04,-4.14,111.20,115.50,-4.30
Sacramento Kings,23,40,.365,-4.79,110.73,115.62,-4.89,-4.62,111.04,115.76,-4.72
Oklahoma City Thunder,19,42,.311,-6.92,103.68,110.69,-7.01,-6.69,103.55,110.33,-6.78
Orlando Magic,15,47,.242,-7.97,105.22,113.26,-8.03,-7.71,104.90,112.67,-7.77
Detroit Pistons,15,47,.242,-9.53,105.05,114.54,-9.48,-9.05,105.19,114.19,-9.00
Houston Rockets,15,46,.246,-9.54,108.00,117.55,-9.55,-9.22,108.54,117.77,-9.23
