Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,39,13,.750,8.19,112.60,104.24,8.36,8.06,112.38,104.15,8.23
Phoenix Suns,41,9,.820,7.94,114.38,106.46,7.92,7.83,114.35,106.54,7.81
Utah Jazz,31,21,.596,5.69,116.83,111.02,5.80,5.47,116.65,111.07,5.58
Cleveland Cavaliers,31,21,.596,4.31,111.81,107.40,4.41,4.27,111.60,107.23,4.36
Memphis Grizzlies,36,18,.667,3.80,113.17,109.39,3.78,4.08,113.44,109.38,4.06
Boston Celtics,28,25,.528,3.47,111.33,107.65,3.68,3.41,111.11,107.52,3.60
Miami Heat,32,20,.615,3.71,113.74,109.89,3.85,3.32,113.53,110.08,3.45
Dallas Mavericks,29,23,.558,2.50,111.13,108.39,2.74,2.35,111.08,108.52,2.56
Milwaukee Bucks,32,21,.604,3.13,113.05,109.97,3.08,2.37,112.74,110.41,2.33
Denver Nuggets,28,23,.549,1.69,112.84,111.06,1.78,1.81,112.72,110.83,1.89
Minnesota Timberwolves,26,25,.510,1.25,112.34,111.06,1.28,1.75,112.68,110.91,1.77
Philadelphia 76ers,31,20,.608,2.25,112.41,110.06,2.35,1.59,111.72,110.04,1.67
Toronto Raptors,26,23,.531,1.00,112.35,111.29,1.05,1.44,112.57,111.07,1.50
Chicago Bulls,32,18,.640,2.00,113.89,111.97,1.92,1.21,113.74,112.60,1.14
Brooklyn Nets,29,22,.569,1.33,113.39,112.06,1.33,0.93,113.56,112.63,0.92
Atlanta Hawks,24,26,.480,0.28,115.10,114.84,0.26,0.34,115.15,114.82,0.33
San Antonio Spurs,19,33,.365,-0.17,111.71,111.99,-0.29,0.06,112.24,112.29,-0.05
Charlotte Hornets,28,24,.538,-0.25,113.35,113.55,-0.20,-0.35,113.39,113.69,-0.30
Los Angeles Clippers,26,27,.491,-0.68,108.10,108.95,-0.85,-0.56,107.97,108.72,-0.74
New York Knicks,24,28,.462,-0.77,109.82,110.67,-0.85,-0.99,109.63,110.69,-1.06
Indiana Pacers,19,34,.358,-1.85,111.81,113.62,-1.82,-1.47,111.98,113.42,-1.43
Los Angeles Lakers,25,27,.481,-1.48,109.49,110.97,-1.47,-2.04,108.99,111.04,-2.05
Washington Wizards,24,27,.471,-2.59,110.47,113.22,-2.75,-2.34,110.48,112.97,-2.49
Portland Trail Blazers,21,31,.404,-4.00,111.23,115.43,-4.20,-3.27,111.74,115.20,-3.46
New Orleans Pelicans,19,32,.373,-4.10,109.30,113.51,-4.21,-3.62,109.87,113.60,-3.72
Sacramento Kings,19,34,.358,-5.15,110.12,115.39,-5.27,-4.97,110.38,115.47,-5.09
Oklahoma City Thunder,16,34,.320,-6.50,103.71,110.33,-6.62,-6.26,103.71,110.08,-6.37
Orlando Magic,12,41,.226,-7.74,104.96,112.82,-7.86,-7.69,104.65,112.45,-7.81
Houston Rockets,15,36,.294,-8.27,108.17,116.44,-8.26,-7.93,108.68,116.59,-7.91
Detroit Pistons,12,38,.240,-9.30,104.18,113.40,-9.22,-9.08,104.06,113.07,-9.01
