Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,24,5,.828,11.34,113.26,101.84,11.41,10.32,112.81,102.47,10.34
Utah Jazz,20,8,.714,11.04,119.45,108.10,11.35,9.90,118.74,108.56,10.18
Phoenix Suns,23,5,.821,6.50,111.40,104.87,6.53,6.38,111.33,104.92,6.41
Cleveland Cavaliers,18,12,.600,5.10,110.68,105.35,5.33,5.74,110.77,104.79,5.98
Miami Heat,18,12,.600,3.37,112.40,108.99,3.41,3.62,112.83,109.15,3.68
Brooklyn Nets,21,8,.724,3.76,111.72,107.84,3.88,2.72,111.58,108.75,2.83
Milwaukee Bucks,19,12,.613,3.77,112.20,108.32,3.87,2.72,111.62,108.79,2.83
Memphis Grizzlies,19,11,.633,2.63,112.76,110.16,2.60,2.66,112.70,110.07,2.63
Chicago Bulls,17,10,.630,2.56,110.87,108.46,2.41,2.32,110.71,108.52,2.19
Indiana Pacers,13,18,.419,1.52,111.41,109.77,1.64,1.59,110.80,109.08,1.73
Atlanta Hawks,14,15,.483,1.52,114.83,113.25,1.58,1.40,114.75,113.26,1.49
Boston Celtics,14,15,.483,0.97,109.89,108.88,1.01,1.25,110.15,108.84,1.31
Denver Nuggets,15,14,.517,0.28,111.18,110.87,0.31,1.01,111.20,110.13,1.07
Los Angeles Clippers,16,13,.552,1.17,107.70,106.85,0.85,1.24,107.61,106.70,0.91
Toronto Raptors,13,15,.464,0.54,111.31,110.72,0.59,0.65,111.51,110.80,0.71
Minnesota Timberwolves,14,15,.483,0.00,109.21,109.03,0.17,0.33,109.31,108.84,0.47
Dallas Mavericks,14,14,.500,-0.18,109.55,109.48,0.07,-0.22,109.53,109.55,-0.01
Philadelphia 76ers,15,15,.500,-1.07,110.24,111.27,-1.03,-0.61,109.77,110.36,-0.58
San Antonio Spurs,11,17,.393,-0.61,110.22,110.84,-0.62,-0.64,110.38,111.02,-0.64
Charlotte Hornets,16,15,.516,-1.03,114.84,115.91,-1.07,-0.74,115.08,115.85,-0.77
Portland Trail Blazers,12,18,.400,-2.80,111.27,114.16,-2.89,-1.27,112.39,113.77,-1.38
New York Knicks,13,16,.448,-1.34,110.71,112.12,-1.41,-1.49,110.83,112.37,-1.54
Los Angeles Lakers,16,14,.533,-0.70,107.51,108.12,-0.62,-2.06,107.34,109.35,-2.01
Washington Wizards,15,15,.500,-2.83,108.59,111.63,-3.04,-2.50,108.35,111.02,-2.66
Sacramento Kings,12,18,.400,-3.43,110.30,113.78,-3.47,-2.84,110.49,113.37,-2.89
New Orleans Pelicans,10,21,.323,-5.58,107.72,113.52,-5.80,-5.33,108.15,113.69,-5.54
Houston Rockets,9,20,.310,-6.97,106.18,113.15,-6.97,-7.49,106.39,113.91,-7.52
Detroit Pistons,4,23,.148,-9.74,102.40,112.30,-9.90,-9.50,102.93,112.58,-9.65
Orlando Magic,5,25,.167,-10.50,103.48,114.10,-10.62,-9.79,103.31,113.19,-9.89
Oklahoma City Thunder,8,19,.296,-9.37,101.59,111.27,-9.69,-9.61,101.50,111.42,-9.92
