Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,35,13,.729,8.23,111.80,103.40,8.41,8.17,111.69,103.35,8.34
Phoenix Suns,38,9,.809,7.91,113.61,105.73,7.87,7.75,113.61,105.89,7.72
Utah Jazz,30,19,.612,6.57,117.09,110.40,6.69,6.12,116.83,110.60,6.23
Cleveland Cavaliers,30,19,.612,4.94,111.97,106.90,5.07,5.34,111.94,106.47,5.47
Miami Heat,31,17,.646,4.67,114.25,109.41,4.84,4.15,113.91,109.59,4.33
Memphis Grizzlies,33,17,.660,3.32,112.76,109.50,3.26,3.53,113.06,109.59,3.47
Boston Celtics,25,24,.510,3.14,111.19,107.86,3.34,3.17,111.14,107.79,3.35
Milwaukee Bucks,30,20,.600,3.46,112.88,109.45,3.43,2.74,112.56,109.84,2.72
Dallas Mavericks,28,21,.571,2.27,110.59,108.08,2.52,2.28,110.53,108.03,2.50
Philadelphia 76ers,28,19,.596,2.02,112.53,110.40,2.13,1.41,111.83,110.32,1.51
Brooklyn Nets,29,19,.604,1.94,113.45,111.48,1.97,1.25,113.48,112.20,1.28
Toronto Raptors,23,23,.500,0.76,112.41,111.59,0.82,1.22,112.76,111.48,1.28
Denver Nuggets,26,21,.553,1.23,112.08,110.77,1.30,1.22,112.00,110.73,1.27
Chicago Bulls,30,17,.638,1.79,112.98,111.29,1.69,1.24,112.96,111.79,1.17
Minnesota Timberwolves,24,23,.511,1.02,111.36,110.31,1.05,1.04,111.36,110.30,1.05
Charlotte Hornets,27,22,.551,0.31,113.82,113.48,0.34,0.22,113.76,113.50,0.26
Atlanta Hawks,22,25,.468,-0.09,115.15,115.26,-0.11,-0.01,115.18,115.21,-0.03
San Antonio Spurs,18,31,.367,-0.18,111.06,111.36,-0.30,-0.36,111.36,111.84,-0.48
Indiana Pacers,17,32,.347,-1.61,111.78,113.35,-1.57,-0.82,111.91,112.68,-0.77
New York Knicks,23,26,.469,-0.67,109.76,110.52,-0.76,-0.95,109.62,110.64,-1.02
Los Angeles Clippers,25,25,.500,-0.96,107.81,108.94,-1.13,-0.97,107.73,108.88,-1.15
Los Angeles Lakers,24,24,.500,-1.10,109.67,110.76,-1.09,-1.79,109.33,111.13,-1.80
Washington Wizards,23,25,.479,-2.10,110.60,112.83,-2.24,-1.96,110.48,112.56,-2.08
Portland Trail Blazers,20,28,.417,-3.90,111.49,115.56,-4.06,-2.83,112.15,115.14,-2.98
New Orleans Pelicans,18,29,.383,-4.15,109.61,113.86,-4.26,-3.69,110.16,113.96,-3.80
Sacramento Kings,18,32,.360,-5.24,110.20,115.59,-5.39,-5.07,110.43,115.65,-5.22
Oklahoma City Thunder,14,33,.298,-7.34,103.22,110.73,-7.50,-7.05,103.31,110.51,-7.20
Houston Rockets,14,34,.292,-8.42,107.89,116.29,-8.40,-8.28,108.28,116.55,-8.27
Orlando Magic,9,40,.184,-8.53,104.13,112.80,-8.68,-8.24,103.86,112.23,-8.37
Detroit Pistons,11,36,.234,-9.55,103.69,113.17,-9.48,-9.10,103.60,112.63,-9.03
