Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,21,5,.808,12.08,113.47,101.36,12.12,10.95,112.96,102.01,10.95
Utah Jazz,19,7,.731,11.15,119.03,107.55,11.48,10.08,118.15,107.76,10.38
Phoenix Suns,21,4,.840,6.96,111.75,104.74,7.02,6.78,111.63,104.79,6.85
Cleveland Cavaliers,16,12,.571,3.82,109.82,105.85,3.98,4.69,109.98,105.13,4.86
Miami Heat,16,11,.593,3.59,112.26,108.62,3.64,3.95,112.53,108.53,4.01
Milwaukee Bucks,18,10,.643,4.29,112.19,107.83,4.37,3.35,111.81,108.35,3.46
Atlanta Hawks,13,13,.500,2.15,114.71,112.52,2.19,2.77,114.97,112.13,2.84
Brooklyn Nets,19,8,.704,3.63,111.22,107.46,3.76,2.65,111.19,108.42,2.77
Indiana Pacers,12,16,.429,1.96,111.39,109.24,2.15,2.08,110.58,108.31,2.27
Chicago Bulls,17,10,.630,2.56,110.87,108.46,2.41,2.38,110.80,108.55,2.25
Philadelphia 76ers,15,12,.556,0.63,111.22,110.51,0.71,0.96,110.74,109.69,1.05
Denver Nuggets,13,13,.500,0.04,110.63,110.52,0.11,0.80,110.68,109.78,0.90
Memphis Grizzlies,16,11,.593,0.56,111.91,111.39,0.52,0.69,112.05,111.39,0.66
Boston Celtics,13,14,.481,0.67,109.37,108.68,0.69,0.59,109.36,108.74,0.62
Los Angeles Clippers,15,12,.556,1.44,107.53,106.45,1.08,0.61,106.82,106.60,0.22
Charlotte Hornets,15,13,.536,-0.54,113.93,114.36,-0.43,0.08,114.31,114.11,0.19
Toronto Raptors,12,14,.462,-0.23,110.50,110.68,-0.18,-0.11,110.68,110.74,-0.06
San Antonio Spurs,10,16,.385,-0.12,109.19,109.29,-0.10,-0.48,109.35,109.82,-0.47
Minnesota Timberwolves,12,15,.444,-1.30,108.79,109.87,-1.08,-0.90,108.84,109.55,-0.71
Dallas Mavericks,13,13,.500,-1.00,108.65,109.57,-0.93,-1.09,108.80,109.85,-1.05
Portland Trail Blazers,11,16,.407,-2.93,111.31,114.34,-3.03,-1.52,112.56,114.20,-1.64
New York Knicks,12,15,.444,-1.59,110.23,111.93,-1.70,-1.62,110.33,112.01,-1.68
Los Angeles Lakers,15,13,.536,-0.21,108.47,108.62,-0.15,-1.75,108.25,109.98,-1.73
Washington Wizards,15,12,.556,-1.67,109.13,111.01,-1.88,-1.58,108.85,110.60,-1.75
Sacramento Kings,11,16,.407,-2.78,110.63,113.50,-2.86,-2.20,110.81,113.10,-2.29
New Orleans Pelicans,8,21,.276,-6.21,107.41,113.84,-6.43,-5.73,107.82,113.77,-5.95
Houston Rockets,8,18,.308,-6.15,105.41,111.45,-6.04,-7.11,105.41,112.44,-7.03
Detroit Pistons,4,22,.154,-9.77,101.97,111.90,-9.93,-9.30,102.45,111.92,-9.46
Orlando Magic,5,23,.179,-10.46,103.17,113.73,-10.55,-9.71,103.26,113.04,-9.77
Oklahoma City Thunder,8,18,.308,-9.62,101.14,111.08,-9.94,-9.48,101.31,111.10,-9.79
