Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,27,6,.818,10.39,113.61,103.13,10.48,9.81,113.34,103.48,9.85
Utah Jazz,23,9,.719,10.28,118.61,108.08,10.52,9.27,117.82,108.33,9.49
Cleveland Cavaliers,20,13,.606,6.58,111.51,104.79,6.72,7.18,111.63,104.27,7.35
Phoenix Suns,26,6,.813,7.31,111.96,104.73,7.23,7.15,111.86,104.82,7.04
Miami Heat,21,13,.618,3.91,112.38,108.37,4.01,3.36,112.63,109.15,3.48
Milwaukee Bucks,22,13,.629,3.40,112.10,108.63,3.47,2.62,111.75,109.03,2.72
Chicago Bulls,20,10,.667,3.23,112.26,109.11,3.15,2.63,112.06,109.48,2.57
Brooklyn Nets,22,9,.710,3.52,111.30,107.68,3.62,2.35,111.16,108.69,2.47
Memphis Grizzlies,20,14,.588,2.56,112.46,109.95,2.51,2.33,112.29,110.02,2.27
Boston Celtics,16,17,.485,1.09,110.23,109.10,1.14,1.71,110.60,108.82,1.78
San Antonio Spurs,14,18,.438,1.97,112.02,110.21,1.81,1.40,112.17,110.94,1.23
Indiana Pacers,14,20,.412,0.65,111.56,110.82,0.74,0.58,110.91,110.20,0.71
Atlanta Hawks,15,17,.469,0.81,113.78,112.95,0.83,0.55,113.72,113.15,0.57
Toronto Raptors,14,16,.467,-0.37,111.10,111.29,-0.19,0.34,111.67,111.14,0.53
Dallas Mavericks,15,17,.469,-0.31,109.79,109.88,-0.09,0.15,109.90,109.56,0.34
Denver Nuggets,16,16,.500,-0.34,110.19,110.50,-0.31,0.27,110.10,109.83,0.28
Los Angeles Clippers,17,16,.515,0.67,107.14,106.74,0.40,0.47,106.90,106.72,0.18
Philadelphia 76ers,17,16,.515,-0.24,110.64,110.82,-0.18,0.00,110.16,110.08,0.08
Minnesota Timberwolves,15,17,.469,-0.56,109.70,110.10,-0.41,-0.10,109.89,109.85,0.04
New York Knicks,15,18,.455,-0.76,111.02,111.82,-0.80,-1.11,110.86,111.98,-1.13
Charlotte Hornets,17,17,.500,-1.91,113.79,115.68,-1.89,-1.15,114.14,115.27,-1.13
Portland Trail Blazers,13,19,.406,-2.91,111.12,114.15,-3.03,-1.69,112.00,113.84,-1.85
Washington Wizards,17,16,.515,-2.82,109.17,112.19,-3.03,-2.23,109.05,111.44,-2.39
Los Angeles Lakers,16,18,.471,-2.32,107.06,109.26,-2.20,-2.90,107.12,109.93,-2.81
Sacramento Kings,13,21,.382,-4.47,109.71,114.24,-4.53,-3.54,110.22,113.84,-3.62
New Orleans Pelicans,12,22,.353,-4.65,108.54,113.33,-4.78,-4.97,108.68,113.80,-5.12
Houston Rockets,10,23,.303,-7.27,107.29,114.64,-7.35,-7.63,107.65,115.38,-7.73
Oklahoma City Thunder,12,20,.375,-7.56,102.55,110.37,-7.82,-7.75,102.43,110.45,-8.02
Orlando Magic,7,27,.206,-9.35,103.61,113.11,-9.50,-8.71,103.36,112.19,-8.84
Detroit Pistons,5,27,.156,-9.81,102.45,112.26,-9.80,-9.67,102.61,112.27,-9.66
