Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,40,13,.755,8.26,112.96,104.51,8.44,8.04,112.65,104.44,8.21
Phoenix Suns,42,10,.808,7.75,114.18,106.43,7.75,7.59,114.05,106.45,7.60
Utah Jazz,32,21,.604,6.02,117.09,110.94,6.14,5.82,116.87,110.93,5.94
Cleveland Cavaliers,32,21,.604,4.25,111.76,107.41,4.35,4.21,111.54,107.23,4.31
Memphis Grizzlies,37,18,.673,4.09,113.49,109.43,4.06,4.23,113.73,109.53,4.20
Miami Heat,34,20,.630,4.22,113.65,109.28,4.37,3.85,113.36,109.37,3.99
Boston Celtics,29,25,.537,3.57,111.22,107.44,3.78,3.35,111.00,107.46,3.54
Milwaukee Bucks,33,21,.611,3.61,113.52,109.95,3.56,2.80,113.17,110.40,2.77
Dallas Mavericks,30,23,.566,2.62,111.32,108.44,2.88,2.50,111.28,108.55,2.73
Toronto Raptors,28,23,.549,1.31,112.85,111.48,1.36,1.80,113.01,111.16,1.85
Minnesota Timberwolves,27,25,.519,1.44,112.59,111.13,1.47,1.76,112.88,111.10,1.78
Denver Nuggets,28,24,.538,1.50,112.88,111.30,1.58,1.59,112.73,111.07,1.66
Philadelphia 76ers,31,21,.596,2.04,112.38,110.27,2.11,1.44,111.76,110.26,1.50
Chicago Bulls,33,19,.635,1.92,114.07,112.22,1.85,1.15,113.88,112.78,1.09
Brooklyn Nets,29,23,.558,0.87,113.26,112.41,0.85,0.59,113.42,112.85,0.57
Atlanta Hawks,25,27,.481,0.23,115.37,115.16,0.20,0.47,115.55,115.10,0.45
San Antonio Spurs,20,34,.370,-0.02,111.84,111.97,-0.13,0.10,112.26,112.26,0.00
Charlotte Hornets,28,26,.519,-0.59,112.79,113.34,-0.55,-0.55,112.90,113.41,-0.51
Los Angeles Clippers,27,27,.500,-0.65,108.28,109.10,-0.82,-0.59,108.16,108.92,-0.76
New York Knicks,24,29,.453,-0.89,109.71,110.66,-0.96,-1.10,109.51,110.67,-1.16
Indiana Pacers,19,35,.352,-1.94,111.92,113.84,-1.92,-1.51,112.13,113.61,-1.48
Los Angeles Lakers,26,28,.481,-1.31,109.64,110.96,-1.32,-1.91,109.20,111.14,-1.94
Washington Wizards,24,28,.462,-2.83,110.02,113.03,-3.01,-2.40,110.15,112.72,-2.57
New Orleans Pelicans,20,32,.385,-3.87,109.56,113.52,-3.96,-3.36,110.13,113.57,-3.45
Portland Trail Blazers,21,33,.389,-4.44,110.94,115.59,-4.64,-3.79,111.48,115.47,-3.98
Sacramento Kings,20,35,.364,-5.00,110.34,115.46,-5.13,-4.78,110.74,115.65,-4.90
Oklahoma City Thunder,17,35,.327,-6.38,103.66,110.15,-6.49,-6.31,103.49,109.90,-6.42
Orlando Magic,12,42,.222,-7.96,105.08,113.16,-8.07,-7.81,104.84,112.76,-7.92
Houston Rockets,15,37,.288,-8.60,108.16,116.75,-8.59,-8.26,108.65,116.90,-8.24
Detroit Pistons,12,40,.231,-9.33,104.23,113.49,-9.26,-9.00,104.20,113.13,-8.93
