Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Utah Jazz,28,10,.737,9.79,118.46,108.43,10.02,9.05,117.81,108.54,9.27
Golden State Warriors,29,9,.763,8.74,112.11,103.33,8.78,8.54,111.90,103.33,8.56
Phoenix Suns,30,8,.789,7.89,112.93,105.14,7.80,7.38,112.82,105.56,7.26
Cleveland Cavaliers,21,17,.553,5.08,111.77,106.61,5.17,5.61,111.62,105.92,5.70
Memphis Grizzlies,26,14,.650,3.85,113.09,109.26,3.82,3.77,113.13,109.39,3.74
Miami Heat,24,15,.615,3.77,113.38,109.48,3.89,3.13,113.43,110.18,3.26
Chicago Bulls,25,10,.714,3.71,113.19,109.54,3.65,2.83,112.66,109.86,2.79
Milwaukee Bucks,25,15,.625,4.05,113.28,109.20,4.07,2.48,112.75,110.24,2.52
Brooklyn Nets,24,12,.667,2.97,112.05,109.01,3.04,2.09,112.13,109.96,2.17
Dallas Mavericks,20,18,.526,1.58,110.32,108.45,1.87,1.77,110.35,108.32,2.03
Toronto Raptors,18,17,.514,1.09,112.41,111.19,1.22,1.64,113.02,111.25,1.77
Boston Celtics,18,21,.462,0.95,110.13,109.18,0.95,1.39,110.42,109.03,1.39
Philadelphia 76ers,21,16,.568,0.95,111.73,110.72,1.01,0.69,111.06,110.30,0.76
Denver Nuggets,18,18,.500,-0.42,109.96,110.37,-0.41,0.40,109.99,109.58,0.41
San Antonio Spurs,15,22,.405,0.54,110.96,110.52,0.44,0.34,111.27,111.03,0.24
Minnesota Timberwolves,18,20,.474,-0.32,109.22,109.42,-0.20,0.12,109.51,109.28,0.23
Atlanta Hawks,17,20,.459,0.11,114.96,114.84,0.12,0.04,114.99,114.94,0.06
Indiana Pacers,14,25,.359,-0.26,111.44,111.65,-0.21,-0.02,110.94,110.88,0.06
Los Angeles Clippers,19,20,.487,-0.62,107.03,107.87,-0.84,-0.43,107.16,107.82,-0.66
Charlotte Hornets,20,19,.513,-1.05,114.12,115.13,-1.01,-0.88,114.15,114.99,-0.85
New York Knicks,19,20,.487,-0.64,110.25,110.89,-0.64,-1.35,109.96,111.31,-1.34
Los Angeles Lakers,20,19,.513,-0.74,109.03,109.65,-0.62,-1.63,108.89,110.43,-1.54
Washington Wizards,19,19,.500,-2.21,110.02,112.39,-2.37,-1.59,109.82,111.54,-1.72
Portland Trail Blazers,14,23,.378,-4.24,112.22,116.63,-4.40,-2.86,113.07,116.09,-3.02
Sacramento Kings,16,24,.400,-4.33,109.89,114.31,-4.41,-3.53,110.45,114.06,-3.61
New Orleans Pelicans,14,25,.359,-5.03,108.65,113.77,-5.12,-4.39,109.47,113.95,-4.49
Oklahoma City Thunder,13,24,.351,-7.24,102.06,109.53,-7.47,-7.20,102.05,109.47,-7.42
Houston Rockets,11,28,.282,-8.03,107.77,115.86,-8.09,-8.23,108.16,116.47,-8.31
Orlando Magic,7,32,.179,-9.54,104.11,113.77,-9.66,-8.87,103.85,112.82,-8.97
Detroit Pistons,7,30,.189,-10.05,102.28,112.30,-10.02,-9.90,102.02,111.88,-9.87
