Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,12,2,.857,13.57,113.62,100.07,13.55,11.47,112.54,101.17,11.38
Utah Jazz,9,5,.643,8.64,114.17,105.31,8.86,8.66,113.52,104.63,8.89
Miami Heat,9,5,.643,7.07,112.26,105.25,7.01,7.66,113.09,105.44,7.66
Chicago Bulls,10,4,.714,5.86,110.76,104.93,5.83,5.67,110.64,105.01,5.63
Los Angeles Clippers,9,5,.643,5.86,107.30,101.96,5.34,6.11,106.73,101.22,5.50
Denver Nuggets,9,5,.643,4.64,108.84,103.88,4.97,4.58,108.11,103.19,4.91
Washington Wizards,10,3,.769,4.92,109.45,104.54,4.91,4.04,108.10,104.04,4.07
Phoenix Suns,10,3,.769,5.54,109.65,104.28,5.37,3.13,107.53,104.59,2.94
Brooklyn Nets,10,5,.667,3.47,109.22,105.56,3.66,2.40,108.49,105.94,2.55
Cleveland Cavaliers,9,6,.600,1.67,107.32,105.49,1.83,2.09,107.30,105.05,2.25
Indiana Pacers,6,9,.400,0.07,109.49,109.47,0.03,1.93,109.24,107.27,1.97
Boston Celtics,7,7,.500,1.07,106.82,105.60,1.23,1.39,107.12,105.49,1.63
Toronto Raptors,7,8,.467,0.73,111.51,110.76,0.76,1.07,112.20,111.06,1.14
Portland Trail Blazers,7,8,.467,-0.07,112.17,112.39,-0.22,1.19,113.45,112.51,0.94
Sacramento Kings,6,8,.429,0.93,111.14,110.22,0.91,0.90,111.31,110.46,0.85
Philadelphia 76ers,8,7,.533,1.53,114.06,112.45,1.61,0.69,113.17,112.42,0.74
Charlotte Hornets,8,7,.533,-1.80,110.04,111.66,-1.62,0.35,111.44,110.94,0.50
New York Knicks,8,6,.571,1.00,111.32,110.26,1.06,-0.14,110.11,110.14,-0.03
Atlanta Hawks,6,9,.400,-1.27,111.56,112.95,-1.40,-0.07,112.93,113.08,-0.15
Dallas Mavericks,9,4,.692,-0.69,108.50,109.05,-0.54,-0.89,108.62,109.26,-0.65
Milwaukee Bucks,6,8,.429,-1.93,109.03,110.92,-1.89,-1.57,109.10,110.59,-1.48
Memphis Grizzlies,7,7,.500,-3.64,109.75,113.53,-3.78,-2.45,111.33,113.94,-2.61
San Antonio Spurs,4,10,.286,-0.93,106.47,107.29,-0.82,-2.85,106.18,108.89,-2.71
Los Angeles Lakers,8,7,.533,-2.67,106.00,108.60,-2.60,-3.85,106.09,109.89,-3.80
Minnesota Timberwolves,4,9,.308,-4.31,104.16,108.48,-4.32,-4.98,105.08,110.24,-5.16
Oklahoma City Thunder,5,8,.385,-8.54,100.21,108.87,-8.65,-7.07,101.29,108.49,-7.20
New Orleans Pelicans,2,13,.133,-9.27,105.36,114.82,-9.45,-8.69,105.24,114.16,-8.92
Orlando Magic,3,11,.214,-10.21,101.98,112.34,-10.36,-9.95,101.89,111.92,-10.02
Houston Rockets,1,13,.071,-11.00,99.82,110.64,-10.82,-11.02,100.52,111.38,-10.86
Detroit Pistons,3,10,.231,-10.69,101.25,112.17,-10.92,-10.77,100.51,111.47,-10.96
