Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,21,4,.840,12.92,114.00,101.01,12.99,11.79,113.52,101.70,11.82
Utah Jazz,18,7,.720,10.60,118.63,107.74,10.89,9.45,117.65,107.94,9.72
Phoenix Suns,21,4,.840,6.96,111.75,104.74,7.02,6.79,111.61,104.75,6.86
Cleveland Cavaliers,15,12,.556,3.44,109.80,106.17,3.64,4.41,110.11,105.50,4.62
Chicago Bulls,17,9,.654,3.65,111.32,107.74,3.58,3.22,111.15,107.98,3.17
Milwaukee Bucks,17,10,.630,3.89,111.97,108.03,3.94,2.81,111.60,108.71,2.89
Miami Heat,15,11,.577,2.73,111.68,108.99,2.70,2.90,111.90,109.02,2.88
Brooklyn Nets,18,8,.692,3.31,111.28,107.81,3.47,2.64,111.32,108.51,2.81
Atlanta Hawks,13,13,.500,2.15,114.71,112.52,2.19,2.68,114.93,112.17,2.76
Indiana Pacers,12,16,.429,1.96,111.39,109.24,2.15,1.99,110.52,108.33,2.19
Boston Celtics,13,14,.481,0.67,109.37,108.68,0.69,0.55,109.37,108.78,0.59
Los Angeles Clippers,14,12,.538,1.42,107.06,106.03,1.04,1.01,106.38,105.80,0.58
Memphis Grizzlies,15,11,.577,0.31,111.58,111.32,0.26,0.63,111.78,111.22,0.57
Philadelphia 76ers,14,12,.538,0.31,111.27,110.90,0.37,0.29,110.48,110.12,0.36
Denver Nuggets,12,13,.480,-0.56,109.96,110.45,-0.49,0.14,109.97,109.73,0.23
Charlotte Hornets,15,13,.536,-0.54,113.93,114.36,-0.43,0.09,114.32,114.12,0.20
Toronto Raptors,12,14,.462,-0.23,110.50,110.68,-0.18,-0.06,110.69,110.70,-0.01
San Antonio Spurs,9,15,.375,-0.13,108.88,108.99,-0.11,-0.39,109.16,109.55,-0.38
Minnesota Timberwolves,11,15,.423,-1.54,108.55,109.86,-1.31,-1.09,108.84,109.74,-0.90
New York Knicks,12,14,.462,-1.08,110.53,111.68,-1.16,-1.29,110.60,111.91,-1.31
Washington Wizards,15,11,.577,-0.77,109.37,110.31,-0.95,-1.19,108.90,110.24,-1.34
Portland Trail Blazers,11,15,.423,-2.85,111.35,114.31,-2.96,-1.31,112.77,114.22,-1.45
Dallas Mavericks,12,13,.480,-1.80,108.59,110.37,-1.77,-1.49,108.91,110.41,-1.50
Los Angeles Lakers,14,13,.519,-0.67,108.45,109.06,-0.62,-1.81,108.38,110.19,-1.80
Sacramento Kings,11,15,.423,-2.35,111.15,113.62,-2.47,-1.95,111.16,113.24,-2.08
New Orleans Pelicans,8,20,.286,-5.89,107.74,113.86,-6.12,-5.42,108.15,113.81,-5.65
Houston Rockets,8,17,.320,-6.12,105.10,111.09,-5.98,-7.09,105.13,112.11,-6.98
Oklahoma City Thunder,8,17,.320,-9.24,101.59,111.12,-9.53,-9.08,101.81,111.16,-9.36
Detroit Pistons,4,21,.160,-9.68,102.12,111.99,-9.87,-9.29,102.56,112.05,-9.48
Orlando Magic,5,21,.192,-10.73,102.87,113.68,-10.81,-9.91,102.83,112.78,-9.94
