Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Utah Jazz,25,9,.735,10.29,118.41,107.88,10.53,9.32,117.47,107.93,9.53
Golden State Warriors,27,7,.794,10.00,113.03,102.96,10.07,9.43,112.76,103.29,9.47
Phoenix Suns,27,7,.794,7.38,112.32,105.00,7.32,7.00,112.26,105.35,6.91
Cleveland Cavaliers,20,14,.588,6.26,111.58,105.18,6.40,6.72,111.58,104.72,6.86
Miami Heat,22,13,.629,4.00,112.82,108.71,4.11,3.46,113.07,109.49,3.58
Chicago Bulls,22,10,.688,3.84,113.50,109.73,3.77,3.30,113.20,109.94,3.26
Brooklyn Nets,23,9,.719,3.91,111.71,107.70,4.01,2.75,111.61,108.75,2.86
Milwaukee Bucks,23,13,.639,3.78,112.58,108.73,3.86,2.73,112.28,109.46,2.83
Memphis Grizzlies,22,14,.611,2.58,112.50,109.96,2.55,2.43,112.41,110.03,2.38
San Antonio Spurs,14,19,.424,1.73,111.66,110.08,1.58,1.49,111.92,110.57,1.35
Boston Celtics,16,19,.457,0.63,109.53,108.89,0.64,1.17,109.86,108.66,1.20
Denver Nuggets,17,16,.515,-0.24,109.80,110.00,-0.20,0.64,109.85,109.19,0.67
Dallas Mavericks,16,18,.471,0.12,110.39,110.06,0.32,0.44,110.31,109.69,0.62
Indiana Pacers,14,21,.400,0.40,111.35,110.85,0.50,0.42,110.65,110.10,0.55
Toronto Raptors,14,17,.452,-0.52,111.29,111.65,-0.36,0.12,111.91,111.61,0.29
Philadelphia 76ers,18,16,.529,-0.09,110.98,111.00,-0.02,0.16,110.56,110.31,0.25
Los Angeles Clippers,18,17,.514,0.43,107.03,106.83,0.21,0.35,106.94,106.83,0.11
Atlanta Hawks,15,19,.441,0.00,114.09,114.08,0.01,0.01,114.19,114.17,0.02
Minnesota Timberwolves,16,18,.471,-0.62,109.23,109.72,-0.49,-0.13,109.44,109.44,0.00
Charlotte Hornets,19,17,.528,-0.92,113.97,114.88,-0.91,-0.48,114.07,114.54,-0.47
New York Knicks,17,18,.486,-0.23,110.45,110.68,-0.24,-0.86,110.15,111.00,-0.85
Portland Trail Blazers,13,21,.382,-3.62,111.25,115.01,-3.76,-2.16,112.27,114.58,-2.31
Washington Wizards,17,17,.500,-2.94,109.49,112.65,-3.16,-2.27,109.46,111.89,-2.44
Los Angeles Lakers,17,19,.472,-2.08,107.63,109.61,-1.97,-2.81,107.59,110.32,-2.74
Sacramento Kings,15,21,.417,-4.03,109.76,113.84,-4.08,-3.36,110.29,113.72,-3.44
New Orleans Pelicans,13,22,.371,-4.40,108.82,113.34,-4.52,-4.51,109.14,113.79,-4.64
Oklahoma City Thunder,12,22,.353,-7.82,102.64,110.72,-8.08,-7.92,102.53,110.73,-8.20
Houston Rockets,10,25,.286,-7.80,107.45,115.32,-7.87,-8.22,107.72,116.02,-8.30
Orlando Magic,7,28,.200,-9.57,103.85,113.58,-9.73,-8.81,103.70,112.64,-8.94
Detroit Pistons,5,28,.152,-9.79,102.06,111.85,-9.79,-9.66,102.03,111.70,-9.66
