Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,18,3,.857,12.62,113.97,101.22,12.75,11.45,113.26,101.75,11.51
Utah Jazz,14,7,.667,9.67,116.84,106.86,9.98,7.98,115.29,107.05,8.24
Phoenix Suns,19,3,.864,7.77,112.58,104.77,7.81,7.01,111.90,104.84,7.07
Miami Heat,13,9,.591,4.09,112.08,108.04,4.04,3.96,112.40,108.49,3.92
Chicago Bulls,15,8,.652,4.43,111.96,107.57,4.38,3.86,111.67,107.86,3.81
Brooklyn Nets,15,6,.714,4.00,111.48,107.27,4.20,3.49,111.82,108.13,3.70
Cleveland Cavaliers,12,10,.545,2.14,108.40,106.08,2.32,3.12,108.61,105.29,3.32
Atlanta Hawks,12,10,.545,2.64,114.25,111.59,2.66,3.15,114.74,111.53,3.22
Milwaukee Bucks,14,9,.609,3.26,111.01,107.71,3.30,2.09,110.87,108.72,2.16
Indiana Pacers,9,15,.375,1.04,109.32,108.18,1.14,1.32,108.40,106.96,1.44
Boston Celtics,12,10,.545,1.64,107.67,105.99,1.68,0.85,107.35,106.43,0.93
Philadelphia 76ers,11,11,.500,0.95,111.19,110.12,1.08,0.65,110.85,110.09,0.76
Denver Nuggets,10,11,.476,-0.48,109.23,109.66,-0.43,0.67,109.07,108.32,0.74
Minnesota Timberwolves,11,11,.500,1.14,108.97,107.60,1.36,0.58,108.90,108.20,0.71
Los Angeles Clippers,11,11,.500,1.05,106.59,106.02,0.57,1.03,105.73,105.21,0.52
Charlotte Hornets,13,11,.542,-0.50,112.50,112.88,-0.38,0.24,113.45,113.08,0.37
Washington Wizards,14,8,.636,0.45,108.99,108.62,0.37,0.18,108.25,108.14,0.11
Toronto Raptors,10,13,.435,-0.87,110.69,111.57,-0.88,-0.11,111.23,111.32,-0.09
Portland Trail Blazers,11,12,.478,-1.04,112.60,113.74,-1.13,-0.14,113.52,113.79,-0.26
Dallas Mavericks,11,9,.550,-0.70,110.21,110.75,-0.54,-0.41,110.96,111.27,-0.31
New York Knicks,11,11,.500,-0.14,110.26,110.39,-0.12,-0.47,110.40,110.82,-0.41
Memphis Grizzlies,12,10,.545,-0.86,112.83,113.78,-0.95,-0.35,113.18,113.65,-0.47
San Antonio Spurs,7,13,.350,-0.20,107.59,107.76,-0.16,-1.15,107.45,108.57,-1.12
Los Angeles Lakers,12,11,.522,-1.61,107.32,108.89,-1.57,-2.84,107.24,110.05,-2.82
Sacramento Kings,9,14,.391,-3.35,109.61,113.09,-3.48,-2.70,109.47,112.31,-2.84
New Orleans Pelicans,6,18,.250,-7.54,106.88,114.68,-7.80,-5.96,107.58,113.80,-6.22
Houston Rockets,5,16,.238,-7.90,102.00,109.82,-7.82,-8.61,102.12,110.66,-8.54
Detroit Pistons,4,18,.182,-9.64,101.69,111.52,-9.83,-8.51,102.29,110.97,-8.68
Orlando Magic,5,18,.217,-10.17,101.58,111.88,-10.30,-9.12,101.66,110.84,-9.17
Oklahoma City Thunder,6,16,.273,-10.09,100.49,110.88,-10.39,-9.91,100.96,111.15,-10.19
