Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Phoenix Suns,46,10,.821,8.25,114.90,106.68,8.22,8.02,114.77,106.78,7.99
Golden State Warriors,42,15,.737,7.44,112.78,105.20,7.57,7.19,112.53,105.21,7.32
Utah Jazz,35,21,.625,6.59,117.04,110.29,6.75,6.37,116.90,110.38,6.53
Memphis Grizzlies,40,18,.690,4.88,114.12,109.30,4.82,4.81,114.27,109.52,4.75
Boston Celtics,33,25,.569,4.78,111.48,106.49,4.99,4.42,111.11,106.49,4.62
Miami Heat,37,20,.649,4.70,114.00,109.12,4.88,4.22,113.60,109.22,4.38
Cleveland Cavaliers,35,22,.614,4.35,111.62,107.16,4.46,4.27,111.30,106.93,4.37
Dallas Mavericks,33,24,.579,3.21,111.46,107.98,3.49,2.92,111.37,108.21,3.17
Milwaukee Bucks,35,22,.614,3.68,114.07,110.44,3.63,2.97,113.89,110.97,2.92
Toronto Raptors,31,24,.564,2.16,113.57,111.35,2.22,2.36,113.62,111.21,2.41
Denver Nuggets,31,25,.554,1.96,113.33,111.28,2.05,2.13,113.25,111.04,2.21
Philadelphia 76ers,34,22,.607,2.41,112.38,109.86,2.51,1.93,111.96,109.93,2.03
Minnesota Timberwolves,30,27,.526,1.61,113.48,111.84,1.64,1.53,113.48,111.93,1.55
Chicago Bulls,36,21,.632,2.02,114.69,112.74,1.95,1.30,114.60,113.37,1.24
Atlanta Hawks,26,30,.464,-0.02,115.12,115.16,-0.04,0.35,115.39,115.05,0.34
San Antonio Spurs,22,35,.386,0.19,112.13,112.07,0.07,0.34,112.49,112.27,0.22
Brooklyn Nets,29,27,.518,-0.27,112.89,113.20,-0.30,-0.41,113.11,113.55,-0.44
Charlotte Hornets,29,29,.500,-0.76,112.79,113.54,-0.75,-0.75,112.87,113.61,-0.74
Los Angeles Clippers,28,30,.483,-1.55,108.32,110.01,-1.69,-1.22,108.39,109.75,-1.36
New York Knicks,25,32,.439,-1.40,109.83,111.31,-1.48,-1.37,109.72,111.16,-1.44
Los Angeles Lakers,26,31,.456,-1.58,109.83,111.42,-1.58,-2.05,109.45,111.52,-2.07
Indiana Pacers,19,39,.328,-2.67,111.81,114.49,-2.68,-2.10,112.04,114.13,-2.09
Washington Wizards,25,30,.455,-3.27,110.26,113.73,-3.47,-2.77,110.42,113.38,-2.96
New Orleans Pelicans,22,34,.393,-3.57,109.87,113.54,-3.68,-3.34,110.19,113.62,-3.43
Portland Trail Blazers,23,34,.404,-4.33,110.82,115.35,-4.53,-3.85,111.31,115.35,-4.04
Sacramento Kings,22,36,.379,-4.64,110.91,115.65,-4.74,-4.45,111.27,115.81,-4.55
Oklahoma City Thunder,17,39,.304,-6.80,103.29,110.22,-6.94,-6.51,103.22,109.85,-6.63
Orlando Magic,13,45,.224,-8.40,104.74,113.20,-8.47,-8.03,104.57,112.66,-8.10
Houston Rockets,15,40,.273,-8.95,108.21,117.15,-8.95,-8.68,108.63,117.30,-8.68
Detroit Pistons,12,44,.214,-10.27,104.17,114.36,-10.20,-9.81,104.16,113.90,-9.73
