Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,21,5,.808,12.08,113.47,101.36,12.12,10.95,112.95,102.01,10.95
Utah Jazz,19,7,.731,11.15,119.03,107.55,11.48,10.08,118.17,107.78,10.39
Phoenix Suns,21,4,.840,6.96,111.75,104.74,7.02,6.69,111.59,104.83,6.76
Cleveland Cavaliers,16,12,.571,3.82,109.82,105.85,3.98,4.63,109.97,105.17,4.80
Miami Heat,16,11,.593,3.59,112.26,108.62,3.64,3.87,112.49,108.57,3.92
Milwaukee Bucks,17,10,.630,3.89,111.97,108.03,3.94,2.95,111.63,108.60,3.03
Atlanta Hawks,13,13,.500,2.15,114.71,112.52,2.19,2.72,114.95,112.15,2.80
Brooklyn Nets,18,8,.692,3.31,111.28,107.81,3.47,2.62,111.33,108.54,2.78
Chicago Bulls,17,10,.630,2.56,110.87,108.46,2.41,2.39,110.80,108.55,2.26
Indiana Pacers,12,16,.429,1.96,111.39,109.24,2.15,2.03,110.56,108.34,2.22
Philadelphia 76ers,15,12,.556,0.63,111.22,110.51,0.71,0.98,110.76,109.69,1.07
Denver Nuggets,13,13,.500,0.04,110.63,110.52,0.11,0.69,110.62,109.84,0.79
Memphis Grizzlies,16,11,.593,0.56,111.91,111.39,0.52,0.62,112.03,111.44,0.59
Boston Celtics,13,14,.481,0.67,109.37,108.68,0.69,0.54,109.34,108.77,0.57
Los Angeles Clippers,15,12,.556,1.44,107.53,106.45,1.08,0.56,106.78,106.61,0.16
Charlotte Hornets,15,13,.536,-0.54,113.93,114.36,-0.43,0.05,114.32,114.16,0.16
Toronto Raptors,12,14,.462,-0.23,110.50,110.68,-0.18,-0.12,110.68,110.76,-0.07
Minnesota Timberwolves,11,15,.423,-1.54,108.55,109.86,-1.31,-1.10,108.76,109.66,-0.91
San Antonio Spurs,9,16,.360,-0.72,109.02,109.73,-0.71,-0.98,109.27,110.24,-0.97
New York Knicks,12,14,.462,-1.08,110.53,111.68,-1.16,-1.29,110.55,111.88,-1.33
Portland Trail Blazers,11,15,.423,-2.85,111.35,114.31,-2.96,-1.41,112.65,114.20,-1.55
Dallas Mavericks,12,13,.480,-1.80,108.59,110.37,-1.77,-1.58,108.77,110.35,-1.59
Washington Wizards,15,12,.556,-1.67,109.13,111.01,-1.88,-1.63,108.82,110.63,-1.81
Los Angeles Lakers,14,13,.519,-0.67,108.45,109.06,-0.62,-1.93,108.33,110.25,-1.92
Sacramento Kings,11,16,.407,-2.78,110.63,113.50,-2.86,-2.24,110.78,113.10,-2.33
New Orleans Pelicans,8,20,.286,-5.89,107.74,113.86,-6.12,-5.46,108.14,113.82,-5.68
Houston Rockets,8,18,.308,-6.15,105.41,111.45,-6.04,-7.10,105.38,112.40,-7.02
Oklahoma City Thunder,8,17,.320,-9.24,101.59,111.12,-9.53,-9.12,101.76,111.15,-9.39
Detroit Pistons,4,21,.160,-9.68,102.12,111.99,-9.87,-9.33,102.56,112.09,-9.53
Orlando Magic,5,22,.185,-10.41,103.41,113.90,-10.49,-9.62,103.51,113.18,-9.67
