Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,19,4,.826,12.26,114.09,101.70,12.39,11.34,113.77,102.35,11.41
Utah Jazz,15,7,.682,9.55,117.79,107.94,9.85,8.03,116.60,108.31,8.29
Phoenix Suns,19,4,.826,6.48,111.92,105.42,6.50,6.12,111.66,105.50,6.16
Chicago Bulls,16,8,.667,4.42,111.93,107.56,4.37,3.87,111.54,107.71,3.83
Cleveland Cavaliers,13,10,.565,2.70,108.98,106.08,2.90,3.44,109.03,105.37,3.66
Brooklyn Nets,16,7,.696,3.70,111.26,107.38,3.88,3.44,111.71,108.09,3.63
Miami Heat,14,10,.583,3.21,112.33,109.15,3.18,3.29,112.70,109.42,3.28
Milwaukee Bucks,15,9,.625,4.04,111.69,107.58,4.10,3.05,111.42,108.29,3.14
Atlanta Hawks,12,11,.522,2.43,113.86,111.41,2.45,2.98,114.29,111.25,3.03
Boston Celtics,13,11,.542,2.38,110.31,107.87,2.44,1.89,109.92,107.93,1.99
Indiana Pacers,9,16,.360,0.64,109.57,108.87,0.69,1.05,108.76,107.64,1.12
Denver Nuggets,11,11,.500,0.18,110.05,109.75,0.30,0.96,109.80,108.69,1.11
Philadelphia 76ers,12,11,.522,1.00,111.03,109.90,1.12,0.80,110.54,109.62,0.92
Minnesota Timberwolves,11,12,.478,0.87,108.82,107.74,1.08,0.49,108.85,108.23,0.63
Charlotte Hornets,13,11,.542,-0.50,112.50,112.88,-0.38,0.17,113.25,112.96,0.29
Los Angeles Clippers,12,12,.500,0.92,107.04,106.55,0.50,0.49,106.25,106.21,0.04
Toronto Raptors,10,13,.435,-0.87,110.69,111.57,-0.88,-0.09,111.08,111.16,-0.08
Memphis Grizzlies,13,10,.565,-0.52,112.29,112.89,-0.60,-0.23,112.45,112.77,-0.32
Washington Wizards,14,9,.609,-0.22,108.86,109.19,-0.33,-0.25,108.47,108.80,-0.33
San Antonio Spurs,8,13,.381,0.05,108.00,107.91,0.09,-0.49,108.18,108.63,-0.45
New York Knicks,11,12,.478,-0.74,110.32,111.12,-0.80,-0.91,110.55,111.48,-0.93
Portland Trail Blazers,11,13,.458,-2.17,112.88,115.16,-2.28,-1.29,113.79,115.20,-1.42
Dallas Mavericks,11,11,.500,-1.68,108.66,110.23,-1.57,-1.63,108.96,110.52,-1.56
Sacramento Kings,10,14,.417,-3.00,109.27,112.40,-3.13,-2.53,109.13,111.82,-2.69
Los Angeles Lakers,12,12,.500,-1.71,107.99,109.67,-1.68,-2.85,108.05,110.91,-2.86
New Orleans Pelicans,7,18,.280,-6.60,106.98,113.81,-6.83,-5.40,107.62,113.26,-5.64
Houston Rockets,6,16,.273,-7.45,102.75,110.12,-7.37,-8.63,102.64,111.21,-8.57
Detroit Pistons,4,18,.182,-9.64,101.69,111.52,-9.83,-8.56,102.27,111.00,-8.73
Orlando Magic,5,19,.208,-9.83,102.20,112.15,-9.95,-9.09,102.22,111.36,-9.14
Oklahoma City Thunder,6,16,.273,-10.09,100.49,110.88,-10.39,-9.84,100.78,110.90,-10.12
