Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Phoenix Suns,51,13,.797,7.72,115.11,107.44,7.66,7.28,114.87,107.65,7.22
Golden State Warriors,43,22,.662,6.15,113.12,106.85,6.26,6.00,113.02,106.91,6.11
Utah Jazz,40,24,.625,5.98,117.33,111.19,6.14,5.65,117.25,111.46,5.80
Boston Celtics,39,27,.591,5.50,113.00,107.22,5.77,4.97,112.53,107.30,5.23
Miami Heat,44,22,.667,5.08,114.43,109.17,5.27,4.67,114.01,109.15,4.85
Memphis Grizzlies,44,22,.667,4.68,114.44,109.83,4.61,4.37,114.45,110.15,4.30
Dallas Mavericks,40,25,.615,3.42,112.65,108.94,3.71,3.45,112.75,109.03,3.73
Cleveland Cavaliers,37,27,.578,3.42,111.91,108.42,3.49,3.28,111.53,108.19,3.34
Milwaukee Bucks,40,25,.615,3.68,114.86,111.23,3.63,3.21,114.70,111.54,3.17
Denver Nuggets,39,26,.600,2.98,114.05,111.03,3.02,2.75,113.88,111.10,2.78
Minnesota Timberwolves,37,29,.561,2.64,113.97,111.42,2.55,2.60,114.02,111.51,2.51
Philadelphia 76ers,40,24,.625,2.44,113.22,110.80,2.42,2.29,113.07,110.79,2.28
Atlanta Hawks,31,33,.484,0.75,116.10,115.36,0.74,0.96,116.37,115.40,0.96
Toronto Raptors,34,30,.531,0.98,112.62,111.64,0.97,0.96,112.47,111.51,0.96
Chicago Bulls,39,26,.600,1.40,114.70,113.38,1.33,0.94,114.52,113.65,0.87
San Antonio Spurs,25,40,.385,-0.11,112.45,112.68,-0.23,-0.06,112.69,112.86,-0.18
Charlotte Hornets,32,33,.492,-0.31,112.93,113.19,-0.26,-0.28,112.99,113.22,-0.23
Los Angeles Clippers,34,32,.515,-0.55,109.08,109.76,-0.68,-0.53,109.06,109.72,-0.66
New Orleans Pelicans,27,37,.422,-1.41,111.44,112.89,-1.45,-0.93,111.77,112.73,-0.96
Brooklyn Nets,32,33,.492,-1.06,112.78,113.87,-1.09,-0.94,113.08,114.06,-0.97
New York Knicks,27,38,.415,-1.49,110.29,111.84,-1.54,-1.37,110.31,111.73,-1.41
Indiana Pacers,22,44,.333,-2.50,112.28,114.78,-2.50,-2.38,112.51,114.89,-2.38
Los Angeles Lakers,28,36,.438,-2.20,109.73,111.93,-2.20,-2.50,109.56,112.08,-2.51
Washington Wizards,29,34,.460,-2.57,111.26,113.99,-2.72,-2.45,111.25,113.84,-2.58
Sacramento Kings,24,43,.358,-5.16,110.67,115.93,-5.26,-5.03,110.95,116.07,-5.12
Portland Trail Blazers,25,39,.391,-6.00,109.87,115.99,-6.12,-5.14,110.51,115.78,-5.27
Oklahoma City Thunder,20,44,.313,-7.19,103.82,111.07,-7.25,-6.81,103.70,110.58,-6.88
Orlando Magic,16,49,.246,-8.06,105.00,113.10,-8.10,-7.72,104.67,112.42,-7.75
Detroit Pistons,18,47,.277,-8.94,105.57,114.46,-8.89,-8.48,105.62,114.04,-8.42
Houston Rockets,16,49,.246,-9.35,108.29,117.67,-9.38,-8.81,108.86,117.70,-8.83
