Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,41,14,.745,7.71,112.63,104.78,7.85,7.48,112.36,104.74,7.61
Phoenix Suns,44,10,.815,7.61,114.44,106.83,7.61,7.47,114.33,106.86,7.47
Utah Jazz,34,21,.618,6.44,117.08,110.48,6.60,6.38,117.01,110.47,6.54
Cleveland Cavaliers,34,21,.618,4.56,111.64,106.95,4.69,4.49,111.36,106.74,4.61
Memphis Grizzlies,38,18,.679,4.48,113.80,109.37,4.44,4.57,114.05,109.52,4.53
Boston Celtics,31,25,.554,4.66,111.65,106.76,4.88,4.26,111.36,106.89,4.47
Miami Heat,35,20,.636,4.53,113.85,109.16,4.69,4.14,113.55,109.26,4.29
Milwaukee Bucks,35,21,.625,4.18,114.18,110.06,4.12,3.35,113.95,110.65,3.30
Dallas Mavericks,32,23,.582,3.24,111.46,107.94,3.52,2.96,111.29,108.08,3.21
Toronto Raptors,30,23,.566,1.91,113.06,111.09,1.97,2.26,113.21,110.89,2.32
Denver Nuggets,30,24,.556,2.13,113.52,111.30,2.22,2.18,113.35,111.10,2.26
Philadelphia 76ers,32,22,.593,2.07,112.53,110.38,2.16,1.64,112.01,110.30,1.71
Minnesota Timberwolves,29,26,.527,1.73,113.04,111.28,1.75,1.67,113.11,111.42,1.69
Chicago Bulls,34,21,.618,1.78,114.51,112.80,1.71,1.17,114.43,113.32,1.11
Atlanta Hawks,26,28,.481,0.44,115.44,115.03,0.41,0.72,115.63,114.93,0.71
San Antonio Spurs,20,35,.364,-0.25,111.54,111.92,-0.38,-0.06,112.01,112.18,-0.17
Brooklyn Nets,29,25,.537,-0.19,112.74,112.96,-0.22,-0.33,112.97,113.34,-0.36
Charlotte Hornets,28,28,.500,-1.05,112.57,113.59,-1.02,-0.94,112.67,113.57,-0.91
New York Knicks,24,31,.436,-1.33,109.75,111.15,-1.40,-1.31,109.61,110.99,-1.38
Los Angeles Clippers,27,29,.482,-1.52,108.29,109.95,-1.66,-1.31,108.24,109.70,-1.46
Indiana Pacers,19,37,.339,-2.48,111.63,114.11,-2.49,-1.97,111.82,113.78,-1.97
Los Angeles Lakers,26,30,.464,-1.57,109.73,111.30,-1.57,-2.21,109.20,111.44,-2.24
Washington Wizards,24,29,.453,-3.17,109.89,113.26,-3.36,-2.57,110.14,112.89,-2.75
New Orleans Pelicans,22,32,.407,-3.24,109.84,113.17,-3.33,-3.06,110.16,113.29,-3.13
Portland Trail Blazers,22,34,.393,-4.57,110.73,115.51,-4.78,-4.10,111.20,115.50,-4.29
Sacramento Kings,21,36,.368,-4.95,110.56,115.63,-5.07,-4.70,110.97,115.78,-4.82
Oklahoma City Thunder,17,37,.315,-6.72,103.59,110.44,-6.85,-6.48,103.57,110.17,-6.60
Orlando Magic,13,43,.232,-7.95,104.95,113.00,-8.05,-7.80,104.68,112.59,-7.90
Houston Rockets,15,39,.278,-8.76,108.00,116.76,-8.76,-8.53,108.40,116.94,-8.53
Detroit Pistons,12,42,.222,-9.78,104.04,113.78,-9.74,-9.37,104.05,113.39,-9.33
