Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,11,2,.846,13.23,113.42,100.21,13.21,10.36,111.96,101.68,10.27
Miami Heat,8,5,.615,6.62,112.62,106.11,6.50,7.45,113.35,105.94,7.41
Utah Jazz,8,5,.615,6.62,113.60,106.78,6.81,6.54,113.53,106.78,6.75
Denver Nuggets,9,4,.692,5.77,108.71,102.52,6.19,5.36,107.57,101.78,5.79
Chicago Bulls,9,4,.692,4.92,110.16,105.24,4.92,5.21,110.10,104.92,5.19
Washington Wizards,9,3,.750,4.92,109.08,104.21,4.87,4.82,108.38,103.53,4.85
Los Angeles Clippers,8,5,.615,5.23,107.97,103.21,4.75,5.20,107.15,102.52,4.62
Brooklyn Nets,10,4,.714,5.00,110.04,104.84,5.20,3.47,109.16,105.52,3.64
Phoenix Suns,9,3,.750,5.75,110.50,104.93,5.57,3.46,108.83,105.58,3.25
Indiana Pacers,6,8,.429,0.64,110.59,109.93,0.67,2.83,110.59,107.65,2.94
Philadelphia 76ers,8,6,.571,4.14,116.05,111.79,4.26,2.82,115.05,112.17,2.89
Cleveland Cavaliers,9,5,.643,2.21,107.98,105.56,2.42,2.59,107.86,105.08,2.78
Toronto Raptors,7,7,.500,1.14,110.75,109.55,1.20,1.92,111.92,109.88,2.04
Boston Celtics,6,7,.462,0.69,107.01,106.18,0.83,1.19,107.48,106.10,1.39
Portland Trail Blazers,6,8,.429,-0.43,111.06,111.69,-0.62,0.92,112.41,111.77,0.64
Charlotte Hornets,8,7,.533,-1.80,110.04,111.66,-1.62,0.14,111.32,111.02,0.30
New York Knicks,7,6,.538,0.46,111.96,111.50,0.46,-0.42,110.95,111.32,-0.38
Sacramento Kings,5,8,.385,-0.69,109.94,110.61,-0.68,-0.47,109.75,110.23,-0.48
Atlanta Hawks,5,9,.357,-2.64,110.41,113.18,-2.77,-0.61,112.11,112.79,-0.68
Milwaukee Bucks,6,8,.429,-1.93,109.03,110.92,-1.89,-1.37,108.66,109.95,-1.30
Dallas Mavericks,8,4,.667,-1.58,107.41,108.92,-1.50,-2.11,107.08,109.05,-1.97
San Antonio Spurs,4,9,.308,0.08,108.03,107.90,0.13,-2.51,107.74,110.13,-2.40
Los Angeles Lakers,8,6,.571,-1.57,106.37,107.90,-1.53,-3.23,105.92,109.14,-3.22
Memphis Grizzlies,6,7,.462,-6.54,108.33,114.86,-6.53,-4.46,110.30,114.78,-4.48
Minnesota Timberwolves,4,8,.333,-4.42,104.85,109.29,-4.44,-5.72,105.52,111.42,-5.90
Oklahoma City Thunder,5,7,.417,-8.17,100.73,108.98,-8.24,-7.30,101.48,108.89,-7.41
Houston Rockets,1,12,.077,-9.23,100.10,109.29,-9.19,-9.19,101.18,110.35,-9.17
Orlando Magic,3,10,.231,-9.62,101.38,111.17,-9.79,-9.25,101.22,110.58,-9.36
Detroit Pistons,3,9,.250,-9.75,100.93,110.96,-10.03,-9.16,100.83,110.22,-9.39
New Orleans Pelicans,2,12,.143,-9.57,105.18,114.92,-9.74,-9.71,104.45,114.36,-9.92
