Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,28,7,.800,9.91,113.32,103.33,9.98,9.53,113.08,103.51,9.57
Utah Jazz,26,10,.722,9.86,118.39,108.30,10.09,9.18,117.74,108.36,9.39
Phoenix Suns,27,8,.771,6.74,112.31,105.64,6.67,6.35,112.30,106.04,6.25
Cleveland Cavaliers,20,16,.556,5.36,111.64,106.19,5.45,5.80,111.47,105.57,5.90
Miami Heat,23,13,.639,4.17,113.03,108.75,4.28,3.52,113.15,109.51,3.64
Milwaukee Bucks,25,13,.658,4.66,113.52,108.84,4.68,3.28,113.12,109.79,3.32
Chicago Bulls,24,10,.706,3.71,113.47,109.83,3.64,3.14,113.16,110.05,3.10
Memphis Grizzlies,23,14,.622,2.86,112.67,109.83,2.83,2.71,112.52,109.85,2.67
Brooklyn Nets,23,11,.676,3.32,111.61,108.19,3.41,2.30,111.62,109.22,2.40
Boston Celtics,17,19,.472,1.03,110.03,108.97,1.05,1.74,110.41,108.63,1.77
Dallas Mavericks,17,18,.486,0.57,110.70,109.89,0.81,0.67,110.46,109.58,0.88
San Antonio Spurs,14,21,.400,1.23,111.26,110.17,1.09,0.87,111.47,110.73,0.73
Denver Nuggets,18,16,.529,0.15,110.29,110.09,0.19,0.64,110.13,109.46,0.68
Indiana Pacers,14,22,.389,0.33,111.22,110.79,0.43,0.48,110.61,110.01,0.60
Toronto Raptors,15,17,.469,-0.25,111.63,111.72,-0.08,0.41,112.40,111.82,0.58
Philadelphia 76ers,19,16,.543,0.14,111.05,110.83,0.22,0.45,110.68,110.14,0.54
Atlanta Hawks,16,19,.457,0.09,114.54,114.44,0.10,0.24,114.81,114.55,0.26
Los Angeles Clippers,19,18,.514,0.30,107.53,107.45,0.07,0.16,107.42,107.49,-0.07
Minnesota Timberwolves,16,19,.457,-0.94,109.20,110.01,-0.81,-0.25,109.39,109.50,-0.12
Charlotte Hornets,19,17,.528,-0.92,113.97,114.88,-0.91,-0.55,114.00,114.54,-0.54
New York Knicks,17,19,.472,-0.64,109.78,110.46,-0.68,-1.38,109.48,110.90,-1.41
Washington Wizards,18,18,.500,-2.33,109.88,112.39,-2.51,-1.47,109.99,111.59,-1.60
Los Angeles Lakers,18,19,.486,-1.14,108.54,109.55,-1.01,-1.98,108.42,110.32,-1.90
Portland Trail Blazers,13,22,.371,-4.46,111.15,115.76,-4.61,-3.16,112.08,115.40,-3.32
Sacramento Kings,15,22,.405,-4.35,109.60,114.04,-4.44,-3.72,110.13,113.94,-3.81
New Orleans Pelicans,13,23,.361,-4.92,108.72,113.71,-4.99,-4.94,109.09,114.11,-5.01
Oklahoma City Thunder,13,22,.371,-7.17,102.64,110.03,-7.39,-7.26,102.47,109.96,-7.49
Houston Rockets,10,27,.270,-8.00,107.68,115.75,-8.07,-8.20,108.08,116.36,-8.28
Orlando Magic,7,29,.194,-9.81,104.21,114.16,-9.95,-9.00,104.05,113.18,-9.12
Detroit Pistons,6,28,.176,-9.47,102.14,111.62,-9.48,-9.36,102.08,111.45,-9.37
